================================================================================
NIKKE Red Ash (Part 2) - Complete Japanese Transcript
Video ID: 6AwG4cfTbk4
Duration: 1:12:14 (4334 seconds)
================================================================================

[00:00:20] 大量のラプチャー部隊がアークの入り口に
[00:44:08] ドリルかっこいいだろドリルかっこいい
[00:44:09] です
[00:44:13] けどそれから弾丸とかミサイルとか何でも
[00:44:16] 飛ばせるやつがいいな
[00:44:21] うそうボタン1つで勝てる武器が欲しいっ
[00:44:25] て言われた方がいいですなんだ作れないの
[00:44:26] か
[00:44:30] スノーの武器作りも大したことないんだ
[00:44:34] なスノーフルネームで呼んだら下かみそう
[00:44:45] スノはいいいですよそれで作れねえの
[00:44:50] いいえ作れます必ず作ります時間は少し
[00:45:04] レッドフード行かないでここにいて
[00:45:09] ください本当に言っちゃうんですか私を
[00:45:10] 置い
[00:45:17] てお前ら私を撃てるかてないだだ
[00:45:24] くれ静かに死ぬん
[00:45:26] だ
[00:45:28] ゴッテス部隊は本当に
[00:45:33] 素晴らしいやっぱり勝利の女神です将来
[00:45:37] ゴッテスみたいなになるゴッテスを見てる
[00:45:40] と元気が出るのパパとママもそうだって
[00:45:46] 言ってただから私もそうなりたい人類の
[00:45:54] 感謝
[00:45:55] 感謝
[00:45:58] このバカ
[00:46:01] このバカ
[00:46:07] まけどうしてどうしてあんなかっこ悪い
[00:46:11] 別れ方しやがってもっとかっこよく
[00:46:17] 分かれるよなんであんなかこつか
[00:46:23] ないいい思い出にするどころかあいつら
[00:46:26] のあいつらの顔に
[00:46:30] ドラ塗っちまったじゃねえ
[00:46:41] か帰ろ帰るん
[00:46:46] か帰ろ帰るん
[00:46:49] な私
[00:46:56] はまたあいつらに会いたいよでも
[00:46:58] 大お別れの
[00:47:03] 挨拶ちゃんとしたから良かったこと悪かっ
[00:47:09] たこと全部お話ししたよだから大丈夫
[00:47:13] いっぱいおしりしたから
[00:47:15] ちゃんと挨拶
[00:47:19] もできてねえん
[00:47:21] だれ私
[00:47:24] だれ私
[00:47:27] は
[00:47:29] あいつらにとっ
[00:47:33] て誇らしい仲間であり
[00:47:35] たいバカみたい
[00:47:38] にく別れた仲間じゃなく
[00:47:42] て最高に素敵な仲間でありたいん
[00:47:50] だ皆さんよく聞いてください大の
[00:47:54] だ皆さんよく聞いてください大の
[00:47:58] ラプチャーの軍団さんが突如アークの入口
[00:48:03] に向かって進撃を始めましたはいこの時を
[00:48:05] 狙ったかのようだ
[00:48:11] な数は合計4つの大部隊で構成されてい
[00:48:12] ます
[00:48:13] 大体防衛線はほんの少しの時間稼ぎになる
[00:48:17] 大体防衛線はほんの少しの時間稼ぎになる
[00:48:21] だけです圧倒的な量ですのでいい結果を
[00:48:24] 期待することは難しいでしょう
[00:48:28] そしてコードネームアオールがラプチャー
[00:48:32] 部隊に同行しているそうですやつか明らか
[00:48:37] に狙っていますねはいリリスと揮官の不在
[00:48:40] 時を狙った攻撃としか考えられませんどう
[00:48:43] やって不在を知ったのかは不明ですがもし
[00:48:47] かする本能的に分かるのかもしれません四
[00:48:51] 官とリリスはいつ合流できますか
[00:48:54] 現連絡がつかない状態
[00:48:58] ですを続けていますが反応がありません
[00:49:02] 最悪の場合首脳部がやられた可能性もある
[00:49:09] なはいでは私たちの対応はこちらから攻撃
[00:49:13] を仕掛けますこちらからここの付近での
[00:49:16] 戦闘は危険すぎます主要な施設ばかりです
[00:49:21] からですので私たちは進行中のラプチャー
[00:49:24] 部隊に向かって攻撃アーク入口への接近を
[00:49:30] 阻止します気に入った私たち以外の戦力は
[00:49:34] 駐屯中の量産型部隊が全て合流しますその
[00:49:37] 他にも動員できる全ての戦力が投入される
[00:49:42] 予定ですあのここをからにするのは危険で
[00:49:47] はあちらにその気がないようですつまり
[00:49:51] 一直線に進撃してきてるんですか他の動き
[00:49:57] はなくはい勝負仕掛けてきたということ
[00:50:01] でしょうそれだけ数に余裕がありながら光
[00:50:06] 勝負とは馬鹿げた話だま我々の勝手な解釈
[00:50:10] ですから目標は当然アークの入り口
[00:50:14] でしょうでは皆さん準備をすぐに出撃し
[00:50:19] ます賛はあるのかい何をおっしゃってるん
[00:50:34] 終わりがありませんね多すぎます補給が
[00:50:40] 必要です弾薬がここで進撃を止めれば防衛
[00:50:43] 線をまた1つ譲ることになります補給部隊
[00:50:44] をこちらに呼びますので神軍を続け
[00:50:46] をこちらに呼びますので神軍を続け
[00:50:49] ましょう補給部隊の戦闘力は高くありませ
[00:50:53] ん途中で迎撃されてしまうでしょう今は
[00:50:58] 少し交代してでも補給をした方
[00:51:03] が君たちは補給をしてきた前私は進もう
[00:51:07] そろそろ体がほぐれてきたところだやっと
[00:51:08] 実力を発揮
[00:51:20] できわかりました一旦交代し補給をあ前方
[00:51:22] ラプチー
[00:51:25] 多数何でしょうあの数は
[00:51:26] 後方に待機していた部隊が投入されたよう
[00:51:28] 後方に待機していた部隊が投入されたよう
[00:51:32] ですねこのまま突破する3段
[00:51:41] ばあれほどの兵力で押されればパクの口
[00:51:44] まであっという間ですここで食い止め
[00:52:01] ムロ隊きますねはいできますははいやって
[00:52:04] ますでは行き
[00:52:12] ましょう
[00:52:15] ましょう
[00:52:18] クリア倒し
[00:52:23] た準備運動にもならぬ皆さんじっとしてい
[00:52:26] てくださいボディの状態をチェックします
[00:52:30] 残るは1部隊とアキオールアナオールは
[00:52:34] 量産型部隊が足止めしていますですが長く
[00:52:37] は持たないでしょうしかし今がチャンス
[00:52:41] です準備が整い次第行きましょう補給部隊
[00:52:48] すぐ何の音です
[00:52:54] かどうやら私たちに今すぐ動を渡したいと
[00:52:56] いうことらしい
[00:53:01] 先方ラプチャー部隊接近中皆さんなるべく
[00:53:06] 早く最低限の整備をしてくださいその後直
[00:53:08] に戦闘に突入します
[00:53:24] た私はね君たちと出会って日が浅い
[00:53:31] まで
[00:53:34] ああ
[00:53:41] あこの銃声聞き覚えが援軍でしょうか待っ
[00:53:44] てください今報告が
[00:53:54] てこの音ま
[00:53:59] まさかドロシーどういう状況ですか説明を
[00:54:03] はラプチャー部隊に後方から攻撃を仕掛け
[00:54:26] はい
[00:55:00] 落ち着けお前のパンじゃ
[00:55:03] ねえそうだそのままちっとしててくれよ
[00:55:17] ああ何見てんだ
[00:55:19] よレッド
[00:55:22] フード本当にレッドフードなのですか
[00:55:27] スノーホワイト確認できますたかはい本当
[00:55:29] にレッドフード
[00:55:30] [拍手]
[00:55:38] ですそんなあ感謝を生きていたというのか
[00:55:41] では今すぐ合流
[00:55:45] いえ補給と整備を終えてから合流し
[00:55:47] ましょうスノーホワイトそれではレッド
[00:55:48] フードが大丈夫ですレッドフードですから
[00:55:53] フードが大丈夫ですレッドフードですから
[00:55:55] 絶対に負けません
[00:55:57] はいふむ補給部隊を緊急で呼び出します
[00:56:02] はいふむ補給部隊を緊急で呼び出します
[00:56:10] ます補給及び整備完了早くレッドフードと
[00:56:14] ます補給及び整備完了早くレッドフードと
[00:56:19] 合流しましょう先に行きます待のだ
[00:56:21] ウルトラが
[00:56:23] 来る全員戦闘
[00:56:25] 準備
[00:56:28] [拍手]
[00:56:34] 開始状況
[00:56:36] 開始状況
[00:56:42] 終了こやつ以前よりも足やすかったないや
[00:56:45] 私が強くなったの
[00:56:47] かレッド
[00:56:50] フード早く行きましょういくらレッド
[00:57:09] ハイド即か
[00:57:12] ハイド即か
[00:57:25] もらう
[00:57:31] [拍手]
[00:57:52] た笑っ
[00:57:55] た笑ったのかね
[00:58:12] 一体自分の能力がどの程度か私たちを相手
[00:58:15] に確認したということですか遠距離攻撃で
[00:58:16] は
[00:58:22] なくわざわざ姿をさらしてその上
[00:58:30] たこやつ盾など無用ということ
[00:58:35] たこやつ盾など無用ということ
[00:58:37] かその
[00:58:39] 侮り私が切って
[00:59:18] ください全部やった
[00:59:21] ください全部やった
[00:59:28] かあいつらなんで誰も助けに来ないんだ
[00:59:29] よちょっと休んでいく
[00:59:32] よちょっと休んでいく
[00:59:35] かもうヘトヘト
[00:59:38] だなんだよ
[00:59:41] だなんだよ
[00:59:46] あれ何があんなにピカピカ待てあの
[00:59:48] 色
[00:59:56] くそ
[01:00:10] おい
[01:00:14] これお前がやったの
[01:00:17] かお前がやったん
[01:00:25] だろくよ
[01:00:29] なんだよこの様はお前らが倒れてるのを
[01:00:30] 見るため
[01:00:34] にわざわざ駆けつけたと思ってんのか
[01:00:36] とっとと起きろ
[01:00:46] なあ起きろ
[01:00:56] ら
[01:01:05] うるさいみんな起きたかん
[01:01:23] ぜ5対1でやられるわけにはいかないよな
[01:01:27] ぜ5対1でやられるわけにはいかないよな
[01:01:44] だろじゃあ勝たないと
[01:02:09] りゃすごい
[01:02:16] やり私が行き
[01:02:26] ます体を使うのは野蛮だと言っていなかっ
[01:02:30] たかい怪物を相手になんて上品には戦える
[01:02:33] はずないでしょう気をつけろでかいのが
[01:02:35] 来る
[01:02:37] ぞ私が防ぎ
[01:02:47] ますおお聖女様大声も出せるんだな誰か
[01:02:50] さんのお
[01:02:53] ですヤ
[01:03:33] ガラスの靴が割れた
[01:04:10] 勝っ
[01:04:15] たレッドフードレッドフード
[01:04:21] 君レッドフードはいはい私はここだよ
[01:04:23] そんなに
[01:04:42] フード気づきましたか聖女様
[01:04:46] か私まだ生きてんだよ
[01:04:53] なはいまだ生きていますもしかして侵食が
[01:04:55] 治ったのか
[01:05:02] なそっ
[01:05:07] かこれで本当に最後みたいだな申し訳あり
[01:05:12] ません何言ってんだよ聖女様が謝ることは
[01:05:16] ないって隊長とリリス
[01:05:22] はなんでいないんだしばらく別行動です
[01:05:25] それでこの様だったのか
[01:05:28] 一体何があったのですか生きていたのなら
[01:05:38] えっとまあ色々事情があったんだそれで
[01:05:42] その色々な事情とやらのせいで相談もなし
[01:05:45] に乱入してきたのですかうまくいったから
[01:05:48] 良かったようなものの5人射撃でもしたら
[01:05:52] どうするつもりだったのですこっちは全身
[01:05:54] 真っ赤なんだぜ
[01:06:08] かいいスタイルしてるだろう新色は完全に
[01:06:12] 克服したのかいお互い仲良くやることにし
[01:06:16] たんだレッドフードコールドスリープすれ
[01:06:19] ば侵食を止められるという研究結果があり
[01:06:22] ますそれを試してみて
[01:06:23] ばには
[01:06:26] ばには
[01:06:30] だろありがとな聖女
[01:06:33] 様でも大丈夫
[01:06:35] だ
[01:06:43] あ
[01:06:45] あの
[01:06:47] その
[01:06:55] だ
[01:07:01] お悪かったな嘘ついてきちんと別れの挨拶
[01:07:03] をしていくべきだっ
[01:07:06] ただせえ逃げ方し
[01:07:09] て悪かった私
[01:07:13] もひどいこと言ってごめん
[01:07:17] なさい本心じゃなかったんです
[01:07:21] ただレッドフードに捨てられた気がし
[01:07:27] てそれがすすごく悲しくて分かって
[01:07:32] るってスノーの気持ちは誰よりもよく
[01:07:33] わかっ
[01:07:36] てるもういいん
[01:07:39] だお前の顔が見れた
[01:07:41] からもう
[01:07:43] いい
[01:07:49] お挨拶しに来たんだ別れの挨拶いくら考え
[01:07:52] てもお前らの隣はダメ
[01:07:57] だだかから挨拶していこうと思って
[01:08:01] さお疲れ様でしたこれで静かになりそう
[01:08:06] ですねうるさくて嫌だった嫌ではありませ
[01:08:10] んでしたあの古臭い音楽さえなければ耐え
[01:08:14] られる程度です古いものほどいいもんなん
[01:08:20] だ私たちは古い間柄と言えるでしょうか
[01:08:25] そうだなでは
[01:08:29] いいものなのでしょうそうだな気をつけて
[01:08:34] いくのだよいつかまた会えるであろう会え
[01:08:40] るってどこでどこでもだやだね会わない
[01:08:44] お前は長生きしてくれあんまり閣下すんな
[01:08:46] よ
[01:08:52] なあ試しておこう熱くて盲目的なもの2は
[01:08:55] どこにありますか
[01:08:59] ああ私の鞄の内側のジッパーを開けてみな
[01:09:04] あここにあったのですねもっと学びたかっ
[01:09:07] たところですがこれからは自分で学ばない
[01:09:16] ね頑張って最高の変態になってみろよそれ
[01:09:21] から新色の直し方を見つけてくれはい
[01:09:33] はいスノーホワイト笑顔で送り出してやれ
[01:09:36] さ早く
[01:09:39] れレッドフードに頼まれた
[01:09:45] 武器実はずっと作ってたんですこれからも
[01:09:48] 作り続けるからだ
[01:09:52] から必ず取りに来てください
[01:09:54] あ
[01:10:05] からなんて言ったらいいか分かりません私
[01:10:06] と一緒にい
[01:10:09] て楽しかっただろ
[01:10:10] は
[01:10:16] はい楽しかったです私も楽しかった元気で
[01:10:19] なおち
[01:10:21] ちゃん
[01:10:24] はいみんな
[01:10:26] つまんない私を受け入れてくれ
[01:10:29] て仲間として付き合ってくれ
[01:10:30] てありがとな仲間外れだって感じさせない
[01:10:34] てありがとな仲間外れだって感じさせない
[01:10:39] ように色々気遣ってくれてありがとうお前
[01:10:41] らと一緒に過ごした
[01:10:46] 時間一緒に戦った時間本当に最高の瞬間
[01:10:52] だった私は幸せだったお前らと一緒にい
[01:10:54] られて
[01:11:03] た
[01:11:05] じゃあ行く
[01:11:10] よレッドフード
[01:11:12] ん一緒
[01:11:31] このおちびちゃん
[01:11:33] が
[01:11:36] ああ私
[01:11:39] も一緒に戦え

================================================================================
Total transcript entries: 930
================================================================================
