# NIKKE 第24章 转录
视频ID: xliJaykqwkA
[00:52:18] ひどい自由に動かせるようになるには時間
[00:52:22] がかかる
[00:52:24] らしいどれくらい
[00:52:29] どれくらいかかるの
[00:52:33] よ絶対安静だ暴れる
[00:52:38] なえ
[00:52:42] エキゾチックワー
[00:52:44] ドレスクローとバイパーは追跡中だ遠く
[00:52:48] までは逃げられなかったはずだからすぐに
[00:52:51] 捕まるだろうワードスはひとまずリペア
[00:52:55] センターへ運んだ見原
[00:52:58] は厳しいそう
[00:53:01] だち
[00:53:06] ちくし絶対安静だと言った
[00:53:09] だろう静かにしてやることがあるの
[00:53:19] よよし
[00:53:34] そ星間違えたじゃ
[00:53:39] ないそんなに私のことが信じられない今
[00:53:44] まで嘘をついてモてんでごめんね心から
[00:53:50] 謝るから
[00:53:53] あ困ったな
[00:53:57] どうやって謝ればいいのかわかんない
[00:54:06] やあこれ
[00:54:09] [音楽]
[00:54:12] は
[00:54:15] はあここでこうなるん
[00:54:19] [音楽]
[00:54:24] だダーリンは
[00:54:27] 本当にいい人だね最後までこれだももう
[00:54:34] 少し早く知れたらよかったのになダーリン
[00:54:39] という人
[00:54:41] を私の気持ち
[00:54:48] をジャッカルをお願い
[00:54:52] パーリ
[00:54:54] あいつお人バカだ
[00:55:08] から
[00:55:14] おい苦労
[00:55:17] を頼む
[00:55:30] [音楽]
[00:55:40] [拍手]
[00:55:48] なあ私たち地上で話さない
[00:55:54] かそれは
[00:56:06] [音楽]
[00:56:11] なんだ
[00:56:29] お前が打つ球に当たれば責任を取ることに
[00:56:32] なるのかそれは便利だ
[00:56:37] な言っただろうお前を破滅させたいて
[00:56:44] そしてそれは成功したようだ今自分が
[00:56:49] どんな顔をしてるか分かるかお前がそんな
[00:56:53] 顔をする瞬間が人生であ何回あるかな私は
[00:56:59] お前のその顔を初めて見た唯一の存在に
[00:57:03] なるだろうそれだけでも私にとっては十分
[00:57:08] 価値があるアークはこれからヒーローを
[00:57:12] 失った状態で選択をすることになるだろう
[00:57:27] ひどい言われよだな
[00:57:37] [音楽]
[00:57:56] お前も1人だろう仲間はみんな死んだから
[00:58:01] [音楽]
[00:58:03] ね打つの
[00:58:06] かじゃあ破滅するんだ
[00:58:12] [音楽]
[00:58:14] な私がお前の初めてになるのか栄だな
[00:58:32] 指揮官銃を下ろして
[00:58:37] ください全て終わりまし
[00:58:49] たしかし打ちませんでした
[00:58:56] 私が打ちましたですから指揮感は打つ必要
[00:59:01] がありませんでしたこれからもそうなる
[00:59:04] はずです指揮官は絶対に破滅したりしませ
[00:59:09] ん私が私たちが絶対にそんなことはさせ
[00:59:14] ませ
[00:59:20] ん私もありがとうございます指揮官が
[00:59:26] 指揮官でいてくれ
[00:59:30] [音楽]
[00:59:33] てでは1つずつまずはクー
[00:59:38] からラピがタイミングよく打ったゴム弾が
[00:59:42] 東部に
[00:59:43] 命中そのまま気絶して中央政府により連行
[00:59:47] されノースキャンを受けアクテ事件の導者
[00:59:51] かつ実ということが確定しました
[00:59:56] 巻込たたは利用されただけということも
[00:59:59] 判明しまし
[01:00:02] たそれ
[01:00:07] がお前は妊婦が正常に作動していたにも
[01:00:11] かわらず擬似射撃を行いテロを起こし
[01:00:15] たその件に関する調査を受けてもらう
[01:00:20] 調査そう
[01:00:21] だ我々はお前が妊婦を自分の意で制御
[01:00:25] できると判断しているこの件については
[01:00:29] 綿密な調査が行われるだろう課題評価は
[01:00:32] ありがたく受け取る
[01:00:33] [音楽]
[01:00:36] よ分かっているだろうが単純な調査には
[01:00:40] ならないだろう脳を解剖することになる
[01:00:43] はずだ全てを解明するまでそれから
[01:00:48] エニックによりお前の処遇が決まるそうか
[01:00:53] 念のため言っておくが脳を燃やすことは
[01:00:56] 考えるの自決信号が確認された瞬間妊婦に
[01:01:01] より強制的に
[01:01:03] ああそれは心配しなくていいこういう印象
[01:01:08] 的な記憶は残しておきたいからなこれを
[01:01:12] 自分で燃やすなんてバカな真似はし
[01:01:18] ないと言っていたそうです最後まで異性が
[01:01:22] いいわね
[01:01:26] あっち
[01:01:30] は1度ならず2度までも今度ばかりは
[01:01:35] 見過ごせんなぜテトラの1回の部隊が中央
[01:01:40] 政府の邪魔をするんだラプチャーがアーク
[01:01:44] に入ってきた瞬間アウターリムを一掃する
[01:01:47] ために動いたマが言えることじゃないです
[01:01:50] ねアークでテロが起きたんだぞその原が
[01:01:55] あのゴミ捨て場にあると考えるのは当然
[01:01:58] だろうそれに私はこの目で見たんだEHが
[01:02:04] 爆弾を抱えてエレベーターに乗るところを
[01:02:09] エアン彼女を逃したのもユです
[01:02:15] よ1つ聞きましょうUは一体何を根拠に
[01:02:22] アウターリムに銃口を向けるのですか
[01:02:26] 言っただろあそこはテロの音だゆにも愛が
[01:02:32] あるなら見たはずですアウターリムに武装
[01:02:36] したマンは1人もいなかったということを
[01:02:40] そこまでクリーンを主張しているのにUは
[01:02:44] なぜあんなことをしたの
[01:02:47] [音楽]
[01:02:48] でしょうただジェノサイドをしたかった
[01:02:52] だけですか何が悪い
[01:02:57] ああアウターリウムがアークにとって何の
[01:03:00] 役に立つというんだアウターリウムを一掃
[01:03:03] したってエニックは一言も文句を言わない
[01:03:06] はずだその
[01:03:09] 言葉責任取れますか何エニックが動かない
[01:03:15] 理由はシンプルですよマイクインたちがU
[01:03:20] に完全に勝てると分かっていたためです
[01:03:24] アンアウターリムが本当にアークにとって
[01:03:28] 何の役にも立たないとシンクしてますか
[01:03:32] それでしたら大間違いです何をふざけた
[01:03:38] ことでは今からミーは何もしませんよ今
[01:03:43] すぐアウターリムに行ってガンを乱射して
[01:03:47] みてくださいエニックがどんな判決を下す
[01:03:51] か一緒にシしましょううん
[01:03:57] さあ
[01:03:59] ハリハリ今はそんな気分ではないそうです
[01:04:04] か残念です
[01:04:07] ね1つ言っておきますがマクイーンたちが
[01:04:12] 行ったことはアウターリムを守ると同時に
[01:04:16] Uを守ることでもあったのですUはミニに
[01:04:21] 仮が1つできたのですよ
[01:04:26] って勢いよく言ったんだけど中央政府軍を
[01:04:31] フルぼっにしたことに対する責任は免れ
[01:04:34] られなかったみたいさロザンナモランは
[01:04:38] みんな記憶消去されかけたんだけど
[01:04:41] マスタング社長が中央政府に取引を
[01:04:44] 持ちかけたのテトラのメイン放送
[01:04:47] チャンネルを中央政府に譲るって取引をね
[01:04:51] はいまそういうわけでアンワル委は無事よ
[01:04:57] じゃあマスタング社長はこれから何で整形
[01:05:01] を立てるんですかメイン放送チャンネル
[01:05:04] 以外にも色々あるから問題ないはずよただ
[01:05:08] これからは中央政府がアークの放送を
[01:05:11] 好きかって流すでしょうけどねちょっと
[01:05:14] 社長に会ってきたけど元気だったわ大丈夫
[01:05:17] ですマイ
[01:05:20] アニどん底からアップするのはミーの特技
[01:05:25] ですか
[01:05:26] ローだってなんとかするでしょ社長だから
[01:05:31] でもおかげでアウターリムの皆さんが被害
[01:05:35] を受けずに住んでよかったですね武装解除
[01:05:39] が大きかったのよ武器を持っていたら問答
[01:05:42] 無用で罪をなすりつけられてた
[01:05:49] はずユニは高成官の独房に習慣されました
[01:05:54] 一言も発さずじっとしているそうです妊婦
[01:05:58] がなくノースキャンもできない状態なので
[01:06:01] 中央政府も手の内用がありません
[01:06:04] シェルター事件は許されないことなので
[01:06:07] おそらく簡単には終わらないでしょう
[01:06:11] シェルター事件の犯人がユニだという事実
[01:06:13] が確定するまでは引き続き独房に習慣さ
[01:06:17] れると思います確定したらどうなるんです
[01:06:22] か処分されるでしょうねどうですかじゃあ
[01:06:28] 三原は三原はクロが打ったゴ無弾でやられ
[01:06:32] た私たちやユニとは違い自決用の拳銃で
[01:06:36] 逃亡を打たれました損傷が大きく緊急で
[01:06:40] 修理に入りましたが妊婦が脳の手術を妨害
[01:06:44] しましたおそらく外部からの攻撃と認識し
[01:06:48] たの
[01:06:49] でしょう見原も正常な状態ではありません
[01:06:52] でしたから
[01:06:56] そのため妊婦を強制的に外しましたその
[01:07:01] 過程で記憶消去が発生しまし
[01:07:06] た治療後再び妊婦を搭載したそうです今は
[01:07:11] 安静にしてい
[01:07:14] ますとにかく大体終わったわねアークに
[01:07:19] 残ったラプチャーも残り少ないからもう
[01:07:22] すぐ麗に片付くそうよはラプチ殲滅が確認
[01:07:26] されたら解放されるはず大変だったね色々
[01:07:31] とアークに穴が空いた原因は施設の老朽化
[01:07:36] と伝えられるはずです一体の2家により
[01:07:40] このようなことが起きたと知られたら中央
[01:07:43] 政府の信頼は地に落ちますからそのおかげ
[01:07:47] と言いますか今アーク内の2の地は急上昇
[01:07:51] しています人類を守るのはやはりだという
[01:07:55] 雰囲気ですメティスに続いて人気が高まっ
[01:07:59] ています中央政府はこのような雰囲気を
[01:08:03] うまく利用するつもりのよう
[01:08:08] です支援はどうなりましたユニにボコボコ
[01:08:12] にされたのが重傷で今は治療中だって
[01:08:16] 動けるようになったらすぐエニックに判決
[01:08:19] してもらうみたいどんな判決が出るかは
[01:08:23] もう少し待てば分かるでしょあのところで
[01:08:28] クローはどうして私たちにゴム弾を打った
[01:08:31] のでしょうか指揮感を極限まで追い込み
[01:08:34] たかったのよもちろん冷静に考えたらあり
[01:08:39] えないことだったわいくら妊婦の束縛から
[01:08:42] 外れてたとしても射殺するための直接的な
[01:08:46] 射撃はリミット解除なしじゃ不可能だ
[01:08:51] からうんあいつならやれるって思っちゃっ
[01:08:56] たもんクローの最終目標は指揮官に私たち
[01:09:01] の復讐をさせることだったそして私たちが
[01:09:06] 生きてるってことを知った四官が2度と
[01:09:09] 立ち上がれないようにするつもりだったん
[01:09:11] だと思うひどいわねでもラピはどうして先
[01:09:16] に動けたのほんの少し使ったからレッド
[01:09:21] フードを
[01:09:23] うん体はですか大丈夫本当に少しだった
[01:09:29] からそれならいいですけどあ揮官様
[01:09:35] そろそろ時間だ
[01:09:37] よ護衛します行きましょうエニックの判決
[01:09:42] でしたっけ何も起きませんよね起きたら
[01:09:47] 困るわ
[01:09:50] [音楽]
[01:09:58] イングリッド
[01:09:59] ハーパー久しぶりね
[01:10:03] ああ今の私の状態はどう状態
[01:10:08] は悪化している鎮痛剤を投与し続けている
[01:10:13] がもって2日だろうそうお願いがあるんだ
[01:10:19] けど聞いてくれる言ってくれ私を2にして
[01:10:27] 不可能だと思うけど誰も認めてはくれない
[01:10:31] だろうけど罪を償いたい今まで私がやって
[01:10:38] きたこと
[01:10:39] がどれほど多くの人々に恐怖を与えてきた
[01:10:44] か
[01:10:45] が身にしみてわかったのだ
[01:10:50] から罪を償いたい
[01:10:56] お
[01:10:57] 願い分かったすぐに準備しよう
[01:11:02] ありがとう本当
[01:11:04] に
[01:11:08] ありがとう
[01:11:10] イングリッド私
[01:11:12] に罪を償えと思う
[01:11:17] いや
[01:11:19] だま努力はできるだろう
[01:11:40] つまんない1人で笑うのはつまんない
[01:11:45] じゃあ一緒に笑ってあげよっか
[01:11:50] あ
[01:11:53] バイパーヤッホー
[01:11:57] ジャッカル
[01:12:00] 元気あ頭ついてるバイパーの頭がつい
[01:12:06] てる爆発直前にちょっと角度がずれて脳は
[01:12:11] 無事だったみたいまあ頭部は完全に
[01:12:15] 吹き飛んだから新しく作ったんだけど角度
[01:12:21] 角度がずれた
[01:12:22] のよくわかんないけどよかっ
[01:12:28] たそうだねよかった王子様が掴んでくれた
[01:12:34] から角度がずれたの命の音人にまでなって
[01:12:39] くれ
[01:12:40] てますます好きになっちゃったえ何私まだ
[01:12:47] 耳が完全に治ってない
[01:12:50] のなんでもない私たちこれから何するの
[01:12:57] うんよく聞いて
[01:13:00] ジャッカル私たちが生き残ったのはすごく
[01:13:04] 運が良かったから私が最後にやったことが
[01:13:10] 事件の解決に役立ったし英がいなくなった
[01:13:15] からアウターリムは何が起きるか分から
[01:13:19] ない場所になっただからアウターリムの
[01:13:24] 動きを
[01:13:25] しっかり確認する必要があるのそれを
[01:13:31] 私たちがやることになったの
[01:13:36] おおそれって何をすればいいの今までして
[01:13:41] きたことと
[01:13:42] 同じその
[01:13:44] 代わりこれからは嘘はなしふざけるのも
[01:13:49] なし嘘ついたりふざけたりしたら大きな罰
[01:13:55] を受けることになるからねえ私バツは
[01:14:00] 嫌でしょ私もそう高性能な1追跡機能付き
[01:14:08] 爆弾がついてるから下手な真似をしたら
[01:14:12] すぐに頭部が
[01:14:15] 吹き飛ぶそんなバツはみんな嫌だよね
[01:14:20] バイパー私まだよく聞こえないってばはい
[01:14:24] はいはいじゃあ仕事しに行こっ
[01:14:31] かジャッカル
[01:14:34] ん私に聞きたいことはない聞かないどうし
[01:14:40] て
[01:14:42] 私悲しいの嫌
[01:14:49] そうようこそ
[01:14:55] にはまだやるべきことが残っています
[01:14:59] アークに残留しているラプチャーの動きを
[01:15:02] 追跡し続けなければなりませんですから
[01:15:06] 手近に判決を下し
[01:15:10] ます第1アークテロの販を捉えアウター
[01:15:16] リムの濡れを晴らし大量処分を防いだこと
[01:15:21] 第
[01:15:22] 2シルタ
[01:15:25] において最小限の犠牲で状況を整理した
[01:15:29] こと第3アーク内に侵入したラプチャーの
[01:15:34] 多数を殲滅したこと上気の事実をもに過去
[01:15:39] の事例を調査した結果参考となる事例は
[01:15:44] ありませんでしたそのため独自に判断を
[01:15:48] 行い次のように判決を下します3階級特進
[01:15:58] ただし第1ミシリのCEOである主演と共
[01:16:04] にアーク付近で意図的にラプチャーを
[01:16:07] 呼び寄せたこと第2アークの主要な資源と
[01:16:12] なる可能性が高かった通称アンチェインド
[01:16:17] の存在を隠蔽したこと蒸気の事実をもに
[01:16:22] 過去の事例を調査した結果参考となる事例
[01:16:26] はありませんでしたそのため独自に判断を
[01:16:31] 行い次のように判決を下します3階級特進
[01:16:38] 取り消し現在の階級を維持し
[01:16:43] ますそれでもお疲れ様でし
[01:16:47] [音楽]
[01:16:48] たでは私は元の任務に戻ります
[01:16:58] はいそう
[01:17:02] ですアークの立場から見て最悪の事態は
[01:17:07] ヘレティック級が2体以上アーク内部に
[01:17:11] 侵入することですアークの全力を注げば
[01:17:15] 撃退は可能ですが戦闘家庭でアークは壊滅
[01:17:21] 的な被害を受けます被害規模の予想
[01:17:25] 及び旧にかかる時間について情報が必要
[01:17:29] です
[01:17:30] [音楽]
[01:17:33] か機密事項のためお教えできません
[01:17:38] ピルグリムドロシーに関する情報は絶対に
[01:17:42] 漏らしてはいけないとの命令
[01:17:46] ですではお気をつけて
[01:17:51] [音楽]
[01:17:57] アークで問題が起きているようですねお
[01:18:02] ほぼ解決した気にしなくても大丈夫だ何か
[01:18:07] お手伝いでもしましょうかいいや大丈夫だ
[01:18:12] 私たちで解決できるそうですかそれなら
[01:18:17] いいのですがあ私が差し上げたプレゼント
[01:18:21] は受け取っていただけましたか
[01:18:25] 地上でもなかなか珍しいものです
[01:18:29] よ
[01:18:31] ヘレティックリスター
[01:18:33] だろうすぐにMMRのアトラス刑事に入れ
[01:18:38] ておい
[01:18:39] た技術チームがとても喜んでいた
[01:18:44] よ喜んでいただけて何より
[01:18:51] です聞いていたとは違う形できた
[01:18:56] がどどうしてなんだ
[01:19:01] ああ元々は極秘エレベーターに乗って
[01:19:05] アークに来るようおっしゃってましたね
[01:19:09] そのつもりでしたがアークに穴が開いて
[01:19:13] しまったのでそれにヘレティックまで来て
[01:19:17] いたので少々お手伝いしましたと登場が
[01:19:23] 派手すぎだ
[01:19:26] 市民がみんなシェルターにいたから良かっ
[01:19:28] たもののああれを見られていたらた大変な
[01:19:33] ことになっていたはずだそのためにやった
[01:19:37] んですよななんだってアークの人間
[01:19:42] に私という存在を見せつけるためにやった
[01:19:47] んですよでも皆さんシェルターに入ってい
[01:19:52] たんですか残念です
[01:19:56] ねいいものを見せてあげられたのに皆さん
[01:20:00] のノりに強烈な記憶を植えつけることは
[01:20:05] できませんでしたねついでにラプチャーも
[01:20:08] 処理するつもりでしたが興ざめしてしまい
[01:20:12] まし
[01:20:14] たああなたは極秘でアークに来るべきだっ
[01:20:18] たんだななのに公式訪問のようになって
[01:20:23] しまった
[01:20:25] おかげで釈名を求める声が上がっている
[01:20:31] へえヘレティックまで捕まえてあげたのに
[01:20:35] 私を責めているのですかあのままだと
[01:20:40] アークがどうなっていたかは皆さんお
[01:20:44] 分かりでしょうあアークは強い
[01:20:48] ヘレティック一体くらい十分に倒せる
[01:20:52] ああでは
[01:20:55] 私が余計なことをしたとそそうでは
[01:21:01] ないあまりにも目立つ登場をされては困る
[01:21:05] と言っているんだ先ほどから聞きたかった
[01:21:08] のです
[01:21:10] がなぜそんなに私がアークに来たことをけ
[01:21:16] にしたくないのですかピルグリムの1人が
[01:21:20] アークへやってきたことは決してににとっ
[01:21:24] て悪い話ではないはずです何かやしいこと
[01:21:30] でもそそういうわけじゃないお恐れている
[01:21:36] んだ恐れるい今はある程度解決したと
[01:21:41] 言えるがアクに外部の敵が入ってきたそ
[01:21:47] その状況でピルグリムであるあなたが現れ
[01:21:49] て突然戦戦告などされでもしたらアークは
[01:21:54] 混乱するはずだえヘレティックを撃墜して
[01:21:58] くれたからその疑いは減ったがままだ
[01:22:03] あなたの目的が分からない
[01:22:07] からそうですかそそろそろ本題に入って
[01:22:12] くれないかななぜアークに来て私に会おう
[01:22:18] としたんだアークとエデンの協を結びたい
[01:22:22] からです私はその協定の新前大使になり
[01:22:27] たいの
[01:22:28] です
[01:22:30] 協定あアークとエデンがはいな何の協定だ
[01:22:38] まずは技術の共有から始めて資源人材の
[01:22:44] 共有を行うことになるでしょうお互いに
[01:22:48] 良い影響を与えられるような
[01:22:54] の技術力はアークよりも優れています
[01:22:59] しかしエデンには決定的に足りないものが
[01:23:03] あるの
[01:23:05] です人材と資源かその通りです思ったより
[01:23:12] 話が通じますね
[01:23:15] しかしく詳しいことは分からないがエデン
[01:23:20] はアークを嫌ってると聞いたが
[01:23:25] そうですねだから私が必要なのです新前
[01:23:32] 大使である私がエデンとアークの中を
[01:23:36] 取り持ち
[01:23:40] ます信用できないというお顔です
[01:23:45] ねエデンがどうして今まで地上にいられた
[01:23:50] の
[01:23:50] かその答えがここに入っていますここれは
[01:23:57] 広範囲の工学明細技術のデータです是非ご
[01:24:01] 活用ください
[01:24:04] あ工学迷彩はいこれさえあれば地上の一部
[01:24:12] を永久的に奪還するのも夢じゃありません
[01:24:18] よ確かにこれで信用していただけますか
[01:24:25] 正直長い間交流がなかった場所に対して
[01:24:30] ヘレティックと工学明細を提供するのは
[01:24:34] すごいことだと思いますよここまで貢献し
[01:24:39] ても信用を得られないのであれば私は帰る
[01:24:43] しかありません
[01:24:46] ふま待って
[01:24:49] くれ首脳部と話してみようももちろん
[01:24:54] ま前向きな方向に誘導するつもり
[01:24:59] だそれは嬉しい言葉ですねま待ってもらう
[01:25:04] 間何をするつもりだでできる範囲で支援
[01:25:09] しようそうです
[01:25:11] ねアークをもう少し見て回りたい
[01:25:16] です分かったacuを
[01:25:20] つけよう密がある場所は不可能だが大体の
[01:25:24] 場所は見学できるよう話しておこう
[01:25:28] ありがとうございます
[01:25:30] あ聞きたいことがある
[01:25:33] んき急にアークと接触した理由が知り
[01:25:39] たい今まで何の動きもなかったエデンが
[01:25:43] どうして急に
[01:25:46] うんタイミング的に最も良いと判断した
[01:25:52] こととある
[01:25:54] 人間とあったことがきっかけとなったと
[01:25:58] 言っておきましょう私が望むものが何なの
[01:26:03] か改めて気づかせてくれたのですそそう
[01:26:08] かでではまた後で
[01:26:15] はい
[01:26:17] ポリはい福司令官様勤務中異常はないです
[01:26:23] よ引き続きドロシーにアークの案内をして
[01:26:27] ほしいだ大丈夫かはい光栄ですよんた頼む
[01:26:34] それ
[01:26:35] からドロシーの発言や行動を全て記録及び
[01:26:40] 報告してくれ
[01:26:43] あわかりましたお任せくださいよ
[01:26:49] [音楽]
[01:26:54] こんにちはドロシー様またご案内すること
[01:26:57] になりましたよろしくお願いし
[01:27:01] ますはいよろしくお願いしますどこか見
[01:27:06] たい場所はありますか人が多いところを見
[01:27:10] たいのですがそういう場所はありますか
[01:27:14] はいでも皆さんまだシェルターで待機し
[01:27:18] てるので全ラプチャーを撃退した後アーク
[01:27:22] が安全だと判断されたらシェルターを開く
[01:27:25] そうですよ2日ほどかかるそうですそれ
[01:27:30] ならMMRと呼ばれる場所があると聞き
[01:27:35] ましたがそちらは見られますかMMRは
[01:27:40] 機密施設なので出入りが制限されています
[01:27:44] いいえ中数部には入れませんが他の場所は
[01:27:48] 一般人の見学もできますよあそうでしたか
[01:27:53] 知りませんた
[01:27:55] ミランダこの間印刷しに行ったじゃない
[01:27:59] ですか
[01:28:00] [音楽]
[01:28:01] おうは思い出しました
[01:28:06] はでは行きましょうかはいお願いし
[01:28:13] [音楽]
[01:28:15] ますここがセシの働いていた場所思ってた
[01:28:21] よりつまらないわねえ
[01:28:25] 何でもありませんここを見学するとどんな
[01:28:29] 体験ができるのですかアークの技術発展に
[01:28:33] 関する歴史の説明と簡単な新技術の支援が
[01:28:37] ありますよ本来は毎日行われていますが今
[01:28:42] はアークの状況が良くないのであこの画面
[01:28:46] を操作すれば簡単に体験できますよあの扉
[01:28:51] は何ですか
[01:28:55] MMRの中枢へと繋がっている扉ですよん
[01:28:59] MMRの中枢はアークの技術の心髄が
[01:29:03] 集まっている場所なので一般人は絶対に
[01:29:06] 入れませんよ私もあの扉を開けたことが
[01:29:11] ないのでよくわからないです
[01:29:14] ねそうですか2階に行ってみましょうか2
[01:29:19] 階にはここにはない自販機があるのですが
[01:29:22] そこのアメリカン僕があの
[01:29:27] ポリー私眠いです
[01:29:32] えそれはずっと休んでないから当然
[01:29:40] うこれはなぜ
[01:29:44] お
[01:29:47] ポリーすみませんが私
[01:29:52] ちょっとねま
[01:29:55] すどうしてこんなに開くないでお2人とも
[01:30:02] 大丈夫ですかここ
[01:30:05] から出て
[01:30:17] ください死んではい
[01:30:19] ない気を失っただけね
[01:30:28] これはエブラ粒子の濃度が異常に高い地上
[01:30:33] じゃないのにどうしてこんなこと
[01:30:44] が私が昨日以上を起こすほどの脳が中で
[01:30:49] 何かが起きているようね
[01:30:58] [音楽]
[01:31:10] [音楽]
[01:31:13] あんなんだお前エデンのあれじゃねどうし
[01:31:18] てここに思ったより回復が早いんですね
[01:31:24] ニヒリスト
[01:31:26] 回復どうしてお前が知って
[01:31:29] [音楽]
[01:31:32] ああ俺を裏切ったのはお前かそうですよ
[01:31:38] 好きだらけだったのであっけないほどでし
[01:31:41] た
[01:31:43] がお前打つのがうまいなうますぎて
[01:31:49] 欲しかったところにちょうど当たったぜ
[01:31:53] わざとだったですって
[01:31:56] ああ俺が死んだって思わせる必要があった
[01:32:00] からなそうすりゃバカなアークの奴らが俺
[01:32:05] を解剖する気でここに連れてくんだろう
[01:32:09] すぐに陽光路に突っ込むべきだってのに
[01:32:14] さやっぱ人間はおもしれえよみんなバカで
[01:32:19] おもしれえ身のたに合わない欲望にまみれ
[01:32:23] ていっつも失敗するんだ
[01:32:27] ああでも荷物みたいにずるずる引きずるの
[01:32:31] はひどすぎるぜ高頭部がすれて痛かった
[01:32:36] ぞ次からは優しく頼むよ面倒なことをし
[01:32:42] ますねまこれくらいどってことねえからな
[01:32:48] 詳しくは尋ねませんどうせあなたは失敗
[01:32:52] するでしょうから
[01:32:55] そう思うのか待っ
[01:32:58] て
[01:33:00] あなた武装パーツはどこ
[01:33:05] へ今頃気づくなんて鈍い
[01:33:09] ねあいつらに食わせてやったのさスクスク
[01:33:14] 成長しろってな
[01:33:21] [音楽]
[01:33:28] 失礼し
[01:33:32] ます今すぐMMRへ出撃して
[01:33:39] ください突然MMRの中数部から超高濃度
[01:33:44] エブラ粒子が大量に散布されスキャンが
[01:33:48] できず詳しい事態を確認できない状態です
[01:33:53] マークの勢力がMMRに集結しています
[01:33:58] あなたも迅速な合流をお願いし
[01:34:04] ます
[01:34:05] はいですから直通回線を使ってご連絡した
[01:34:10] のです教えて超高濃度エブラ粒子は今まで
[01:34:16] 観測された回数が非常に少ないのですその
[01:34:20] うちの1回は
[01:34:22] ヘレティックビアとの戦中に観測されまし
[01:34:26] たメティスとアブソルート連合により深で
[01:34:30] をったインディビは逃走後体を回復してい
[01:34:35] ますそこで観測されたのが超高能エブラ
[01:34:40] 粒子ですエリア内の全通信機器を麻痺させ
[01:34:46] 2の機能の大部分を停止させますまるで
[01:34:51] 時間を稼ぐための円の
[01:34:54] そしてMMRのアトラス刑に保管されてい
[01:34:59] たマテリアルHはヘレティックインディ
[01:35:03] ビリアの破片ですヘレティック2リスター
[01:35:07] はそもそもMMR中枢への侵入が目的で死
[01:35:13] を偽装して目的地に潜入マテリアルHを
[01:35:18] 解放しインディアとして復活させることが
[01:35:24] であったと測されますその場合アークに2
[01:35:29] 機のヘレティックが侵入したことになり
[01:35:34] ます
[01:35:36] はい最悪の状況ですアーは壊滅的な被害を
[01:35:42] 受けるでしょうただしピルグリムドロシー
[01:35:46] が最後に確認された場所もMMRである
[01:35:50] ことが分かっています
[01:35:55] ピルグリムドロシーと合流して
[01:35:58] ヘレティックを撃退して
[01:36:02] くださいあなたと部隊員の付近にエブ粒子
[01:36:06] の浄化シースを集中させますそれでも濃度
[01:36:11] は高いと思いますが機能に問題は起こら
[01:36:14] ないはずですではお急ぎ
[01:36:18] くださいこれ大丈夫なのた
[01:36:23] もないじゃない本当にヘレティックが2機
[01:36:26] もいたらどうする
[01:36:28] の
[01:36:30] え私たちずっと勝ってきたじゃないですか
[01:36:35] ヘレティックに
[01:36:37] あそれもそう
[01:36:41] ね
[01:36:47] ラジャマテリアルH肉眼で確認エブラ
[01:36:52] リウスノードも確認ちょっと高いけど戦う
[01:36:55] のには問題ないわもう周囲を自分好みに
[01:36:59] 変えてあるんですねでもまだあの時の状態
[01:37:03] のままよヘレティックにはなってない最悪
[01:37:07] じゃないってことです
[01:37:11] ねMMR付近でピルグリムドロシーと交戦
[01:37:16] 中ですよしじゃあ早く倒しちゃいましょう
[01:37:21] はい官始め
[01:37:25] ます
[01:37:28] [音楽]
[01:37:32] エンカウンタークリアマテリアルH沈黙
[01:37:39] 確認ひとまず安心ねじゃあニヒスターを
[01:37:43] 捕まえに皆さんちょっと変じゃありません
[01:37:49] か何がエニックは確かにアークの勢力が
[01:37:55] MMRに集結してると言っていたの
[01:37:59] に誰もいませんよ
[01:38:04] おお指揮官エニックと連絡を
[01:38:23] よどうなってる
[01:38:32] の何よこれ周りの壁が崩れて
[01:38:43] ます
[01:38:45] ダミ空間自体をトミーで作ったってこと
[01:38:54] じゃあ私たちが今倒したのは時間稼ぎよう
[01:39:02] ね遅かっ
[01:39:06] [拍手]
[01:39:17] たニヒリスタそこにいますか
[01:39:25] [音楽]
[01:39:27] [拍手]
[01:39:29] 久しぶりだな具合はどうだお腹がいっぱい
[01:39:36] ですあんなにたくさんのニを食ったんだ
[01:39:39] からな次から次へと集まってきたよな私を
[01:39:45] 食べてくださいてもっと食べられますか
[01:39:50] もちろん
[01:39:52] はいくらでも転がってるからなどれ
[01:39:57] どれ
[01:39:59] とりあえず俺らの前にいる奴らから食って
[01:40:02] みるかわかりまし
[01:40:07] [音楽]
[01:40:10] [拍手]
[01:40:15] たり
[01:40:27] そういえば私の体構築されたんでしたね
[01:40:33] 吸収機能はなくなってますよね触手の
[01:40:37] 代わりに剣を振り回すなんてバカみたい
[01:40:41] ですまあ徐々に覚えていけば大丈夫だっ
[01:40:47] て
[01:40:52] ヘレティックの見てく剣の形になってい
[01:40:56] ますアニスとネオンはあれにやられました
[01:41:00] 音速以上のスピードなのでご注意
[01:41:05] ください大丈夫ですまだ死んではいません
[01:41:09] 処置が遅れなければ助かり
[01:41:15] ます
[01:41:18] はい今のとろはありませんメティス隊ルト
[01:41:23] 部が合流中ですが20分はかかる予定です
[01:41:28] 合流しても勝利は故障できませ
[01:41:33] ん1km離れたところで狙撃準備を行って
