# NIKKE 第28章 转录
视频ID: GO6Tai5YPag
[00:43:21] よ左の方が少し明るいですねじゃそっちに
[00:43:27] 行くっす
[00:43:29] うんお待ちいただけます
[00:43:34] かおかしい
[00:43:36] ですどういうこと右の道のクリスタルは
[00:43:41] なぜ暗くなっていないのでしょうか
[00:43:44] クリスタルの塊と繋がっていない方は光が
[00:43:48] 消えるということでしたよねうんそうです
[00:43:54] なあとこれはあくまでも私の感覚です
[00:44:00] が右の道は何と言えばいいでしょう
[00:44:05] かわざとらしい感じがしますわざと
[00:44:10] らしいはい今までの道はクリスタルが勝手
[00:44:15] に生えたという感じでしたがこの道はそう
[00:44:20] 見えるように取りろっている感じがし
[00:44:24] ます不なもにような不安定さを感じません
[00:44:30] それに道が異様に曲がりくねってい
[00:44:34] ます正面から見た時に曲がった先が見え
[00:44:38] ないほど急カーブになっていますよねここ
[00:44:41] が貿易で栄えた都市ならそんな道路は
[00:44:46] らしくありません本能的に避けたくなる
[00:44:50] ように作られていますあちらの道はお宝で
[00:44:55] も隠してるとかっすか
[00:44:58] 気になりますなあっちに行ってみたくなり
[00:45:01] ました
[00:45:02] ぞ何かがあるパターンに違いありませんな
[00:45:06] これは
[00:45:07] うんそうねそういう時って大体何かあるわ
[00:45:12] よ
[00:45:17] [音楽]
[00:45:21] ね水溜まりがあります
[00:45:25] ぞに歩けば大丈夫っす浅いっす誰か私を
[00:45:31] 運んでいただけませんかな電子機器は水に
[00:45:35] 弱い
[00:45:36] ゆえじゃ私が音部するす指揮官
[00:45:42] 様私も誰かに背負って欲しい
[00:45:46] な
[00:45:48] なんてリバリー体調が悪いなら私が担いで
[00:45:52] いくわいえ行ってみただけです
[00:46:01] うわ天井が低すぎるっす腹ばいで行か
[00:46:05] なきゃだめそうね私たち服全身も慣れた
[00:46:10] ものですよね官様先に
[00:46:15] 行くこれは腹ばいでも通れない気がするっ
[00:46:19] すじゃあひとまず横になってください私が
[00:46:23] 引っ張ります
[00:46:26] [音楽]
[00:46:27] する荷物じゃないんだからよくこんな
[00:46:31] ルートを見つけられますねエリアスキャン
[00:46:35] では発見できませ
[00:46:37] んこれで生活してますからね何かこちが
[00:46:43] あるんでしょうか参考にさせていただき
[00:46:45] たいですそれは勘弁してください営業秘密
[00:46:51] ですから
[00:46:58] ここ本当に真っ暗ですね何も見えませ
[00:47:03] ん暗モードに切り替えても何も映らない
[00:47:07] [音楽]
[00:47:10] なんてどどうし
[00:47:14] ましょうそうだ指揮官
[00:47:18] 様手を握っていただけません
[00:47:24] かえ
[00:47:27] の手を叩いたの誰ですかやれやれ何も見え
[00:47:32] ない時こそ私がまた活躍する番ですねこの
[00:47:37] メガの力を使いますトインクル
[00:47:44] あ携帯にライト機能がありますぞ
[00:47:48] うそうかもしれませんが目から光を出す方
[00:47:53] がかっこいいじゃないですか
[00:47:56] [音楽]
[00:47:59] もう少し左を見せてくださいはい確認し
[00:48:03] ました問題やりませんオペレーションデ
[00:48:07] バイスってこんな使い方もできるのねまあ
[00:48:11] 普段からデバイスのカメラを通して状況を
[00:48:14] 確認しているわけですから耳に入るくらい
[00:48:18] 小さなサイズを生かせば狭い場所の確認に
[00:48:22] も使えるということですねあくまで間の視
[00:48:26] にに合わせて装着するよう作られています
[00:48:29] し本来の使い方ではありません
[00:48:32] オペレーションデバイスをぐるぐる回し
[00:48:35] たらどうなりますかな私の目もぐるぐる
[00:48:39] 回りますとにかくクリスタルは確認され
[00:48:43] ませんでした狭いですが通行には問題あり
[00:48:47] ませんあでも私はちょっと引っかかりそう
[00:48:52] 私もですネオン先に進んで道を広げててよ
[00:48:57] 引っかからずにささっと通れる
[00:49:00] [音楽]
[00:49:12] でしょやっと広いところに出たわ
[00:49:16] ね皆さんお疲れ様でした止まって正面に
[00:49:23] ラプチャーラプチャーどうしてこんなとに
[00:49:28] どう見てもあれが通れるような道じゃあり
[00:49:31] ませんでしたよねこのルートどうやら
[00:49:35] 当たりのようですなどう考えても
[00:49:39] ラプチャーをここに配置してから道を
[00:49:41] めちゃくちゃにしたに違いありませんぞ
[00:49:44] つまり門番ですぞモバじゃあ本当にこの先
[00:49:50] にお宝でもあるっすか間違いないですぞ
[00:49:55] ひょっとしたらクリスタルの秘密が隠さ
[00:49:58] れれているかもしれませんなここも
[00:50:02] やっぱりラプチャーがこちらを認識しまし
[00:50:05] た周辺に多数のクリスタルがあります注意
[00:50:09] して戦って
[00:50:12] [音楽]
[00:50:15] くださいラプチャー前期の沈黙を確認し
[00:50:18] まし
[00:50:20] た皆さん前方を確認してください鉄の扉の
[00:50:25] ようです
[00:50:28] うお思ったよりドキドキするわね早く早く
[00:50:33] 中に入りましょうぞオケーす私が開け
[00:50:38] るっすちょっと待ってくださいここに来る
[00:50:42] までずっと感じていたことですが全てが
[00:50:48] わざとらしすぎます狭くて通りにくい道
[00:50:53] クリスタルの配置
[00:50:56] それに先ほどのラプチャー
[00:51:00] もこれは知性を持った何かの手によるもの
[00:51:05] ですいかにもだからこそドキドキするので
[00:51:10] はエグ様の知的探求心は素晴らしいと思い
[00:51:14] ますがただの探索で済まなくなるかもしれ
[00:51:18] ませんよもしこの先に知性を持った何かが
[00:51:22] いるとし
[00:51:23] たらそれは
[00:51:26] 一体何でしょうかクリスタル人間に違い
[00:51:30] ありませんな想像力が豊かでいらっしゃい
[00:51:34] ますねエグ
[00:51:37] 様とにかくここは手をつけないことにして
[00:51:41] クリスタルの塊りを目指した方が考えても
[00:51:45] 見て
[00:51:47] くだされそもそもクリスタルからして誰か
[00:51:50] が目的を持って作ったもので間違いあり
[00:51:53] ません
[00:51:54] なすなわち
[00:51:56] 人工物ということですぞリバリン氏の言う
[00:52:00] 通りここまでの道もわざと作られたものだ
[00:52:04] とするならばその知性を持った何者かが
[00:52:08] 全てを行っている可能性が高いですな
[00:52:13] つまりこの先にクリスタルを作った超本人
[00:52:17] がいるかもしれないということですぞ聞き
[00:52:21] たいことが山のようにありますぞワクワク
[00:52:24] が止まりませんな
[00:52:28] ヘレティックかもしれませんヘレティック
[00:52:31] の悪夢カウンターズがおりますからな何の
[00:52:35] 問題もないですぞ
[00:52:38] えへんお願いだからその呼び方はやめて揮
[00:52:43] 官リバリーの懸念は妥当なものですこの先
[00:52:47] に知性を持った何かが存在する可能性それ
[00:52:50] が敵対的である可能性いずれも高いと思わ
[00:52:54] れます最悪の場合
[00:52:57] ヘレティックということもありえるか
[00:53:01] とそれでも進むべきと考えます誰が見ても
[00:53:07] 明らかに不審な場所です相手が敵対的で
[00:53:10] あろうとなかろうと有益な情報は入手
[00:53:13] できると思われ
[00:53:15] ますハンマリング扉を開けて私たちが後ろ
[00:53:20] から援護する分かったっす
[00:53:24] [音楽]
[00:53:36] エレクこの音はいかにも機械の駆動音です
[00:53:43] なこれ
[00:53:45] は何でしょう
[00:53:53] かこれは
[00:53:56] の装置です
[00:53:58] なしかもかなり気の入ったものとりあえず
[00:54:03] ブームがインストールできるか確認してみ
[00:54:06] ますかななんでそこからなのよ指揮官中心
[00:54:11] のクリスタルは中に何かが埋まってい
[00:54:23] ます不明です
[00:54:27] 破壊しますそうしなければなりませ
[00:54:31] ん嫌な予感がしますこれは破壊されるべき
[00:54:35] です
[00:54:36] おラピ大丈夫ですかラピの口から予感
[00:54:42] なんて言葉が出てくると余計怖くなるわね
[00:54:46] 破壊します
[00:54:49] 触る
[00:54:52] な
[00:54:53] なそれ
[00:54:58] 触る
[00:54:59] な
[00:55:02] 殺すどちら様ですかどうしてここにいや
[00:55:08] ここに押し入ったのは私たちの方ですぞ
[00:55:11] 識別不のデータベースに登録されていない
[00:55:15] 個体です
[00:55:18] まさかピルグリム
[00:55:22] [音楽]
[00:55:32] [音楽]
[00:55:34] ハンマリングし出
[00:55:37] て
[00:55:41] [音楽]
[00:55:43] 行けあれって
[00:55:47] 棺
[00:55:49] 全員出
[00:55:51] て
[00:55:53] 行けどちら様
[00:55:56] かな出
[00:55:58] て
[00:56:00] 行け
[00:56:02] ピルグリムピルグリムせめて写真だけでも
[00:56:05] 撮れれば取引に出
[00:56:08] て行かないのか
[00:56:14] なら殺
[00:56:23] す待って待ってまずは話し合いましょうよ
[00:56:28] 指揮官戦闘になります先手
[00:56:32] 必勝
[00:56:34] セブンス
[00:56:36] ドワーフ
[00:56:38] レディセブンスドワーフ
[00:56:48] [音楽]
[00:56:57] な何ですかこの火力はなんなのよ
[00:57:02] あれあなた
[00:57:06] 何者誰かと聞いている写真写真
[00:57:11] も
[00:57:12] やめあ
[00:57:32] う何考えてるんですかな逃げるなり戦う
[00:57:37] なりしないと呑気に撮影してる場合では
[00:57:40] ありませんぞちょちょっと解いてください
[00:57:44] 取れたら離れます
[00:57:45] からハンマリングが負傷してるんです
[00:57:50] ぞ接近して格闘戦で近づけるならね私が
[00:57:56] 注意を引き
[00:57:57] ます崩壊した壁から大量のラプチャーが
[00:58:02] 接近
[00:58:05] [音楽]
[00:58:09] 中あはい
[00:58:14] いかせ
[00:58:25] ない言ったことあったっすか
[00:58:29] 私実は野球選手が夢だったっすそれはもう
[00:58:35] 聞きましたなバッターは無理そうでしたぞ
[00:58:38] ちょっと危ない
[00:59:01] エンカウンター全員ポジション
[00:59:06] チェックあいつ逃げ出したみたいよですが
[00:59:10] 念のため警戒を続け
[00:59:14] ますモリング氏腕がちょっと怪我したみた
[00:59:20] いっす
[00:59:21] ね平気すほっとけば治るっすよ
[00:59:26] クリスタルが刺さりまくってますぞ早く
[00:59:29] 抜かないと長引かせず一気に片付ける
[00:59:33] フォーメーションFF火力
[00:59:37] [音楽]
[00:59:41] 集中状況終了ハンマリング
[00:59:45] は
[00:59:47] う大丈夫
[00:59:49] す申し訳な
[00:59:52] いっす動いちゃだめですぞ今クリスタル
[00:59:56] 抜いてますから揮官様中央のクリスタルが
[01:00:00] なくなってるあの方も見当たりませ
[01:00:05] んデータベースに未登録の2です正確には
[01:00:10] 2かどうかも不明ですピルグリムの可能性
[01:00:14] が高いと思われます該当の人物をアノンと
[01:00:18] 過小します追跡してくださいこのエリアと
[01:00:23] 密接な関係があるものと推測されます
[01:00:28] はい追跡
[01:00:34] しよよりによってこんな時
[01:00:39] にリバリーアンノウンの追跡はま待って
[01:00:53] くださいリバリー何してるの
[01:00:56] あすみません一瞬
[01:01:08] だけ携帯見てる場合じゃない
[01:01:12] でしょラプチャーが来ます
[01:01:16] ぞリファリン
[01:01:19] しななんとかなるよね
[01:01:26] 行きましょうご案内し
[01:01:31] ますこの道ははいクリスタルの塊へ続く道
[01:01:37] ですアンノーンはおそらくクリスタルの塊
[01:01:41] へ向かったはずですあいつ確かにセブン
[01:01:46] スドワーフって言ったわよねはい間違い
[01:01:50] あり
[01:01:51] ます何者かしらそれに
[01:01:56] クリスタルの中にあったのは何
[01:02:00] エレグリッタ人間じゃありませんかいや2
[01:02:04] だったはずです
[01:02:05] ぞ何してたのかしら確かなのはあそこが誰
[01:02:11] かに知られたくない場所だったということ
[01:02:13] ですな念入りに隠してありましたから
[01:02:18] なそれにあの医療
[01:02:23] 機器う
[01:02:27] 何もわからないです
[01:02:30] な深く考え込んでるから何か気づいたの
[01:02:34] かって期待しちゃった
[01:02:38] わ私は大丈夫っす大丈夫じゃありませんな
[01:02:43] 背中はともかく腕にクリスタルのかけらが
[01:02:46] 大量に刺さりましたから
[01:02:48] な全部抜いたはずですが小さなものが残っ
[01:02:52] ているかもしれませんぞ早く帰還して精密
[01:02:57] 検査を受けるべきですなそういうのは腕に
[01:03:01] 力を入れれば抜け
[01:03:03] るっす冗談ではありません
[01:03:06] ぞそれに初見の相手にいきなりハンマーは
[01:03:11] 関心できませんな戦わずに住んだかもしれ
[01:03:15] ませんからな最初から銃で狙われてたっす
[01:03:19] よだから先に攻撃したっ
[01:03:23] すそういうことでたか感謝しなければなり
[01:03:28] ませんか
[01:03:29] な私だって境いなく振り回すわけじゃな
[01:03:34] いっすわかりましたな申し訳ありません
[01:03:40] ぞネオンさっきから苦虫を噛みついたって
[01:03:45] 感じの顔ね
[01:03:47] うアニス噛みついたことがあるんですか
[01:03:51] そういうことじゃないでしょあの
[01:03:56] しばらくまっすぐ進めばいいので私は
[01:03:59] ちょっと連絡
[01:04:01] を連絡ははい大切なお客様なのでそう
[01:04:10] こんな時まで相手しなきゃいけないなんて
[01:04:13] あなたも大変
[01:04:16] ね全くですね
[01:04:48] ああ
[01:05:02] 最悪官
[01:05:05] 様中央政府に骨が終わりですよ
[01:05:11] ねその
[01:05:14] もし前方案運を
[01:05:21] 確認疲れているようねん
[01:05:25] て動いてるわけだしね荷物が重そうですが
[01:05:30] 私たちで手伝いましょうかいいわね持って
[01:05:34] あげましょうついて
[01:05:37] 来るじゃあこっちに来てもらえますそう
[01:05:41] すればついていかなくて住みますから
[01:05:45] 言葉遊び
[01:05:49] 必要ないはいすみませんあなたは
[01:05:54] 誰次は何セブンスドワーフと言ったのは
[01:05:59] どういうこと何を隠しているの知らなくて
[01:06:12] いい
[01:06:14] 人間人間
[01:06:16] は
[01:06:18] 裏切る
[01:06:21] 約束守らないお前も
[01:06:26] 同じちょっとあなたが指揮官様の何を知っ
[01:06:30] てるっていうのよ
[01:06:33] 人間
[01:06:36] みんな
[01:06:37] 同じだ
[01:06:40] から来る
[01:06:46] な
[01:06:51] ラジャ来るな
[01:07:01] クリスタル
[01:07:11] が
[01:07:13] そんなエネルギーを注入したのですかな
[01:07:19] みんな下がるす壊すっす
[01:07:29] 消えました
[01:07:31] ねですがクリスタルの塊を目指している
[01:07:35] ことは分かっていますから追跡を続けれ
[01:07:43] ば今度は何
[01:07:46] 自信ではなさそうです
[01:07:50] ね周辺のクリスタルに異常発生
[01:07:55] 何よこれなんでこんなに光ってる
[01:08:04] [音楽]
[01:08:07] のこっちは塞がって
[01:08:11] るっすさっき通ってきた道ですぞっす手も
[01:08:16] 塞がってるっす左です左に行きましょう
[01:08:21] あっちはクリスタルがびっしりよじゃあ
[01:08:25] 11時の方向はああのクリスタル鳥みたい
[01:08:30] ですねさっきはなかったです
[01:08:34] がみ道がめちゃくちゃ
[01:08:40] ですクリスタルの成長がどんどん加速して
[01:08:44] いますこれまでのルートは使用できない
[01:08:47] ようですそそれから気のせいかもしれませ
[01:08:51] ん
[01:08:52] がくクリスタルがこちらにに向かって伸び
[01:08:56] てきているようなその通りっすこっちに
[01:09:00] 向かって成長して
[01:09:03] るっすクリスタルからしてみれば我々は
[01:09:06] 栄養の塊ですから
[01:09:09] なアノ音が差し込んだ悔のようなものは
[01:09:13] 一体何だったのでしょうか
[01:09:16] なこれだけのクリスタルを全て巨大化さ
[01:09:19] せるほどのエネルギーが内蔵されていたと
[01:09:22] は思えないですが
[01:09:23] なとどうし
[01:09:32] ましょう
[01:09:39] はえ了解しましたリバリークリスタルの
[01:09:43] 塊りまでの道案内は頼めるでできますやっ
[01:09:49] て見せますでは私が戦闘に立ちますので皆
[01:09:53] さんは後についてきてください
[01:09:56] 私もリバリン氏と一緒に戦闘に立ちますぞ
[01:10:00] え何か柵が終わりですかそうですな進み
[01:10:06] ながらモバイルバッテリーでクリスタルの
[01:10:09] 注意を引いていきますぞ
[01:10:12] おモバイルバッテリーをオーバーロードさ
[01:10:15] せるとほんの一瞬ですがエネルギーが急増
[01:10:19] しますなクリスタルはエネルギーに
[01:10:22] 引き寄せられるつまり投げればおとりとし
[01:10:26] て使えるはずですぞ20個ほど持ってい
[01:10:29] ますのでそれなりに役立つはずですなどこ
[01:10:33] にそんなにしまってたの
[01:10:39] よあちこち大騒ぎです
[01:10:43] なとにかく早く行きますぞははい
[01:10:51] [音楽]
[01:10:57] エグ様右です正知です
[01:11:05] ぞいやあ効果抜群ですなモバイル
[01:11:10] バッテリーを投げておけば私たちは存在し
[01:11:13] ないも同然のようですぞ思ったより簡単に
[01:11:18] いけそうです
[01:11:19] な本当にすごいですねこの状況でそんな
[01:11:23] ことを思いつくなんて
[01:11:26] 私はパニックになって何もできなかったの
[01:11:30] にいやいや道がなくなったら道案内が
[01:11:34] 慌てるのは当然と言えますな私も電子機器
[01:11:39] がなくなったら慌てていたと思いますぞで
[01:11:43] もすぐに誰かに頼ろうとしたりはしない
[01:11:47] でしょう
[01:11:49] ほい私は道に迷ったら誰かに頼らずにはい
[01:11:54] られなくなってしまい
[01:11:56] ます誰でもいいからとただ依存してしまっ
[01:12:01] てそういう時こそ助け合いというものです
[01:12:06] な
[01:12:08] 助け合い指揮官様大丈夫
[01:12:14] かなり突っ走ったのによくついてこられた
[01:12:17] わ
[01:12:18] ね揮官様体力つけたのねそうですねつい
[01:12:24] 最近まで
[01:12:25] こういう時はラピが背負っていたのに
[01:12:29] そんなことはない
[01:12:31] わ大丈夫っす体が少し重いっすけど問題な
[01:12:37] いっす一応の支援は要請してありますっ
[01:12:41] たらすぐに治療を受けられるよう準備して
[01:12:44] おきますねありがたいっ
[01:12:46] すよろしく頼むっすもちろんです
[01:12:51] あ10時の方向にアンノンを
[01:13:01] 確認
[01:13:02] エレビモバイルバッテリーを1つくれ
[01:13:05] るっすか
[01:13:06] はい構いませんがなぜですかなモバイル
[01:13:11] バッテリーをあっちに飛ばしてアンノーン
[01:13:14] を当せするのはどうすかどう飛ばすんです
[01:13:18] かなハンマーがあ
[01:13:21] るっせなるほど
[01:13:27] 気づかれました攻撃を確認私が迎え
[01:13:32] っす下がってください電撃団です着弾予想
[01:13:36] は列の中間
[01:13:52] です壊すっす
[01:13:55] 行けません高圧放電です収まる前に接近
[01:13:59] すると脳まで焦げる危険があり
[01:14:02] ますこんな手を使う
[01:14:05] なんてやっぱりこっちから仕掛ければ
[01:14:08] よかったっ
[01:14:11] すはい聞こえ
[01:14:16] ます第2者が来
[01:14:23] ますわ分かりましたまた後ほどです
[01:14:35] [音楽]
[01:14:38] ぞもういなくなりましたかな
[01:14:43] あ
[01:14:44] はい誰もいなくなったよう
[01:14:48] です道は幸いあと少し進めばクリスタルの
[01:14:54] 固がある場所に出るはず
[01:14:56] です皆さんも無事にたどり着けることを
[01:14:59] 願いましょう
[01:15:02] お心配ですぞあっちには道案内役がいませ
[01:15:06] んからな大丈夫
[01:15:09] でしょう皆さん臨機応変に対応できる方
[01:15:13] ですから距離もそんなに遠くありませんし
[01:15:18] たどり着けるはずです私たちは自分の心配
[01:15:22] をした方がいいですね
[01:15:25] なぜですかな道案内役もいるではありませ
[01:15:28] ん
[01:15:29] か道案内としてあまり役に立てそうにない
[01:15:35] ので
[01:15:37] うリバン氏はいリバリン氏はなぜこの作戦
[01:15:44] に志願したのですかなそれは当然もう少し
[01:15:49] いい暮らしがしたかったから
[01:15:52] です少し考えてみたのです
[01:15:56] 他の仕事を探せばいいだけで
[01:15:59] はエルグ様のおっしゃりたいことは分かり
[01:16:03] ますがそんな簡単に
[01:16:05] は一口に運送と言っても色々な仕事があり
[01:16:10] ます
[01:16:10] な荷物運びしかないわけでもないです
[01:16:14] ぞ命をかけて逃げ出したいほど他人のごき
[01:16:19] 取りをするのが嫌という
[01:16:21] なら稼ぎが少なくてもの仕事すれば良いの
[01:16:25] では
[01:16:29] うリバン
[01:16:31] 氏探索に志願したのは他の理由がありそう
[01:16:36] ですな
[01:16:38] はいその通り
[01:16:40] です教えていただけますか
[01:16:45] な逃げ出したいのも間違いではありません
[01:16:50] でもそれははあ
[01:16:56] すみませ
[01:16:57] んやはりまだエグ様を信用できません
[01:17:04] うんそうですかそれなら仕方ありません
[01:17:09] な信用できないと言ったそばから申し訳
[01:17:14] ないのですが私も気になることがあります
[01:17:19] レグ様は生活にも困っていなさそうですし
[01:17:23] 私のようなストレスがあというわでもなさ
[01:17:26] そうですがどうしてこんな危険な仕事に
[01:17:30] 志願したのですかいやいや何をおっしゃい
[01:17:35] ますやら私もストレスだらけです
[01:17:40] な全然そうは見えないという表情はやめて
[01:17:44] いただきたいところですが
[01:17:47] うすみませ
[01:17:49] [音楽]
[01:17:51] ん私がここに来た理由はですストレス解に
[01:17:57] なる何かが欲しかったのですな私にとって
[01:18:01] は生きていること自体がストレスですから
[01:18:04] ななぜです
[01:18:08] かアークは1000万人が暮らしている
[01:18:12] 場所ですなアウターリムを覗けばインフラ
[01:18:16] 水準はとても高い大部分の人たがそれを授
[01:18:21] していますなしかし
[01:18:25] と思いませんかなアークに発電資源など
[01:18:29] ありませんぞ火力風力水力原子力何1つも
[01:18:38] ではここで問題です
[01:18:41] な高水準の文明をみんなが当然だと思い
[01:18:45] ながら
[01:18:46] 暮らすそのために必要なエネルギーは
[01:18:51] 果たしてどこから来るのですかな
[01:18:55] [音楽]
[01:18:58] えっと私はその答えを知っております
[01:19:02] なだからここに来たというわけですぞもし
[01:19:08] 答えを知ってしまえ
[01:19:09] ばリバン氏も1分1秒たり
[01:19:14] ともあの場所で暮らしたくないと思うよう
[01:19:17] になるはずですぞ
[01:19:21] [音楽]
[01:19:25] 問題が起きまし
[01:19:27] たどうしたの目がすごく痛いですどうして
[01:19:34] 情報分析機能をずっと使っていたので情報
[01:19:38] 分析って眼鏡の機能でしょ自分で能力を
[01:19:42] 使ってるわけじゃないわよね見るのは私の
[01:19:45] 目ですよじゃかして私が使うから
[01:19:51] ええいくら活躍してないからって手能力を
[01:19:55] 奪おうとするのはひどすぎませんか活躍し
[01:19:59] てないって言わないでよはいすみません志
[01:20:06] 官クリスタルの塊りからの光原とは明らか
[01:20:10] に接近してい
[01:20:11] [音楽]
[01:20:15] ます大丈夫です
[01:20:18] かクリスタルの成長もだいぶ落ち着いてき
[01:20:22] たようです他に問題が起きなければまも
[01:20:26] なくクリスタルの塊に到着し
[01:20:30] ますはい大きな問題はないかと道案内役と
[01:20:36] 臨機応変に対応できるものが揃っています
[01:20:39] から戦力の低さはやや心配ですがでもこの
[01:20:43] 辺のラプチャーは全般的にヘロヘロみたい
[01:20:46] だし賞賛はあるっす
[01:20:49] あでも質問すなんでそもそもラプチャーが
[01:20:53] いるっすか
[01:20:55] えそりゃラプチャーなんて地上ならどこに
[01:20:58] でもあれちょっと待っ
[01:21:01] てそう言われてみれば変よ
[01:21:05] ね考えてみたらこんなところラプチャーに
[01:21:08] とっては墓場みたいなものでしょ
[01:21:11] ラプチャーを養分にするクリスタルだらけ
[01:21:14] だものどうしてラプチャーがいなくなら
[01:21:17] ないのかしら2つ考えられるわこのエリア
[01:21:22] に適用したラプチャーだけが生き残ってる
[01:21:25] 誰かがラプチャーをここに送り込み続けて
[01:21:28] いるか2つ目の方が可能性は高そうね
[01:21:33] えクリスタル自体が意図的に作られたもの
[01:21:37] だとするならその養分となるラプチャーも
[01:21:41] 意図的に投入されていると考えられる
[01:21:44] どんな裏があるっていうのかしらこんな
[01:21:47] ことにさあところで皆さん地面が少し揺れ
[01:21:54] てる気がしませんかあれそうですね位置が
[01:21:59] 微妙に釣るサホラプチャーの大軍
[01:22:09] ですなんであんなに多いのよ必死に動いて
[01:22:13] いる感じがしますね
[01:22:26] みんなもうすぐ目的地に到着するわ警戒し
[01:22:31] ておそらくラプチャーが逃げていることと
[01:22:34] 関係がある
[01:22:45] はずちだよね目の前で見てるのに現実感が
[01:22:50] ないわこれどうするんですか
[01:23:06] エレグリッタの塊に体が半分埋もれて
[01:23:09] るっす
[01:23:19] えああれマップ立つになってないでしょう
[01:23:25] 違うと
[01:23:27] 思うどうして分かるのもがいてる生きてる
[01:23:32] わ無事なのよね
[01:23:36] ええよく聞けば声がするわおおうわどう
[01:23:42] いうことですかなどうして埋まってるん
[01:23:45] ですかなわ私外から見たらお尻だけ出て
[01:23:50] ません
[01:23:50] かし四官様に見られたらどうしましょう
[01:23:54] 今日今日は準備してないの
[01:23:58] に救出するわうん行きましょう眼鏡の機能
[01:24:04] はもう止めてもいいですよねすごく目が
[01:24:07] 痛いのです
[01:24:09] がまだつけてたのそれより普通こういう
[01:24:14] 場所ってモバとかがいるわよねそうねいつ
[01:24:20] どこから出てくると思う私だったら今この
[01:24:23] 瞬間
[01:24:24] 空中から登場しますねロード球が接近
[01:24:32] 中ネオンあなたまさかち違いますよただ
[01:24:39] 言ってみただけ
[01:24:44] です交戦しますこいつのせいで逃げてた
[01:24:49] っていうわけじゃなさそうよねええ
[01:24:52] おそらく他にまだ何かはずよ気を引きしめ
[01:24:56] て
[01:25:00] [音楽]
[01:25:03] ラジャ嘘でしょ信じられ
[01:25:07] ない周囲の電気エネルギーを吸いつくして
[01:25:11] 一気に成長したようねラプチャーと呼んで
[01:25:14] いいのでしょうかいいえもう別の何かだと
[01:25:19] 考えた方が良さそう
[01:25:24] はい緩やかに動きながら周辺のエネルギー
[01:25:28] を完全に吸収してクリスタルの領域を
[01:25:31] 広げる役割を果たしていると思われます
[01:25:34] ラプチャーからすれば墓地が向こうから
[01:25:37] やってくるようなものかとだからあんなに
[01:25:41] 必死に逃げてたのね私でも逃げ出したはず
[01:25:51] ですうわ言いですぞ優しく引っ張って
[01:25:58] くだされエグはすっぽりはまっちゃって
[01:26:02] るっすすっぽりですかなリバリーじっとし
[01:26:07] ててくださ
[01:26:08] いっすそそれがくすぐったく
[01:26:15] て待ってくださいそこは押さない
[01:26:20] でこりゃダめっす壊すしかない
[01:26:25] ええダメですぞどうなるか分かりませんぞ
[01:26:30] このままずっと挟まってる方が困るんじゃ
[01:26:33] ないっすかうそれはそうです
[01:26:37] なじゃあ
[01:26:41] 壊しまずいっす皆さん発信器を持ってない
[01:26:45] すかはい持ってますよスパイの羊品なの
[01:26:51] で近づかないでこっちに投げてくださいっ
[01:26:55] す
[01:26:56] お
[01:27:01] はい地盤が緩んでるっすこの
[01:27:05] クリスタル多分下に落ちるっす
[01:27:09] え皆さんは危ないので近づかないでくださ
[01:27:13] いっすその
[01:27:15] 代わり私たちを探しに来てほしいっすま
[01:27:20] 待ってよ何を言ってうわあ
[01:27:24] どういうことですかななななななんですか
[01:27:29] しっかり捕まるのですぞリバ
[01:27:32] リージどどこにですかどこでもですぞいや
[01:27:38] 私は掴むものではありませんな他に手の
[01:27:42] 届くものがないんですな何が起きているん
[01:27:47] でしょうかあ異常動を地待っ
[01:27:52] てるまだ死たくな
[01:27:55] [拍手]
[01:28:12] いっす指揮官こちら
[01:28:16] を下をご覧ください
[01:28:31] はいエレベーターです
[01:28:36] [音楽]
