# NIKKE 第29章 转录
视频ID: 4Us6rnpY4OE
[00:45:23] なとりあえず
[00:45:27] よ狭い道を選んで進んでいます
[00:45:31] が私たちどこを目指せばいいのでしょう
[00:45:36] ひとまず安全に避難できる場所ですかな
[00:45:41] そんな場所あるでしょうかここについては
[00:45:44] 何も分かりませんし
[00:45:47] うんと金にハンマリングし体調はいかが
[00:45:51] ですかな大丈夫す問題ないっす腕が
[00:45:57] ボロボロです
[00:45:59] ねとりあえずクリスタルの影響が少なそう
[00:46:02] な場所を探してみます
[00:46:04] ねそれ
[00:46:06] より私もよくわかりませんがハンマリング
[00:46:10] 様の腕
[00:46:12] は気持ちを整えておいた方が良さそうです
[00:46:17] ね私もそう思いますなこのまま放っておい
[00:46:22] たらコアまで入り込まれるかもしれません
[00:46:25] ぞ分かってる
[00:46:28] やばそうになったら必ず言うすその時
[00:46:31] 手伝ってくださいっす話してもらえない気
[00:46:35] がしますな同感
[00:46:38] ですとにかく安全な場所へ行くのが第1つ
[00:46:43] なそこでなんとか通信できるよう計画
[00:46:47] [音楽]
[00:46:53] をどうも
[00:46:57] もしかしてそちらさんも迷子ですかなここ
[00:47:02] まで来たかどこまで知っている我々は何も
[00:47:10] 知りません
[00:47:11] ぞ出て受け帰り道さえ分かればそうします
[00:47:17] ゆえ教えていただけませんか
[00:47:21] な倒してから聞いた方が早そっすできそう
[00:47:26] にないから交渉してるんですぞそれに暴力
[00:47:29] で解決するのは良くないですなに逃げた方
[00:47:34] がいいのでは逃がしてもらえるならの話
[00:47:38] ですなあ
[00:47:41] あの私たち本当に何も知らずに来たん
[00:47:46] ですあなたの目的も分からないですし気に
[00:47:50] するどころではないのでわ私たちを帰らせ
[00:47:55] ていただけませんか
[00:47:57] あ早く帰らないといけないの
[00:48:02] ですすみません何も触りませんし何もし
[00:48:07] ないのでおお願いし
[00:48:15] ます
[00:48:18] あああシャタウン
[00:48:25] がころ
[00:48:27] すリバンしこんな時に何
[00:48:32] を生きるためには仕方ないんです今すぐ
[00:48:36] 生きられなくされそうです
[00:48:40] [音楽]
[00:48:42] ぞ
[00:48:45] るす
[00:48:47] わ私が足止めするす逃げてくださ
[00:48:52] いっすそんな体でどうするつもりですかな
[00:48:55] 万全の状態でも勝てなかった相手ですぞ
[00:48:59] 時間稼ぎくらいはできるっす全員で逃げ
[00:49:06] ましょう
[00:49:10] 早く逃がさ
[00:49:17] ないそして逃げる途中で電撃団を打ち込ま
[00:49:21] れ急成長したクリスタルに道を塞がれてれ
[00:49:26] てしまたというわけですなそれから私は
[00:49:30] 救出部隊に発見されるまでこの建物に
[00:49:33] 隠れることにしましたな戦闘に自信がある
[00:49:37] わけでもなし何も分からない場所を単独で
[00:49:41] 歩き回る勇気もありませんゆえいい
[00:49:46] 判断写真を撮ろうとしたんですかリバンが
[00:49:53] そうですなそういえば前に遭遇した時も
[00:49:57] 取ろうとしていましたなどうして
[00:50:00] ピルグリムの撮影にそこまでこだわるのか
[00:50:03] は分かりませんがな生きるために
[00:50:07] 仕方ないそう言ったんですねそうですな
[00:50:12] その通りです
[00:50:15] ぞいやいや一体何なのよあの子前も大事な
[00:50:21] 時に携帯に気を取られてたじゃないまた
[00:50:24] 思いっきりやらかしたってわけね
[00:50:28] うん正直否定はできないです
[00:50:37] な大体は覚えてます
[00:50:41] [音楽]
[00:50:43] ぞエグ様案内をお願いします了解ですぞ
[00:50:52] [音楽]
[00:50:58] ひとまず簡易の身体検査は完了しまし
[00:51:02] たコアの動力効率が少し低下している以外
[00:51:06] は特に問題ありませんドクターに感謝です
[00:51:10] などういたしましてしかし携帯は県外だっ
[00:51:15] たというのにオペレーションデバイスは
[00:51:18] 使えるんですなよく考えたらトロニーとも
[00:51:22] 繋がっているのが不思議ですぞ
[00:51:25] オペレーションデバイスはアークの専用
[00:51:27] 設備と直接接続されています超高範囲を
[00:51:32] カバーできる通信ですから基本的に連絡が
[00:51:35] できなくなることはありません
[00:51:38] うん奪還値01にもあるから私はそれを
[00:51:43] 使ってる距離については地上にいる限り
[00:51:47] ほぼ問題になりません妙な話ねあラピの
[00:51:53] 言いたいことが分かりますこんな言い方を
[00:51:56] すると誤解を招きそうですが指揮官に支給
[00:52:00] する装備にしては高性能すぎますよねこの
[00:52:04] 通信システムは以前申請と呼ばれた式感が
[00:52:08] 地上を飛び回れるように作られたそうです
[00:52:11] その指揮感専用のシステムでしたが一度
[00:52:14] 完成すればメンテナンスコストは安価だっ
[00:52:17] たのでそのまま使われ続けて今に至ると
[00:52:21] いうことらしいです
[00:52:30] 何かとにかく高性能の装備ではありますが
[00:52:34] 過去の時代の技術を使っているということ
[00:52:37] は変わりありませんそのためエブラ粒子に
[00:52:40] 弱いという欠点がありノド次第で通信状態
[00:52:45] に大きな問題が出てしまいますですが
[00:52:49] バージョンアップにはコストがかかり
[00:52:50] すぎるので統治されているようです旧世代
[00:52:54] の技術なのでほぼテクノロジーになってい
[00:52:57] て更新が難しい上にそもそも高濃度の
[00:53:02] イブラ粒子が存在するのはよほどの事情が
[00:53:06] ないと作戦が行われない危険地帯でもあり
[00:53:09] ますからうちの指揮官様は毎日みたいに
[00:53:13] 出入してるけどねそうなんですよね私も
[00:53:17] 新型の専用オペレーションデバイスの支給
[00:53:20] を要請し続けてはいますがなかなか話が
[00:53:24] 進まないようですニケが使う携帯端末にも
[00:53:29] もう少しいいものを支給してほしいです
[00:53:38] な1位あります
[00:53:41] なそニケにもそのデバイスを支給して
[00:53:44] もらって構いませんぞハンマリングの具合
[00:53:47] は私とはぐれる直前は腕がかなり悪くなっ
[00:53:52] ていました
[00:53:53] なクリスタルの成長速度が不明とはいえ
[00:53:57] のんびり構えていられる状況ではないと
[00:54:00] 思いますぞそうか
[00:54:07] [音楽]
[00:54:28] 指揮
[00:54:30] 官先ほどから何かを熱心に見られている
[00:54:34] ようです
[00:54:42] が人間と同様ですニケのボディは人を無法
[00:54:47] して製造されているもので
[00:54:51] [音楽]
[00:54:56] 服装の話でしたか何か問題
[00:55:05] がそれはどういうちょっと2人で何の
[00:55:10] 内緒話そうですよ私たちも入れてください
[00:55:15] 何の話ですかフラジャイルのお尻の話
[00:55:20] え
[00:55:24] ああフラジャイルのお尻ととリバンのお尻
[00:55:27] は違うそうよ2人は分かる
[00:55:35] あボリュームがちょっと違うような気は
[00:55:38] する
[00:55:39] けどそもそも体型が違います
[00:55:43] し
[00:55:46] おーおや
[00:55:49] あか本当だわリバリンは全身高級ブランド
[00:55:54] の最新作だったのにそれもピッカピカの
[00:55:58] おお確かにそうです
[00:56:03] ねあのし四官
[00:56:09] 様すすみません
[00:56:12] がああんまり私のお尻ばかり見ないで
[00:56:18] いただけません
[00:56:20] [音楽]
[00:56:22] かみ魅力を感じていただけるのは嬉しい
[00:56:27] ことです
[00:56:28] があんまりじっと見られるとは恥ずかしい
[00:56:34] の
[00:56:37] で
[00:56:38] あ
[00:56:42] はいは恥ずかしいからって無理に話題を
[00:56:47] 変えなくてもいいです
[00:56:52] よあの子思ったより下だかね私は言いたい
[00:56:58] ことは隠さず言ってもらう方が好きですね
[00:57:02] あなたは隠さな
[00:57:03] [音楽]
[00:57:08] すぎ皆さん移動しながら聞いていただけ
[00:57:11] ますか
[00:57:14] なこの場所について少し整理してみました
[00:57:18] ぞ事実と推理が混ざっていますがな
[00:57:22] うん聞かせてまずはクリスタルの塊につい
[00:57:28] てですなまずクリスタルの塊りはトンネル
[00:57:32] の1番上で注意にクリスタルをばらまいて
[00:57:36] エネルギーを回収しますなそれから必要な
[00:57:40] エネルギーが集まったと何らかの方法で
[00:57:43] 判断されたら下に運ばれるわけですな我々
[00:57:47] の来たトンネルが運搬ルートだったわけ
[00:57:50] です
[00:57:51] そうここまでは想像できることだと思い
[00:57:55] ますな
[00:57:59] そこで問題になるのが制動装置例の
[00:58:04] ブレーキですなクリスタルだけなら低確率
[00:58:07] で自然発生したものと考えることもでき
[00:58:10] ますがあのような装置は完全に
[00:58:16] 100%知性を持った何者かが作ったもの
[00:58:19] ですな技術的にはお世辞にもレベルが高く
[00:58:24] ないとはいえ
[00:58:26] ことは装置がクリスタルの内側にあったと
[00:58:32] いうことですなつまりクリスタルの性質
[00:58:36] そのものから誰かの計画通りに動いている
[00:58:39] ということに違いありませんなその人物が
[00:58:43] 何者かは今のところ知る方法がないですが
[00:58:51] な定かではないですがそうですな
[00:58:57] ひとまず答えが出ない問題は後回しとし
[00:59:01] て次はここが一体どういう場所なのかと
[00:59:06] いう問題に移りますぞここに来る途中で皆
[00:59:10] さんご覧になりましたかな私たちが最初に
[00:59:14] 発見したクリスタルの塊と同じものがここ
[00:59:18] にもいくつかありましたぞはいこちらでも
[00:59:22] 確認しています
[00:59:24] たてを
[00:59:26] 破している状態でしたそれでこの辺りの
[00:59:30] 地面をよく見てくだされ光る線が伸びてい
[00:59:34] ますなこの線は
[00:59:37] 全てクリスタルの塊りがあった場所から1
[00:59:41] 点に向かって集中しているようですな線
[00:59:46] ああこれエネルギーラインだその通りです
[00:59:52] ぞエネルギーの
[00:59:55] 通り道ライそのまんまですなエネルギーを
[01:00:00] 1箇所に集め
[01:00:01] てるですぞです
[01:00:04] ぞクリスタルは高範囲にばらまかれそこで
[01:00:08] 吸収したエネルギーがクリスタルの塊に
[01:00:11] 集められますなそのクリスタルの塊に
[01:00:15] 集まったエネルギーをさらに送って1箇所
[01:00:18] に集めた先が今私たちのいる場所という
[01:00:22] ことですな爪の先の小さで大きな電光掲示
[01:00:28] 板を点灯できるほどのエネルギーを持って
[01:00:30] いたわ
[01:00:31] ねそうでした
[01:00:34] なであれば集められたエネルギーは想像を
[01:00:39] 超えた莫大なものになるはずそれを1箇所
[01:00:42] に集めて何かをするつもりなの
[01:00:47] いやそんなエネルギーを集めてそもそも
[01:00:51] どういうことができるのわかりませんな
[01:00:56] できないことを探す方が早いと思います
[01:01:02] [音楽]
[01:01:04] ぞつきました
[01:01:08] ぞここでリバリー氏とハンマリング氏と
[01:01:11] はれたのです
[01:01:13] なとはいえ成長したクリスタルのせいで
[01:01:17] めちゃくちゃですなこれでは元の道がどう
[01:01:21] なっていたかも思い出せませんぞ止まって
[01:01:26] 2次の方向何
[01:01:29] [音楽]
[01:01:34] あれ式
[01:01:38] [音楽]
[01:01:42] 官どう見たって危険でしょう武装は
[01:01:46] 見当たりません顔だけ出ている感じですね
[01:01:50] 口からビームでも吐いてこない限り大丈夫
[01:01:53] だと思いますよ信な熱反応は知できません
[01:01:58] あいつが私が行く顔にドリルを当ててやれ
[01:02:04] ばハンマリングがどうなったのか吐だろ
[01:02:08] いややばすぎると思い
[01:02:14] ます怪しい動きを見せた場合は直に攻撃し
[01:02:18] ます
[01:02:33] 必要
[01:02:40] ないそうする理由
[01:02:43] がない人間
[01:02:46] は
[01:02:47] 裏切る
[01:02:50] 信用できない
[01:02:54] うせロ
[01:03:00] [音楽]
[01:03:11] 触る
[01:03:13] な
[01:03:21] こす
[01:03:22] 人間
[01:03:24] 裏切りも
[01:03:26] 信用でき
[01:03:36] ない何言ってんだ正体も分からないやを
[01:03:41] 助けるってあ私たちを追いかけまして攻撃
[01:03:47] してきたんですよ
[01:03:49] ねじゃあやっぱり敵ですよ
[01:03:56] 人ぶるのは身の危険がない場所でやって
[01:03:59] ほしいです指揮官危険すぎ
[01:04:07] ます
[01:04:09] は何言ってる
[01:04:11] のあれだけ撃たれても敵じゃないなら
[01:04:15] 私たちとラプチャーだって仲良しでしょ
[01:04:39] [音楽]
[01:04:50] あ
[01:04:54] [音楽]
[01:05:01] ラジャああそうそうこういう人だったわ四
[01:05:06] 官様ってそうです
[01:05:15] ねやはり面白い方ですな四官は
[01:05:21] うん面白い
[01:05:25] クリスタルへの長時間の接触は危険です
[01:05:29] 払いのけるなどできるだけ接触しないよう
[01:05:32] に作業を進めてください嫌な感じがしたら
[01:05:35] 腕の動力を遮断すれば餌を見失った
[01:05:39] クリスタルが離れてくれますな分から
[01:05:42] なかったら私がやり方を伝授しますぞネオ
[01:05:46] これ手伝ってはいせいので持ち上げ
[01:05:51] ましょうこいつはどかせないなドリルで
[01:05:55] 削るぞ中間にあるものを引き抜いてその次
[01:06:00] に下をお願いします崩れない大丈夫です私
[01:06:06] がカバーしますから
[01:06:17] [音楽]
[01:06:36] [音楽]
[01:06:42] 人間
[01:06:44] は
[01:06:46] [音楽]
[01:06:47] 裏切るだ
[01:06:49] が助けられた恩は絶対に
[01:06:57] 返すあだは絶対に
[01:07:05] 打つ向こう
[01:07:07] に行たその
[01:07:11] 後分からない2人ともあちらへ逃げたの
[01:07:15] ですか
[01:07:17] なハンマーの
[01:07:20] 方戻ってきた私
[01:07:24] と勝て
[01:07:28] 攻撃弾かれた
[01:07:31] 天井崩れた助けに来ると言った
[01:07:40] まだ来てない
[01:07:42] おあ
[01:07:45] [音楽]
[01:08:01] 分かるのですかじゃああのバカはこいつを
[01:08:06] 助けるって言い残してどこかに消えてまだ
[01:08:09] 戻ってきてないってことか助けるって言っ
[01:08:13] たってどういうこと殺すつもりはなかっ
[01:08:16] たってやつだろあくまで時間稼ぎしたかっ
[01:08:20] ただけのはずだそうだ
[01:08:24] そうれたお前
[01:08:28] たち話ができる私たちができるってい問題
[01:08:35] バカみたいなお人よしだなハンマリングは
[01:08:38] どっちに行った
[01:08:41] 同じ向こうだそうかありがとよ行くぞ
[01:08:51] 早く戦闘は私が
[01:09:06] ありがとう
[01:09:08] 懐かしい言葉
[01:09:15] だもう少し色々と聞けだと思いますが
[01:09:28] そうですかやっと警戒を解いてもらえたか
[01:09:31] なと感じましたがそのうちまた会うはずよ
[01:09:36] ここを離れるつもりはなさそうだからそれ
[01:09:39] にしても大した力持ちよねあんな重そうな
[01:09:44] もの2つも背負ってるなんて中身は何
[01:09:48] でしょうね箱の中の銃をセブンスドワーフ
[01:09:53] と呼んでいたわそれってスノーホワイトの
[01:09:57] と同じよね奪ったそれと
[01:10:02] も盗んだ
[01:10:05] はまさかスノーホワイト本人だったのでは
[01:10:10] 冗談もほどほどにしてはいごめんなさい気
[01:10:15] になるわ鼓動が高なるような感じがしたの
[01:10:20] 心臓の問題かもしれませんリペアセンター
[01:10:23] で検身を受けてください
[01:10:26] そうねありがとう先ほどあの棺を詳しく
[01:10:31] 見るチャンスがありましてなあれはどう
[01:10:35] [音楽]
[01:10:37] やらその通りで
[01:10:44] えおほほ
[01:11:02] おおいやはや式
[01:11:05] 関しどうしてそれ
[01:11:09] をどうやらお詳しいようです
[01:11:15] な電子機器に決まっております
[01:11:23] なな
[01:11:25] なんで今まで言ってくださらなかったん
[01:11:28] ですかなドロにじお仲間発見ですぞうん
[01:11:34] そうだねす好きなジャンルはありますか
[01:11:39] なメカは効率重視ですかなそれとも
[01:11:44] パフォーマンス重視ですかな次のアーリー
[01:11:47] アダプターフェスティバルご一緒すると
[01:11:50] いうの
[01:11:53] はなんのなんの
[01:11:55] これから詳しくなればいいのですぞ話を
[01:11:59] 戻しましょうもしあの棺がそういった装置
[01:12:02] だとして中に何が入っているとお考えです
[01:12:07] [音楽]
[01:12:17] [音楽]
[01:12:21] か私たちが向かっている方向です
[01:12:26] がエグ様の言っていた地面の光る線が
[01:12:31] 集まっているようです角度や位置関係から
[01:12:34] 考えて間違いないと思いますエレトロニー
[01:12:40] リスクになりそうなものはある思いつか
[01:12:44] ないま行けば分かるはずですぞ本当に
[01:12:49] すごい何かがあると素敵ですなもちろん
[01:12:53] 何より
[01:12:55] とハンマリングを見つけられることが一番
[01:12:58] ですな絶対に言てもらわないと嫌な予感が
[01:13:02] するんだそういえばハンマリンググって昔
[01:13:07] からあんな感じだったの何がだお人
[01:13:12] よし
[01:13:14] ああそうだった今でもなバカ正直っていう
[01:13:22] かそういうやつなんだ打ってきた相手を
[01:13:26] 助けに戻ってくるとか言い出すぐらいだし
[01:13:30] うん大変だったんじゃない
[01:13:34] お温存させられ
[01:13:37] たり悔しい思いをしたりとか多かった
[01:13:41] でしょうそうだなハンマリングはひたすら
[01:13:46] 優しいからけ込むとしてくる奴らが寄って
[01:13:49] くるバカにされたり甘く見られたりそんな
[01:13:54] のばっかだ
[01:13:56] だからあなたが隣にいるわけねどういう
[01:13:59] 意味だ意地悪そうに見える
[01:14:05] からなりたくてなったわけじゃないなんと
[01:14:09] かして生きてく必要があったあんなひどい
[01:14:12] 目に合わされてまだバカみたいにヘラヘラ
[01:14:15] 笑ってるやに合わせてたらこっちまで死に
[01:14:19] そうだったんだだからこうなったご苦労様
[01:14:24] ね苦労なんてしてない人の優しさにけ込む
[01:14:29] うって寄ってくるような奴らは大体頭が
[01:14:33] 悪いかどこか抜けてるんだ根性もないだ
[01:14:38] から弱くて優しそうなやつを利用しようと
[01:14:41] してるんだろう力のある相手には逆らえ
[01:14:44] ない逆らえるような強さがないだから相手
[01:14:50] しやすいんだ一歩下がって見てる分にはで
[01:14:55] つまんねえ奴らだよ難しいことなんかない
[01:14:58] さハンマリングがあなたは別の仕事があっ
[01:15:02] てここには来られないって言ってたんだ
[01:15:04] けどあこっちより大事な仕事って何だった
[01:15:09] [音楽]
[01:15:11] の宝石の採掘だ見た目が綺麗な以外使い道
[01:15:16] もないくせに値段だけは高い宝石を掘るん
[01:15:19] だよたまにしか来ない話だけどなかなか
[01:15:23] 稼ぎになるんだ
[01:15:26] それその気になればもっと稼げるんじゃ
[01:15:29] ないのその木ってなんだ
[01:15:33] えっとこっそりポケットにとか絶対にし
[01:15:38] ない金は堂々と稼いで堂々と使うそう
[01:15:43] すりゃ堂々と生きられるからな
[01:15:47] うんどうして何のことだなんで堂々と生き
[01:15:53] なきゃいけないのどと生きることより楽に
[01:15:57] 生きられる方が大事じゃない大体みんな
[01:16:00] そうやって生きてるし心の声くらいいくら
[01:16:05] でも無視できるでしょほとんどがそうだ
[01:16:08] からっていいかどうかは別だろそれに
[01:16:12] できることならとっくにやってるダメなん
[01:16:16] だ心の声そうだな両親とかいうやつか
[01:16:23] そいつを捨てられないんだ
[01:16:25] 落ち着いていられない私も分かってるし
[01:16:29] ハンマリングだっって分かってる2人とも
[01:16:33] 分かってんだ両親を守って生きたところで
[01:16:37] 何の役にも立ちしないでもそうしないと
[01:16:43] そいつを捨てるってことは誰かを傷つけ
[01:16:47] るってことだ他の人が苦しむぐらいなら
[01:16:50] 自分が苦しむ方がいいうん
[01:16:55] そんな風に生き
[01:16:56] たって何もいいことないでしょあるぞいい
[01:17:02] こと気分がいい誰の前でも堂々としてい
[01:17:07] られる何をやってても堂々としていられる
[01:17:11] だからこんな生き方をしてるんだ
[01:17:15] あそうすごいわね応援するわ私はそうなれ
[01:17:21] ないから応援してる
[01:17:26] それ
[01:17:27] なら本当に死にそうな状況になっ
[01:17:31] て本当に1回だけ1回だけ両親を捨てさえ
[01:17:38] すれば何もかも解決できるとし
[01:17:42] たらどうなさいますかさあな
[01:17:48] え生きてりゃ考え方なんていつでも変わる
[01:17:52] ものだろ
[01:17:55] ことがないから答えられないだから分から
[01:17:59] ないってだけだ思ったより育ちがいい方
[01:18:03] です
[01:18:04] ねま本物の地獄をくぐってきた人たちから
[01:18:09] すればそうかもしれない
[01:18:13] なもうすぐエネルギーラインの執着点に
[01:18:17] 到着しますスピードを上げますね
[01:18:23] [音楽]
[01:18:27] これは何でしょう
[01:18:30] か私もこんなの初めて見ますぞエネルギー
[01:18:37] の
[01:18:39] 塊り
[01:18:40] みたい私たちここに立っていて大丈夫です
[01:18:44] よねあはいとりあえずは足元は硬そうです
[01:19:00] すごいわね光の上に立ってる
[01:19:04] みたいビジョンアも全く歯が立ちません
[01:19:09] 真っ白に見えるだけです
[01:19:11] ね状況から考えてクリスタルの塊の持って
[01:19:16] いたエネルギーが全てここに集積されて
[01:19:19] いるようですそれからエネルギーラインが
[01:19:23] さらに向こう側に続いていますあちこち
[01:19:26] から集めたエネルギーを1箇所にまとめて
[01:19:29] どこかに送っているようですなエネルギ
[01:19:32] 損失が多そうな方式ですがそれでも圧倒的
[01:19:38] ですなあとそのガラス張りの
[01:19:43] 床絶縁体みたいだ
[01:19:46] ねクリスタルが伸びてこないようになっ
[01:19:50] てるそう言われればエネルギーラインも
[01:19:55] 同じもので覆われていまし
[01:19:57] たハンマリングとリバリーはいないみたい
[01:20:01] だ
[01:20:04] なはい早く移動した方がいいでしょうここ
[01:20:09] は車兵物がほとんどありませんそれに
[01:20:13] 詳しいことは分かりませんがここって大事
[01:20:17] な拠点のはずですよねきっとモバみたいな
[01:20:21] ものがいるはずです私だったら
[01:20:25] あの辺りの物影
[01:20:31] からあなたねあいや本当に偶然2回連続で
[01:20:38] 当たっただけです本当
[01:20:46] に床が割れたら大3時ですからな黒焦げ
[01:20:51] どころか蒸発して何も残りませんぞ
[01:20:57] あ射撃来ますさせる
[01:21:21] か何よ
[01:21:24] 何なのよそれやっぱりあるんじゃないです
[01:21:28] か
[01:21:29] ブースターぎギがギがリリ
[01:21:34] ブレー何してんだこっちで倒すぞ
[01:21:42] [音楽]
[01:21:44] 行こう状況終了お疲れ様でし
[01:21:49] た早く移動しようその前に
[01:21:55] そんなに素敵で素晴らしいドリルがあった
[01:21:57] のになぜ私に隠していたんですかこうなる
[01:22:02] と思ってたからだ
[01:22:05] よ早く行くぞ急がない
[01:22:11] とあの指揮官
[01:22:14] 様
[01:22:16] その
[01:22:18] あのリバンが撮った
[01:22:21] 写真本当に消してしまうおつもりですか
[01:22:27] かどうしてです
[01:22:31] かあ
[01:22:34] あのリバリーがそういうことをした理由
[01:22:39] 心当たりがあるんですた多分その写真が
[01:22:44] ないと
[01:22:46] いえせめてその写真ぐらいはないと大変な
[01:22:52] ことが起きると思っているはずなんです
[01:22:58] [音楽]
[01:23:02] 官様四官様は力のある方です
[01:23:11] かみ身勝手なお願いだとは分かっています
[01:23:17] ままだお会いしたばかりです
[01:23:20] しですがリバンのことは私に任せて
[01:23:25] いただけません
[01:23:41] かごめん
[01:23:46] [音楽]
[01:23:52] なさいはいしか
[01:23:58] はいあります機密事項でなければです
[01:24:06] がしてい
[01:24:07] [音楽]
[01:24:13] ます了解しまし
[01:24:16] [音楽]
[01:24:20] た
[01:24:23] はい間差し出がましい忠告かもしれません
[01:24:27] が2があれほど怯えているということは
[01:24:31] 相手は軍の関係者である可能性が高いと
[01:24:35] 思いますあくまで可能性ですが指揮官の
[01:24:39] 行動はその相手への挑発と受け取られるか
[01:24:42] もしれません相応の覚悟が必要
[01:24:47] [音楽]
[01:24:49] です了解しまし
[01:24:53] たあ
