# NIKKE 第26章 转录
视频ID: y32W12rS9s8
[00:50:17] いやそもそも貧乏人だから隠すもんも
[00:50:21] なかったよえじゃあ本当にこれで終わり
[00:50:26] うん
[00:50:27] うん私の家に行ってみるかせっかくだから
[00:50:32] 確認したいことがあるん
[00:50:35] [音楽]
[00:50:43] [音楽]
[00:50:46] だ何もない
[00:50:49] なせめて家具ぐらい残ってるかと思ったの
[00:50:53] にまあ100年経ってるし当然
[00:50:59] かちょっと待っててくれ最後に1つ
[00:51:06] [音楽]
[00:51:09] だけあっ
[00:51:13] た何ですかそれはガキの頃の
[00:51:18] 宝物太陽の光で動くんだぜもらった時
[00:51:22] すっげえ嬉しかったんだどれどれ
[00:51:26] まだ動くかな動くはずないでしょやってみ
[00:51:30] なきゃわかんない
[00:51:40] ぞ
[00:51:42] なあやっぱ壊れてる
[00:51:45] な残念だな最後に1曲聞きたかっ
[00:51:52] [音楽]
[00:51:56] これだよこの
[00:52:15] 曲
[00:52:17] うんネオンあ
[00:52:20] はい私の顔見てシが増えてないすみません
[00:52:27] 私も目がしょぼしょぼし
[00:52:29] てなんだお前ら昔の名曲だぞ知らないのか
[00:52:35] 知らないわよそんなの聞いてけんじゃっ
[00:52:38] たらどうしてくれるのロマンは分かって
[00:52:41] ねえ
[00:52:42] なな
[00:52:47] 男前こいつを受け取って
[00:52:52] くれたまに聞いてくれよ
[00:52:56] てくれたら
[00:52:59] ありがたいああラピがおばあちゃんになっ
[00:53:04] ちゃう
[00:53:06] うんもう大丈夫そう
[00:53:08] だレッドフードラピは多分これのために命
[00:53:14] をかけてくれたんだいっつも私が言ってた
[00:53:16] んだよ故郷に帰りたいって結局1回も行け
[00:53:22] なかったんだけどなだからこれでいいんだ
[00:53:27] [音楽]
[00:53:35] ほら何言ってんだよこれでいいん
[00:53:47] だやると思ったわ尋常じゃない雰囲気でし
[00:53:52] たからね
[00:53:54] トシお前
[00:54:00] ラピは戻りませんよ私が止めますから
[00:54:04] ふざけたこと言わないで私たちが許すとで
[00:54:08] もそうです
[00:54:11] かでは止めてごらんなさいぎ
[00:54:42] か私を軽蔑しますか別に構いません私は
[00:54:49] レッドフードをこのまま行かせるわけには
[00:54:51] いかないの
[00:54:53] ですドラス
[00:54:58] [音楽]
[00:55:07] うつ
[00:55:08] なんて嘘
[00:55:11] でしレッド
[00:55:14] フド恥を
[00:55:16] 知れ恥を知れよ
[00:55:19] どしそれでもゴか
[00:55:23] なあ私だってやりたくてやっているわけ
[00:55:27] じゃありませんざけな私が生きてりゃ何か
[00:55:32] 変わるのかお前にとってゴッデスは元の
[00:55:36] メンバーが集まりさえすればそれでいいの
[00:55:38] かよ違うだろ大事なことはそうじゃないっ
[00:55:43] て分かってるだろうじゃあ何なんですか何
[00:55:48] が大事だっって言うんですか人類を守ろう
[00:55:52] とする気持ちだろ勝利の女神として類の
[00:55:56] 希望になることだろうがそんなものに意味
[00:56:01] などありません報のしプライト
[00:56:07] なんてラプチャーが来やがったなむに
[00:56:11] ライフルなど撃つからですここを壊され
[00:56:14] たくない
[00:56:18] [音楽]
[00:56:23] ドシやってやれ
[00:56:29] ラピを殺そうとするなんてこのクソ
[00:56:34] 女まだ諦めてはいませんよいい根性ね
[00:56:40] ばそんな考え事吹っ飛ぶわよアニスやめて
[00:56:45] ください何言ってんのほっといたらまた
[00:56:48] 同じことするわよ大怪我をしていますもう
[00:56:52] 動けないはずです
[00:57:01] いい様ね官様
[00:57:07] はよかっ
[00:57:11] たとりあえずラピを戻すのが先じゃない私
[00:57:16] もそう
[00:57:21] 思うそうだ
[00:57:23] なありがとよだ行きましょう町に入られ
[00:57:29] ないよう外で迎撃し
[00:57:33] ましょうあれは放っておく
[00:57:38] の
[00:57:40] はいやってらんないわ
[00:57:48] [音楽]
[00:57:56] ネオ真ん中に集めましょう一気抜けられ
[00:58:00] そうです私が追撃しますよし4期は集まっ
[00:58:05] たわ1列に綺麗に並んでんなん
[00:58:12] じゃよし終わりこちらも片付きまし
[00:58:19] たいやお前らいい連携だなかなり動き
[00:58:24] やすかったぞラピとずっと息を合わせて
[00:58:28] やってたからレッドフードの動きラピに似
[00:58:32] ていますからね逆だろうラピの動き方が私
[00:58:37] のに似てんだよ
[00:58:40] ふんよしこれで終わりだな故郷もぐるっと
[00:58:45] 見て回ったし歌も聞いたし私の弟子が元気
[00:58:49] にやってるのも確認したしうん未練はない
[00:58:53] な未練がないですっ
[00:59:01] てスノーホワイト
[00:59:05] ラプン
[00:59:07] グレンみんな生きています会いたくはあり
[00:59:11] ませんか
[00:59:13] お会いたいでしょあっ
[00:59:17] て昔の話をしたいでしょう私が連れて行っ
[00:59:22] てあげます合わせてあげます会いたいよで
[00:59:27] もだめだ私は全部置き去りにして行っ
[00:59:30] ちまったんだだからこれ以上関わっちゃ
[00:59:34] いけないレッドフード私
[00:59:37] [音楽]
[00:59:38] は私たちは人類
[00:59:43] にアークに裏切られたのですあれだけ必死
[00:59:48] に全てをかけて戦っていたのに平然
[00:59:53] と裏切られました輝いていた誇も使命も何
[01:00:00] もかも消えてしまいまし
[01:00:03] ただからだから奪って破滅させようと思い
[01:00:10] ましたこの気持ちがどんなものか分かり
[01:00:14] ますかあんなに愛し愛されていたものに
[01:00:19] 裏切られるというのがどんな気持ちなのか
[01:00:23] さあなか
[01:00:26] でくださいレッド
[01:00:28] フードあなたさえいれば私たち
[01:00:32] はもう
[01:00:34] 一度ゴッデスに戻れますお前はさっきから
[01:00:39] 私を出しにしてゴッデスに戻りたいって
[01:00:41] 言ってるけど
[01:00:43] さ私がいりゃゴッデスにな
[01:00:46] るってそんな簡単な問題じゃないだろう
[01:00:49] なんで過去にこだわるんだよ戻れもしない
[01:00:52] 過去になんで戻ろうとすんだよ
[01:00:55] [音楽]
[01:00:56] また愛されたい
[01:00:58] から誰かから奪って破滅させるより愛され
[01:01:03] ていた方がずっといいの
[01:01:06] です諦めていましたもう私は愛することも
[01:01:13] 愛されることもないとで
[01:01:16] もあなたが生きて帰ってきたの
[01:01:20] ならあなたがいてくれるの
[01:01:23] なら昔のママのあなたがここにいる
[01:01:28] なら私は
[01:01:31] またゴッテスに戻れます
[01:01:35] また愛されることができるんです
[01:01:39] バカ愛することはいくらでもできるだろう
[01:01:43] お前がそうすればいいだけだそんな簡単な
[01:01:47] ことができずに100年もうじうじしてた
[01:01:49] の
[01:01:51] かそんなことはできません
[01:01:57] 痛みを抱えて誰かを愛するなど許しちゃ
[01:02:02] だめなの
[01:02:04] かなんですって相手にがっかりしたり
[01:02:08] 傷つけられたりしてもさ許せば住むこと
[01:02:11] じゃないかまた戻れるんだよそんな
[01:02:16] ことどうしろというのですかお前がそう
[01:02:20] 決めればいいそれだけの話
[01:02:24] さ頑よ
[01:02:27] ドお前ならできるお前はすごいやつ
[01:02:35] だろなあ
[01:02:39] 男前録音してくれる
[01:02:43] か遺言みたいなもんさやっぱりあいつらに
[01:02:48] 一言言ってやりたくなってな
[01:02:52] [音楽]
[01:02:56] え
[01:02:58] おふみんな元気かレッドフードがお化けに
[01:03:02] なって遊びに来ちゃったぜうわこれ思った
[01:03:06] より恥ずかしい
[01:03:09] なみんなのことは全部聞いたクイーンを倒
[01:03:14] すって話まだやってんだって100年も
[01:03:19] ずっと何してんだよお前らお前ら以外に
[01:03:23] 倒せるやがいないってかなわけない
[01:03:27] だろうだからそろそろ後の奴らに譲って
[01:03:32] ゆっくりしろよ私はもう後を託せた運よく
[01:03:37] いいやつに会えたん
[01:03:39] だそれじゃ先に行ってるぞレッドフード
[01:03:44] 待っ
[01:03:45] て行かないでくださいこんな話がしたかっ
[01:03:49] たので
[01:03:51] [音楽]
[01:03:54] は最初はあなたに全て渡してしまおうと
[01:03:58] 思っていた私よりもっと価値のある人だと
[01:04:03] 思ったからでもたくさんの仲間ができ
[01:04:08] て繋がりができて思い出ができた大切な人
[01:04:14] ができたの何もなかった私が満たされて
[01:04:18] いったどうだ生きるのもいいもんだろ
[01:04:23] うんそれならいいんだ
[01:04:26] これからはお前はお前として生きろなくし
[01:04:30] たものにこだわる
[01:04:32] な楽しかったよ私も楽しかったじゃあな
[01:04:39] さようなら私の
[01:04:42] 友達私の師匠私の
[01:04:47] [音楽]
[01:04:49] 理想
[01:04:51] [音楽]
[01:04:53] ドロシーここにいるわ
[01:04:56] 本当はこんな話がしたかったのではあり
[01:05:00] ません楽しかった昔の話
[01:05:04] をしたかったのに台無しにしてしまいまし
[01:05:09] [音楽]
[01:05:10] た彼女の最後はきっと分かっているわ
[01:05:17] ラピー
[01:05:19] ラピーアニスネオンありがとう探しに来て
[01:05:25] くれて
[01:05:29] はいありがとうございます信じていまし
[01:05:33] [音楽]
[01:05:35] た
[01:05:37] はい行きましょうはい帰りましょう
[01:05:42] [音楽]
[01:05:57] 心が広いのですね私
[01:06:01] はラピを殺そうとしたのです
[01:06:04] [音楽]
[01:06:17] よ随分あっさりと許すのです
[01:06:22] [音楽]
[01:06:23] ね分かりました
[01:06:26] 感謝いたしますねえ私たちには何か言う
[01:06:31] ことないの
[01:06:35] プンプン申し訳ありませ
[01:06:38] ん
[01:06:40] あ分かったわ許してあげましょ指揮
[01:06:48] 官不必要な身体接触は好ましくないかと
[01:06:53] 必要でしたら私のを握ることを推奨いたし
[01:06:58] ます行き
[01:07:05] ましょうラピは現在精密検査中
[01:07:09] だ合わせてボディの再構築も進めて
[01:07:14] いるデッドフードが完全に消滅し
[01:07:19] た前に言っただろうレッドフードの発動後
[01:07:23] に毒で抑制してもボディを再構築すると
[01:07:27] 再び復活してしまうとだがそれがもう
[01:07:31] 起こらないようだ完全に消えたということ
[01:07:37] だろう不明だとにかくレッドフードを発動
[01:07:41] させて爆発的な力を手に入れることはでき
[01:07:44] なくなったここぞという時に使える切札が
[01:07:48] なくなってしまった
[01:07:51] な当然だわのわからないものなど妊婦だけ
[01:07:57] で十分だからねレッドフードが爆発的な力
[01:08:01] だとしてもそれは正体不明の何かに変わり
[01:08:04] ない放っておけばラピにどのような影響を
[01:08:08] 及ぼしたかは誰にも分からないだがそれが
[01:08:12] 消えた私としてはこれで人安心
[01:08:17] だただ1つ引っかかるといえばラピのコア
[01:08:23] にのエネルギーがことだ弱なもので影響は
[01:08:28] 何もないも少し気に
[01:08:32] かかるうん何か知っているのかあれについ
[01:08:41] て
[01:08:43] うん寝ぼけたこと
[01:08:46] をま大きな異変がない限りは放っておく
[01:08:51] つもりだ怖付近だからむやみに手が出せ
[01:08:54] ないからね
[01:08:56] ではご苦労だった検査が終わり次第返す
[01:09:01] 待機していて
[01:09:02] [音楽]
[01:09:08] くれず随分時間がかかった
[01:09:12] なでもよかった無事なようで良きせぬ事態
[01:09:18] が起こったの
[01:09:20] でそう
[01:09:22] [音楽]
[01:09:24] かああありがとうはいアークをた助けて
[01:09:30] くれてあありがとうああなたがいなければ
[01:09:35] とんでもない被害が出たはず
[01:09:38] だヘレティックを逃したのは残念だが
[01:09:42] 仕方ないどういたしましてじゃあは話を
[01:09:47] 続けようかエデンとアークの協定について
[01:09:54] その前にどうしてそのような演技をして
[01:09:57] いるのですうんな何のことだ清そうな姿で
[01:10:03] 相手を油断させ狙い通りに運ぼうという
[01:10:07] つもりですかそれでしたら私の前ではやめ
[01:10:12] た方がいいでしょうね私には逆効果
[01:10:17] ですそうかいい目をしているな他の人の目
[01:10:23] が節穴なのでしょうまあいいエデン側の
[01:10:28] 条件を教えてくれアークに何を望んでいる
[01:10:32] アー内のチャンネルを1つ譲渡して
[01:10:36] ください何放送用チャンネルです理由を
[01:10:41] 聞かせてもらえるかエデンの広報活動の
[01:10:45] ためですエデンに対する警戒心を和らげ
[01:10:49] なければ今後の活動をスムーズに行えない
[01:10:52] でしょ突然エデンが協定を結ぶと発表して
[01:10:57] も多くの人々は困惑するだけですそもそも
[01:11:03] エデンが何かさえ知らない人々がほとんど
[01:11:06] ではですからゆっくり教えて差し上げるの
[01:11:11] ですエデンがどのような場所なのか
[01:11:17] うん主要なチャンネルでなければ1つ
[01:11:21] ぐらいは用意できるだろうそれで十分です
[01:11:25] ひとまずはでは次回はエデンの金属加工に
[01:11:30] 関する資料をお渡しします同じガッテムで
[01:11:35] もエデンのものには違いがあるのです
[01:11:38] わかった受け取ろう
[01:11:41] そちらの交換条件は何だチャンネルをもう
[01:11:46] 1つ
[01:11:48] うんどかされましたかエデンを楽園だと
[01:11:53] 宣伝し
[01:11:54] て許すつもりかマイナーチャンネルで放送
[01:11:58] されることがそんなに心配ですかアークの
[01:12:02] 基盤は思った以上に弱いようですね金属
[01:12:07] 加工に関する資料を見てから考えさせて
[01:12:11] もらおういいでしょうでは失礼どこへ行く
[01:12:16] んだどうせ決めるには時間が必要になる
[01:12:21] でしょうあなた1人で決められることでは
[01:12:24] ないでしょうから
[01:12:25] 分かっ
[01:12:26] たアークに滞在できる場所を用意しよう
[01:12:31] その代わり24時間監視がつくことは承知
[01:12:35] してくれえ構いませんパピオンはいつ解放
[01:12:41] する気だ解放です
[01:12:45] かまるで私たちが人質に取っているような
[01:12:48] 言い方ですね実際そう
[01:12:51] だろう君が望んでいた首脳部との
[01:12:55] コネクションはできたパピオンはもう
[01:12:58] 用済みじゃないかまさか彼女は有能です
[01:13:04] 今後も活躍の場は多い
[01:13:08] でしょう気になるのでしたら直接合われ
[01:13:12] ますかいや
[01:13:15] いいわかりまし
[01:13:21] た許すなんてできるわけないない
[01:13:27] [音楽]
[01:13:30] は見つけただ
[01:13:34] と私が無理な命令をしたからといって出
[01:13:39] 任せではないだろう
[01:13:41] なうんとにかく見せてもらおう
[01:13:49] かここ
[01:13:52] はそうか
[01:13:55] から徒歩で1週間以上かかる距離
[01:13:58] トウモロコシ畑の痕跡があり土地の状態も
[01:14:02] 良好近くに川も流れている町の背後に山が
[01:14:07] あることも有用だ海までの距離も遠くない
[01:14:11] 面積がそれほど広くないのもむしろ交通法
[01:14:15] だ
[01:14:16] うん条件は整っているではここを君の地上
[01:14:22] 奪還最初の目標とするか
[01:14:27] いいだろ許可しよ高額明細装置を展開し
[01:14:33] 地上に駐屯地を設営した前余裕ができ次第
[01:14:37] エレベーターも開通させようそこを中心と
[01:14:40] して各地に屯地を拡大してくれ各地に点を
[01:14:45] 打ち点の間を線で埋めるという容量で
[01:14:49] 進めればいいだろう
[01:14:51] そしてある程度地上が確保できたと判断
[01:14:54] できた
[01:14:55] 兵力と物資を集中的に入し各種施設と防衛
[01:15:00] ラインを構築していくそれを数回数百回と
[01:15:05] 繰り返していけば地上を取り戻せる
[01:15:09] だろうただ君も知っている通り現在の
[01:15:14] アークは壊滅的な状態だ工学明細技術は
[01:15:18] すでに企業に共有され実用能になっている
[01:15:22] が屯
[01:15:25] たの支援までは難しい状態
[01:15:29] だいやそうではない難しいとは言ったが不
[01:15:34] 可能だとは言ってい
[01:15:38] ない君には最高の後ろがあるだろアークで
[01:15:44] 最も大きな力と技術を持ち君の言葉に無
[01:15:49] 条件で従わねばならない後ろ立てが
[01:15:53] [音楽]
[01:15:57] 工学迷彩と地上の駐屯地に必要な物資を
[01:16:01] 支援してく
[01:16:03] れっておいこっちはそんなことしてる場合
[01:16:08] [音楽]
[01:16:12] じゃ急に言われても困るのよ今縮小
[01:16:17] イベントを準備してるんだ
[01:16:19] からこれが終わってからじゃだめ
[01:16:23] [音楽]
[01:16:27] 軍の幹部と企業の社長たち
[01:16:32] よロビー活動は大事に決まってる
[01:16:38] でしょ分かったわ
[01:16:40] よ支援するすればいいん
[01:16:44] でしょうその代わりエニックに聞かれたら
[01:16:48] うまく答えなさい
[01:16:50] よ約束して
[01:16:55] そそう
[01:16:57] ありがとうところでお前この話は公表する
[01:17:03] の地上を永久に奪還するって話
[01:17:07] [音楽]
[01:17:11] よそそれならミシリスがサポートしたって
[01:17:14] 言いなさい
[01:17:15] よそうすればたっぷり支援して
[01:17:23] あげるえ
[01:17:25] ちょちょっとひどいんじゃない図々しいに
[01:17:29] もほ
[01:17:30] [音楽]
[01:17:32] がいいわお前の好きにし
[01:17:37] て
[01:17:45] くそエレベーターの前に用意させる
[01:17:49] からそれを持っていって
[01:17:56] [音楽]
[01:18:00] えっとこれを押せばいいのよ
[01:18:04] ねそうじゃないですかプッシュって書いて
[01:18:08] ありますし
[01:18:11] [音楽]
[01:18:19] えい
[01:18:21] ええこんなに高くなるのねこれで終わり
[01:18:25] でしょうかまだ発電機をつげないと電力が
[01:18:31] 供給されれば動くはずよそれで終わりです
[01:18:34] かもう説明の時に何聞いてたのよラピン
[01:18:40] 説明してくださいアニスがいり散らす前に
[01:18:45] 作動させると疑似的なコーリングシグナル
[01:18:48] が周囲のラプチャーたちを引き寄せるそれ
[01:18:52] で集まったラプチャーを一してから学迷を
[01:18:55] 稼働させるの学迷が聞いている場所は
[01:18:59] ラプチャーからは何もないように見える
[01:19:01] はずさらにラプチャーの熱地センサーと
[01:19:06] 聴覚センサーもジャミングさせてここを
[01:19:08] 絶対見つけられないようにする高校
[01:19:11] センサーにも干渉して偶然ここに迷い込む
[01:19:15] ことも防げるらしいわすごいわねそんな
[01:19:19] ものがあるなら地奪なんて簡単にでき
[01:19:22] ちゃうんじゃない
[01:19:25] が必要らしいわアークの付近にあるものは
[01:19:29] ずっと昔に取りつくれているそうねエデン
[01:19:32] が使ったと見られているわやっぱりそう
[01:19:36] 簡単にはかないわよねでは指揮官準備は
[01:19:41] 全て終わりまし
[01:19:45] た
[01:19:52] ラジ来ます
[01:19:55] あれはコードネームウルトラ確認新色を
[01:19:59] 誘発することよ全員気をつけて古い街だ
[01:20:04] から古いのが出てくるってわけねあんなの
[01:20:07] でまだ動く
[01:20:09] のあれ察しで見たことありますすごく強い
[01:20:14] らしいですよそうは言っても旧型よ倒せる
[01:20:18] わ私がいるならなおさ
[01:20:25] たっぷりなところ初めて見まし
[01:20:27] たそれじゃ信じてみましょう行くわよはい
[01:20:38] [音楽]
[01:20:40] エンカウンター状況
[01:20:44] 終了疲れ
[01:20:46] たでもこれくらいならいけますねこれ以上
[01:20:51] 出てこなければこれで終わり
[01:20:57] ちょっと変なこと言うからめちゃくちゃ
[01:21:00] 集まってきたじゃないすみませ
[01:21:04] んソスおよそ300不可能ではありません
[01:21:09] が勝てるとは断言できませんどうされます
[01:21:12] か
[01:21:18] [音楽]
[01:21:27] マザー
[01:21:28] ホエールそんな今はアンカーもないです
[01:21:33] よ効果ありすぎじゃないあんなものまで
[01:21:37] 呼ぶなんて官今はひます撤退
[01:21:47] をどうなってるの
[01:22:05] 何が起こったんでしょうか式官あのマザー
[01:22:10] ホエール見た目がどこか違います新型の
[01:22:14] 可能性が高いため注意
[01:22:23] をフ
[01:22:33] [音楽]
