# NIKKE 第19章 转录
视频ID: 3yZlh66tRHM
[00:40:32] 優秀な人材だけを置きたいってのは分かる
[00:40:35] わよ
[00:40:35] でもそこまでしておいて
[00:40:40] 結局言うことが
[00:40:41] 助けてくださいだなんて
[00:40:44] [音楽]
[00:40:45] 両親が無いにも程があるでしょ
[00:40:47] [音楽]
[00:40:50] 指揮官様の聞いたでしょあの提案
[00:40:55] どうするつもり
[00:40:59] 正直
[00:41:00] 断りたいよでも
[00:41:03] これを断ったらもう
[00:41:05] ワンチェインドを手に入れる方法がない
[00:41:07] でしょうだからって
[00:41:11] 真正面からエデンと戦うわけにもいかない
[00:41:13] し
[00:41:15] 期間様もそんな風に手に入れるのは嫌
[00:41:18] でしょ
[00:41:19] [音楽]
[00:41:20] じゃあもう決まりだねはい
[00:41:24] どっちにしても
[00:41:26] ヘリテックはいつか戦わなきゃならない敵
[00:41:29] ですよね
[00:41:30] [音楽]
[00:41:32] でも
[00:41:34] わかってて言ってるのにねもし私たちが
[00:41:37] 提案を飲んだらあの性格の悪い意識感と
[00:41:42] 同じチームになるのよ
[00:41:43] [音楽]
[00:41:46] [拍手]
[00:41:46] [音楽]
[00:41:48] 私書を建物の外に放り投げたらどうし
[00:41:52] ましょう
[00:41:53] 決まってるでしょ私たちがあいつをもっと
[00:41:57] 遠くに投げ飛ばすのよ
[00:41:59] スイングの練習が必要ですね
[00:42:01] [音楽]
[00:42:08] 聞きましたよついに
[00:42:10] 決断されたそうですね
[00:42:13] でしたら私もいい知らせをお伝えしなくて
[00:42:17] は
[00:42:18] 私たちの取引に関して
[00:42:21] セシルの説得に成功しました
[00:42:25] ヘレティック討伐作戦も明日に決まりまし
[00:42:28] たよ
[00:42:29] [音楽]
[00:42:31] はいそっちの方が
[00:42:35] 早いと思ったんです
[00:42:37] 基本的に
[00:42:38] セシルが決定を下せば
[00:42:41] 指揮官いえ
[00:42:43] ヨハンも受け入れるので
[00:42:46] 作戦時に
[00:42:47] 若干のいざこざがあるかもしれませんが
[00:42:50] その時は私が率先して
[00:42:54] 仲裁するのであまり
[00:42:56] ご心配なさらずでは
[00:42:59] 信頼の証としてこれを先に差し上げます
[00:43:05] [音楽]
[00:43:07] 覚えておいてください
[00:43:08] 最初の弾丸がアンチェインドです
[00:43:12] 撃つタイミングには
[00:43:14] くれぐれもご注意を
[00:43:17] 本当に大丈夫なのこんな
[00:43:20] 風にアンチェインドを私たちに預けちゃっ
[00:43:22] て
[00:43:23] ほら
[00:43:24] 夜中に私たちがこれを持って
[00:43:26] 逃げ出しちゃうかもしれないでしょどう
[00:43:29] でしょう
[00:43:30] 私の目には
[00:43:33] 皆さんそのようなことをする方には見え
[00:43:35] ませんがそれに
[00:43:38] [音楽]
[00:43:39] 万が一そのようなことになったとしても
[00:43:42] 私たちには
[00:43:44] マッハで空を駆ける追跡者がいますから私
[00:43:49] は今まで
[00:43:51] 彼女が
[00:43:51] 追跡に失敗したのを見たことがありません
[00:43:55] [音楽]
[00:44:00] でしたら私の目に狂いはありませんでした
[00:44:04] ね明日の作戦についてはあまり心配しない
[00:44:09] でください
[00:44:10] エデンは
[00:44:12] フェレティックに勝ったこともありません
[00:44:13] が
[00:44:15] 負けたこともありませんからここにあなた
[00:44:19] という予想外の要因が加われば
[00:44:22] 完璧な勝利を
[00:44:24] 収められるでしょう
[00:44:26] [音楽]
