# NIKKE 第27章 转录
视频ID: AJgeaw4EyNI
[00:41:53] ねそこまでにして振動を感じるわ
[00:41:58] シフティはい前方からラプチャーの反応
[00:42:02] ですさすがですねラピでしょううちのラピ
[00:42:07] はすごいでしょはいはいすごいすごい官
[00:42:13] 先制攻撃を提案いたし
[00:42:16] ます
[00:42:21] [音楽]
[00:42:23] ダジおお
[00:42:28] お見事ですなこのレベルならラプチャー
[00:42:32] がり専門と言って差してえないのではすご
[00:42:36] いっ
[00:42:37] す私もラプチャーとは何度か戦ったことが
[00:42:40] あってそれなりに自信があったっすけど
[00:42:43] これは次元が違うっすね先ほども見てはい
[00:42:48] ますが本当にすごいです
[00:42:51] ね恥ずかしいですから褒めるのはあと5分
[00:42:56] だけにしてください
[00:42:58] まあ地上でそれだけ揉まれたってこと
[00:43:01] かしらそういえばカウンターズの皆さんは
[00:43:05] エキゾチックの身柄を確保したことがある
[00:43:08] そうですねヘレティックとも戦闘経験が
[00:43:12] あると
[00:43:13] かつまりラプチャー以外との戦闘も得意と
[00:43:17] いうことですねそれがどうかしたんですぞ
[00:43:21] いえただそうなるともう無敵だなと思い
[00:43:25] ましてもちろんなんだって得意ですよ特に
[00:43:31] アニスなんて刀剣と呼ぶにふさわしい暴
[00:43:34] れっぷりですいぺ噛まれてみるところで
[00:43:38] リバリン氏先ほどの質問はどうなりました
[00:43:42] かね
[00:43:44] あああの質問です
[00:43:47] かなぜロボットではなく2に宅配を任せる
[00:43:52] 人がいるのか
[00:43:54] はあどうしても答えないとだめでしょう
[00:43:59] か一緒に作戦に取り組む仲間同士
[00:44:03] 引っかかるところがあると困りますから
[00:44:07] ね宅配ロボットにお世辞は言えません
[00:44:13] からなんと偉い方たちのイベントの
[00:44:18] 盛り上げ役とでも言えばいいでしょう
[00:44:22] かドラマチックなタイミングで依頼された
[00:44:25] ものを届けるんですよ
[00:44:28] それでクライアントから頼まれた通りの
[00:44:31] セリフを伝えます誰々様からのお届け物
[00:44:35] ですあなたが辛い時は力になると
[00:44:39] おっしゃっていましたそういった感じ
[00:44:43] です
[00:44:44] うんそうするとプレゼントを受け取った方
[00:44:48] も気をよくして色々と話し始め
[00:44:52] ますあとはその方の機嫌を損ねないように
[00:44:58] 必死に話を合わせてご機嫌取りをするん
[00:45:03] ですなかなかの稼ぎになります
[00:45:06] よ何しろ偉い方たちです
[00:45:10] からそんな需要があるんですな
[00:45:14] ええありますよ
[00:45:17] ものすごくお金があって時間もあるけど
[00:45:21] 刺激に飢えているという人は悪にいくらで
[00:45:24] もい
[00:45:25] ますお様
[00:45:28] お気づきの通り綺麗なスクーターに乗って
[00:45:31] いい服が切られるというわけです
[00:45:36] うんなるほど
[00:45:39] うんで
[00:45:41] は次はエグ様の事情をお聞きしたいですね
[00:45:46] 一緒に作戦に取り組む仲間に引っかかる
[00:45:49] ところがあると困りますから
[00:45:53] ねうまく返されましたな
[00:45:57] すみません揚げ足を取るつもりではあり
[00:46:00] ませんでし
[00:46:02] た単なるお話をきちんと聞いていますよと
[00:46:07] いうアピールです
[00:46:09] うんエレクトリックショック部隊は電子
[00:46:13] 機器やハードウェアの制作と整備を専門と
[00:46:16] する部隊ということはご存知ですかな私は
[00:46:21] そこでエネルギーの応用や効率を担当して
[00:46:24] おりますねアークは今
[00:46:27] 全てが足りない状況ですな無論エネルギー
[00:46:31] も例外ではありません
[00:46:33] ぞそこで私はアークのエネルギー問題解決
[00:46:38] の手がかりを探すために来たというわけ
[00:46:41] ですなもしかしたらクリスタルとやらが
[00:46:46] いい触媒になるかもしれないですからな
[00:46:49] これで答えになりましたかな
[00:46:54] うんそうですね
[00:46:57] 私とは全然違いますさすがエリートな方は
[00:47:02] 志願される理由もご立派ですね
[00:47:06] [音楽]
[00:47:07] うんあの2人すごく仲良さそうじゃないす
[00:47:12] か初めて会ったはずなのに不思議すねそう
[00:47:18] ですねそう見えるなら良かったわね全くね
[00:47:26] [音楽]
[00:47:31] もうすぐ肉眼で確認できるはず
[00:47:35] です念のため注意してください
[00:47:39] ラジャめちゃくちゃドキドキするっすコア
[00:47:43] が張り裂けそっ
[00:47:46] すそれは私も同じです
[00:47:50] ぞ見えましたあそこです
[00:48:03] エグ周辺の成分分析を行ってくださいお
[00:48:08] 任せ
[00:48:13] あれ毒性物質はなし酸素濃度も正常未確認
[00:48:18] 成分は検出されませんでしたな
[00:48:22] うん変わったところはなさそうですぞ
[00:48:26] エブラ粒子の濃度が異様に低いぐらいです
[00:48:29] かな了解しましたではハンマリングにお
[00:48:34] 願いします了解
[00:48:38] っす
[00:48:40] う
[00:48:41] ひとまず見た目は普通の水晶と同じっす
[00:48:46] ね叩いてみた感じも高度は高そうすが表面
[00:48:52] は石とほぼ変わらないっすねでも少しと
[00:48:58] が皆さんちょっと来てほしいっす妙な
[00:49:02] ところとは近づいても大丈夫なんですかあ
[00:49:09] 大丈夫っす表面がすごく滑らかすからガス
[00:49:14] や液体が吹き出したりとかはなさそうっす
[00:49:17] でも念のため指揮感は少し離れていて
[00:49:20] くださいっす
[00:49:22] おおハンマリング様もすごく頼もしいです
[00:49:26] ね
[00:49:33] 変わった模様です
[00:49:36] なこれ
[00:49:38] は何でしたっけ
[00:49:42] ダマスカスのようなものですか見たこと
[00:49:46] ない表面です
[00:49:48] ねその話信じてもいいのでしょうか
[00:49:53] お
[00:49:55] あ騙すかすってことですか
[00:50:00] いやネオン様ユニークなユーモアのセンス
[00:50:04] をお持ちですね驚きましたふふ分かって
[00:50:10] いただけて嬉しいです忠告しとくけどそう
[00:50:14] いう部分は褒めたりしないで大変なことに
[00:50:17] なるわよそうですか私は本当に関心しまし
[00:50:22] たがハンマリング作業を続けて
[00:50:27] 見た目はクォーツ系統とそれほど違いは
[00:50:30] なさそうっす光が流れているみたいねはい
[00:50:35] 模様になってる部分から光が出てるっす
[00:50:39] 自然発行ですかな分からな
[00:50:47] いっす私もそう思っていたところです
[00:50:52] なちょっと確認してみますぞ
[00:51:00] 電気が流れていますなそれもかなり電気が
[00:51:07] これは機械ということですか電気が流れて
[00:51:12] いれば機械と考えるのは大きな間違いです
[00:51:16] ぞ動物にだって流れていますからなでも
[00:51:21] これは動物には見えないっすそうですな
[00:51:26] 不思議です
[00:51:29] ぞどうかしましたかタブレットの電源が
[00:51:34] 落ちましたなえあれあバッテリー切れ
[00:51:39] みたいです
[00:51:41] ね充電し忘れですかお待ちください確か私
[00:51:47] のブルーハリケーンに予備のバッテリー
[00:51:51] が私も用意しておりますぞしかし
[00:51:56] ですな確かにさっきまでは80%以上あっ
[00:52:00] た
[00:52:01] はずハンマリング外見から分かることは
[00:52:05] それだけはいそうっすねサンプルを少し
[00:52:10] 採取したいっすが大丈夫すかどうやって
[00:52:13] 採取するんですか先端部分を少しだけ壊し
[00:52:17] て回収するっす原始的だけど確実な方法
[00:52:21] ってわけねその通りっす了解しましたお
[00:52:26] 願いします指揮官もう少しお下がり
[00:52:30] くださいいえやはり私の後ろに立っていて
[00:52:36] くださいそっすね中にガスが充満してたり
[00:52:41] するかもしれないっすあとは壊す時に破片
[00:52:45] が飛び散るかもしれないっす
[00:52:49] う
[00:52:55] ほほね
[00:52:57] 隠れてないで出てきなさい面積が少しでも
[00:53:00] 広い方が前に立つべきではありませんか
[00:53:04] じゃあハンマリングの後ろに立ってなさい
[00:53:06] よあそこは近くて危険ですから全く
[00:53:12] もう皆さんもう少し後ろにお願いするっ
[00:53:16] す射物もあった方がいいっすね中に何が
[00:53:20] 入ってるか誰にも分からないっすから最悪
[00:53:24] の場合に
[00:53:26] たが酸素と反応してドカンと行くかもしれ
[00:53:31] ないっすハンマリング様は大丈夫なのです
[00:53:35] か私は頭がすごく頑丈にできてるっすもし
[00:53:40] もの時は頭だけ持ち帰ってほしいす
[00:53:47] 了解
[00:53:49] じゃあ行くっすよ
[00:53:57] 思ったよりかなり丈夫すね石のコドは軽く
[00:54:01] 超えてるっすダイヤモンドぐらいすかね次
[00:54:06] は全力で叩いてみ
[00:54:10] るっすラプチャーに見つかったようです
[00:54:13] そちらへ移動中距離
[00:54:17] 400最悪のタイミングっすねクリスタル
[00:54:21] キンでの戦闘は控えてください壊れたら何
[00:54:25] が起きるかわかります
[00:54:30] [音楽]
[00:54:33] ラジラプチャーの残骸がクリスタルの方
[00:54:37] にハンマリングし知ってたすか実は私野球
[00:54:44] 選手が夢だったぜ
[00:54:57] ぎピッチャー志望だったんですかアニス私
[00:55:02] の後ろにあなたが私の後ろ
[00:55:08] でしょう間に合いません官私の後ろへ皆
[00:55:13] さん姿勢を低くして
[00:55:21] [音楽]
[00:55:27] 何も怒らないみたい
[00:55:29] ねびっくりしたびっくりしすぎてメガが
[00:55:34] 飛び出すところでし
[00:55:36] [音楽]
[00:55:38] たひやっとしたっ
[00:55:41] すみな騒ぎすぎです
[00:55:44] な
[00:55:46] へえそうです
[00:55:48] ねさっきのふきゃーって何だったんすか
[00:55:53] なんかの合図みたいなどうでしょう
[00:55:58] ねクリスタルも壊せたことですし毒性物質
[00:56:02] が流出していないか確認します
[00:56:05] [音楽]
[00:56:06] ぞ
[00:56:09] おう何も出ていないです
[00:56:12] なさっきから気になってたんですがそう
[00:56:15] いうことが分かるんですか待機中の物質を
[00:56:20] この機械で確認できるのですぞ測点範囲は
[00:56:24] 狭いですがなかなか使え
[00:56:27] 私のメガにもその機能をつけられません
[00:56:31] かネオン氏そのメガはただのレンズですか
[00:56:35] な
[00:56:37] いえディスプレイ機能があると聞きました
[00:56:41] なるほどそれなら可能かもしれませんな後
[00:56:46] で試してみますぞ
[00:56:49] おおということはこれからは情報分析担当
[00:56:53] ネオンになれるんでしょうかうまくいっ
[00:56:57] たらたまったもんじゃないわ余計に
[00:56:59] うるさくなりそうじゃあ壊れた部分を持っ
[00:57:02] て
[00:57:05] 帰る光ってないそういえば模様の部分から
[00:57:10] 光が消えています
[00:57:12] などれどれ
[00:57:16] う電気ももう流れてません
[00:57:19] ぞでも手に入ったには違いありませんから
[00:57:24] 持って帰りましょうこれを持って帰っても
[00:57:28] ちょっとあれじゃないすか半端な状態の
[00:57:31] サンプルって感じで
[00:57:33] [音楽]
[00:57:40] ちょっと消えちゃっ
[00:57:43] たすそのようですな何でしょうかなこれ
[00:57:48] は強く握りすぎたんじゃ
[00:57:52] ないあんなに硬いクリスタルをでにでき
[00:57:56] ちゃったってことす
[00:58:03] [音楽]
[00:58:13] か同意します戻ってから改めて調査チーム
[00:58:18] を編成し直した方がいい
[00:58:22] でしょう
[00:58:23] あのちょっと待ってください
[00:58:27] もう少し奥に進んだらダメっすか地図を
[00:58:31] 見る限りこの先にはクリスタルがもっと
[00:58:34] あるはずっす私も同意ですぞ私も
[00:58:40] [音楽]
[00:58:41] ですでも何か収穫があるはずっす奥で
[00:58:46] もっといいサンプルが手に入るかもしれな
[00:58:49] いっすし私たち仕事を見つけるためにここ
[00:58:53] まで来たんですこのままに戻ったら調査隊
[00:58:58] には他の誰かが編成される
[00:59:01] でしょうそうなれば私たちはまた仕事の
[00:59:06] ない哀れな2に戻ってしまいますでも
[00:59:11] せめてまともなサンプルか驚くような調査
[00:59:14] 結果を持って帰ることができれば探索で
[00:59:18] 活躍したという評価は得れるはず
[00:59:21] ですこのまま帰ってただ現場を見て帰った
[00:59:25] だけの無扱されるわけにはいきませ
[00:59:29] んそれに個人的に気になりますからな完全
[00:59:34] に未知の推奨体ですぞこれをただ見ただけ
[00:59:38] で帰るなんてもったいないですからな我々
[00:59:42] が第一発見者になるわけですしこんな絶好
[00:59:46] のチャンス逃したら損ですなサンプル回収
[00:59:50] もそうですがまだ色々と確認できるはず
[00:59:53] ですぞ
[00:59:57] お願いしますどうか許可をお願いします
[01:00:04] もう他人の顔色を伺いながら生きていき
[01:00:07] たくはないんですこの任務でルート探索の
[01:00:11] 役割をやり遂げたと評価されればまた次も
[01:00:14] あるはず
[01:00:15] ですもちろん危険は承知の上ですそれでも
[01:00:20] アークで誰かに媚びへい続けるよりはいい
[01:00:23] んですずっと
[01:00:26] そうやって生きていくぐらいならい地上で
[01:00:29] 死んだ方がマシです私にだっ
[01:00:33] てプライドがあるんですですからもう少し
[01:00:39] 探索してみませんかお願いし
[01:00:44] [音楽]
[01:00:47] ます今のところ大きなリスク要因はないか
[01:00:51] とクリスタルには毒性や有害物質はなく
[01:00:55] 爆発などの危険もなさそうです現在判明し
[01:00:59] ている限りただ珍しい模様のクリスタルと
[01:01:02] いうだけ
[01:01:02] [音楽]
[01:01:06] です
[01:01:07] ダジでは探索続行ということで引き続き
[01:01:12] バックアップを行い
[01:01:15] ます
[01:01:16] あありがとうございますお
[01:01:23] [音楽]
[01:01:28] おやあれ
[01:01:31] はクリスタルの集合隊のように見えますな
[01:01:36] ああそっすねあそこだけクリスタルが
[01:01:40] 固まってるっす行ってみますかな
[01:01:48] うすエグ様急にテンションが上がりました
[01:01:52] ねクリスタルに危険がないことは判明して
[01:01:56] いるからもう怖がる心配はないということ
[01:01:59] ねやる気があっていいですねやはり希望が
[01:02:04] 見えれば元気も出るのでしょうそうですか
[01:02:09] リバリンも随分欲的でわ私ですかあまあ
[01:02:15] やる気は確かにあります
[01:02:18] が私は最悪の状況を避けるためにただ必死
[01:02:23] なだけですから奇のために意欲的なエグ様
[01:02:28] とは性質が違いませんか必死になるのだっ
[01:02:33] て別に悪いことじゃないでしょ必死すぎる
[01:02:37] と無理をしがちになってしまいますので
[01:02:41] まあそれはそうねだから私たちがいるの誰
[01:02:47] にも無理をさせないために
[01:02:50] ああ皆さん私のことをすごく気遣って
[01:02:54] くださいますね
[01:02:57] 自分を下げる方が楽な時もあるけど万能で
[01:03:00] はないと
[01:03:02] 思うあずっとそうやって生きてきたのでえ
[01:03:06] そういう人付き合いしか知らないん
[01:03:09] です2になる前はどうだったの
[01:03:13] う覚えていませんきっと今と似た感じでは
[01:03:20] 生まれ持った性格というのは変わらない
[01:03:23] ものです無理に帰ろとは言わないわラピ様
[01:03:27] は性格も変えられると思いますかええ
[01:03:32] いくらでも
[01:03:34] あまるで経験したことがあるみたいですね
[01:03:40] 皆さんこちらに来てくれますか
[01:03:44] なはい今行き
[01:03:49] [音楽]
[01:03:53] ますはい
[01:03:56] 姿勢は消極的ですが探索自体には興味が
[01:03:59] あるようです探索の継続を言い出したのも
[01:04:03] 彼女
[01:04:05] [音楽]
[01:04:07] です詳しくは分かりませんが何か考えが
[01:04:11] あることは間違いないでしょう
[01:04:14] エキゾチックのこともあったし注意しすぎ
[01:04:17] て困ることはないわね最初から疑って
[01:04:20] かかろうという話ではありませんけど
[01:04:24] ね
[01:04:26] [音楽]
[01:04:34] はい見えましたかな
[01:04:38] えっと見えました
[01:04:40] けど思ったより残酷です
[01:04:43] ねラプチャーの死に方の研究ですか
[01:04:56] もう少し観察するっ
[01:05:01] すまあそうです
[01:05:06] [音楽]
[01:05:10] なラプチャーの沈黙を確認
[01:05:14] あのこれは
[01:05:17] 少し見てて楽しいシーンじゃないわねそれ
[01:05:21] でエグ様一体何を
[01:05:33] これはどういうこと
[01:05:36] でしょうさっぱりです
[01:05:39] なさっきもこうなりました
[01:05:42] なクリスタルが成長したそうです
[01:05:47] なラプチャーをにしたのでしょう
[01:05:51] かそうは見えませんなャ
[01:05:56] は変わってないですからな何らかの
[01:05:58] ウイルスという可能性はラプチャーだけに
[01:06:01] 反応するウイルスですかな我々が触った時
[01:06:05] は何も反応がありませんでしたゆえ
[01:06:10] ああもしそうなら武器に使えるんじゃない
[01:06:13] す
[01:06:17] か
[01:06:19] えっとどう報告しましょう
[01:06:24] か
[01:06:26] ああはい了解しまし
[01:06:30] たもう少し行ってみませんかな実験してみ
[01:06:35] たいことがありますぞハンマリングし
[01:06:38] 手伝っていただけますかなもちろん
[01:06:44] [音楽]
[01:06:46] すここまでハンマリング氏と共同で調査し
[01:06:50] た内容を共有します
[01:06:53] ぞこのクリスタルは
[01:06:56] 一定時間以上触れたもののエネルギーを
[01:06:58] 吸収するようですなクリスタルに触れて
[01:07:02] いるものにエネルギーと呼べる何かがあれ
[01:07:04] ばそれを丸ごと吸い取ります
[01:07:08] ぞそうするとクリスタルが大きくなるん
[01:07:12] ですな成長する理由は単純ですぞ表面積が
[01:07:17] 広くなりますからな先ほどクリスタルを
[01:07:21] 調査した時にタブレットの電源が落ちまし
[01:07:24] たなあれは充電忘れではなくタブレットの
[01:07:29] エネルギーが吸い取られたようですぞ根拠
[01:07:34] は何回にも渡る実験の結果ですなおかげで
[01:07:39] バッテリーがどれも0%ですぞ手でも触れ
[01:07:44] てみましたが少し立つと出力が落ち始め
[01:07:48] ましたなあのまま触り続けていたら
[01:07:52] おそらく私もあのラプチャーと同じことに
[01:07:56] なったでしょうな自分の体で試したんです
[01:08:00] かさすがの探求心です
[01:08:03] ねまあ代償は払うことになりましたが
[01:08:07] [音楽]
[01:08:11] な一見何の異常もないように見える
[01:08:15] でしょうなそんなどうしてこんなに穴
[01:08:19] だらけなんです
[01:08:21] かこれが見えるのですか
[01:08:24] なとにかく
[01:08:26] 私の手にすごく小さな穴がすごくたくさん
[01:08:32] 開いてますね入り込まれたごめと私の体内
[01:08:38] に手から侵入しようとしたようです
[01:08:42] な狙いは私のエネルギーですな手からコア
[01:08:46] が遠かったので道を作ろうとしたようで
[01:08:50] クリスタルから手を離して手を動力から
[01:08:54] しばらく切り離したら治りましたぞ
[01:08:57] えっと破片などが手の中に残っていたら
[01:09:01] どうなるんです
[01:09:02] かそれは心配いりませんぞ全て実験済み
[01:09:07] ですからなあとはハンマリングし説明をお
[01:09:11] 願いできますかなもちろんすこの
[01:09:15] クリスタルは吸い取ったエネルギーを中に
[01:09:18] 溜め込んでるっす電気に変換するんですな
[01:09:22] えっとそっすねだからこのクリスタルの中
[01:09:26] はいつも電気が流れているっすそれで電気
[01:09:31] がなくなると粉々になるっす水がなくなっ
[01:09:35] た植物みたいなもんすね養分がないから
[01:09:39] 枯れるのと似たような感じっすだから私の
[01:09:43] 手も無事ということですぞ養分をなくし
[01:09:46] ましたからな
[01:09:49] ただかけらは粉々になるっすが地面に
[01:09:53] 埋まっているものは頑丈みたいっす
[01:09:56] それで地面を掘ってみたっすクリスタルは
[01:10:00] 全部繋がっていたっすここ一体の
[01:10:03] クリスタルが全て地面の下で繋がっている
[01:10:07] ということそうみたいっすまるで木の
[01:10:11] 根っこみた
[01:10:12] いっすそれは
[01:10:17] つまりこのクリスタルの根元があるはず
[01:10:20] ですな見つけ方は簡単です
[01:10:24] ぞ仮に長いクリスタルがあるとします
[01:10:29] なそれを半分にしたとする
[01:10:33] と半分はこなごなになりもう半分はその
[01:10:37] ままになるでしょう
[01:10:39] なそうして変化がなかった方を調べれ
[01:10:43] ばこのクリスタルの根元までたどり着ける
[01:10:47] というわけですなそれ
[01:10:50] からこれはもう少し調査が必要ですが
[01:10:55] の中の電流にも方向性があるような予感が
[01:10:59] します
[01:11:00] なこれが本当に根のようなもの
[01:11:04] なら洋文は中を循環していてどこかに中心
[01:11:09] があるはずですな行けます
[01:11:13] ぞこのクリスタルの本体を突き止めること
[01:11:17] できそうですなうすできそうっす
[01:11:22] [音楽]
[01:11:27] そうです
[01:11:28] なですがクリスタルはここにあり我々も
[01:11:33] ここにいますなだから確認する必要があり
[01:11:38] ますぞこれが何なのかなぜここにあるの
[01:11:43] か1つ確かなことはこれが自然発生した
[01:11:48] ものではないということですなこれ
[01:11:52] は誰かがはっきりとした目を持ってここで
[01:11:57] 育てているものです
[01:12:01] [音楽]
[01:12:05] ぞここが良さそう
[01:12:08] ね3方向が塞がっているからですかそう
[01:12:13] 入り口も適度な広さで野営地に適している
[01:12:17] わじゃあ私はデコを巻いてきます
[01:12:22] できるもちろんですでははありませんが
[01:12:26] 地上は何度か経験がありますそれに道案内
[01:12:31] 役ですから要所を把握するのも専門分野
[01:12:35] ですそれならお願いもちろんですよそんな
[01:12:41] にかしこまらないでください一緒に行き
[01:12:44] ましょういいえいえ私だけで大丈夫ですよ
[01:12:49] アニス様はお休みください気にしないで
[01:12:53] ささっと終わらせて休む方が日が楽だし
[01:12:57] うんほら行きましょうわかりまし
[01:13:02] た
[01:13:04] ううここで寝るんですか
[01:13:07] なそうなるわ
[01:13:10] [音楽]
[01:13:14] うそれもありますが不安に思われませんか
[01:13:19] なあのクリスタルが我々のエネルギーを
[01:13:22] どこから狙ってくるかわかりませんぞこの
[01:13:27] 付近にはないっす全部確認したっす間違い
[01:13:32] ないですか
[01:13:33] な間違いないっすクリスタルに足でも生え
[01:13:38] てない限り心配ないっすひとまず分かり
[01:13:42] ましたぞ
[01:13:46] [音楽]
[01:13:55] 安全だと分かってから一気に畳みかける
[01:13:58] ことですから
[01:14:02] [音楽]
[01:14:03] な来る時もそうでしたが本当に寝つきが
[01:14:08] いいです
[01:14:09] ないびきも特大です
[01:14:14] な関係ありませんなどうせ寝るはありませ
[01:14:19] んでしたので少しでも寝ておいた方がいい
[01:14:23] わ大丈夫ですぞたっぷり寝てきましたから
[01:14:27] な見張は私に任せて皆さんは寝るといい
[01:14:32] です
[01:14:40] なはい分かりやすかったですか
[01:14:48] な実際に見たわけですからな探索任務と
[01:14:53] 聞いた時からすごくドキドキしていました
[01:14:57] が少々受かれすぎですか
[01:15:02] なう
[01:15:05] 好きさすが師匠グイグイ行きます
[01:15:11] ね見張りは交代性で最初は私がやるわどう
[01:15:16] しても眠れないなら一緒にやり
[01:15:20] ましょうではそうしますかな
[01:15:26] はいし
[01:15:27] [音楽]
[01:15:29] 君静かです帰って不安になるほどですね
[01:15:34] 工学迷彩がこれほどの効きめだとは思って
[01:15:37] いませんでし
[01:15:40] たはいちょうど待機モードに切り替えよう
[01:15:44] と思っていましたあモニタリングは交代を
[01:15:48] 頼みますのでご安心
[01:15:50] [音楽]
[01:15:52] ください指揮官もお疲れ様でした
[01:15:55] それで
[01:15:57] は指揮関しちょっとそれ見せていただけ
[01:16:01] ますか
[01:16:05] なオペレーションデバイスのことです
[01:16:10] ぞ
[01:16:12] うおこれどれくらい使ってますかな最後に
[01:16:16] 整備したの
[01:16:18] [音楽]
[01:16:19] はボロボロですな絶縁線が外れそうですし
[01:16:25] 部品もかなり古くなってますぞ私が修理し
[01:16:29] ても構いませんか
[01:16:31] [音楽]
[01:16:32] なしばしお待ち
[01:16:37] [音楽]
[01:16:43] [音楽]
[01:16:47] くだされ終わりましたぞ
[01:16:58] [音楽]
[01:17:02] はい
[01:17:03] おお気づかないと思っていましたがいい目
[01:17:08] をしてます
[01:17:13] なブームという古典FPSの傑作ですな
[01:17:18] ジャンルの元祖みたいなものですぞ容量
[01:17:21] たった28なのに最近の手なゲームより
[01:17:25] 面白いです
[01:17:28] な画面がある機会があればブームを
[01:17:32] インストールする常識ではありませんか
[01:17:38] なでは今から覚えておくことですなあと
[01:17:43] それタイトル画面だけじゃなくて実際に
[01:17:46] プレイできますぞおとコントローラーが
[01:17:50] ないから操作ができませんなすぐに作り
[01:17:53] ますぞえっと余っている部品
[01:17:57] [音楽]
[01:17:59] が
[01:18:01] うえ面白いんですが
[01:18:04] なラプシの武器にも機能補正用の画面が
[01:18:08] ありましたなそこにもインストールして
[01:18:11] おきましたぞ
[01:18:14] え
[01:18:18] あいかがですかな画面さえあればどこにで
[01:18:22] もインストールできますぞ消して
[01:18:26] [音楽]
[01:19:04] [音楽]
[01:19:10] はあ何してるの
[01:19:12] ああ宅配の予約が何件か入っていたのでお
[01:19:17] 客様の代をしていましたそうなの忙しいわ
[01:19:22] ね生るたですから仕事があるだけましです
[01:19:28] よ仕事ってどれくらいのペースであるの
[01:19:32] まちまちですね記念日などは重なることが
[01:19:36] 多いのでそういう時は忙しくなり
[01:19:39] ます普段はあったりなかったりという感じ
[01:19:44] です大変そうねそれでお客様の相手は
[01:19:48] 終わったはい終わりましたじゃあ戻り
[01:19:53] ましょう早く寝て明日に備えなきゃそうし
[01:19:57] ましょうか
[01:19:59] ああところでリバ
[01:20:01] リンしばらくそういう記念日らしい日って
[01:20:04] なかったと思う
[01:20:05] けどそんなに予約が多いのあまあまちまち
[01:20:11] ですから運が良かったみたいです
[01:20:15] ねそう良かったわね
[01:20:19] あ
[01:20:21] はいおっしゃる通りですね
[01:20:27] [音楽]
[01:20:29] はどうしたの
[01:20:33] ねこれは何でしょう私の目がおかしい
[01:20:38] です見せて何が変な
[01:20:42] の目の前がゲム画面にえ
[01:20:49] あ眼鏡にゲームの画面が映ってるわね
[01:20:54] これブームだわこんな古いゲームがどうし
[01:20:59] て急に
[01:21:01] あこれが噂の再先端のVR技術ですかその
[01:21:06] 割にはグラフィックがすごく昔っぽいです
[01:21:10] けど
[01:21:13] エグお休みの間にメガネをアップグレード
[01:21:17] しておきまし
[01:21:18] た名作ゲームを間近でプレイできる栄光を
[01:21:22] 差し上げますぞ私はゲームではなく分析
[01:21:27] 機能を希望したんです
[01:21:30] うんそれにしてもその
[01:21:34] 眼鏡一体どこで手に入れられたのですかな
[01:21:38] えただ最初から普通に持ってましたが
[01:21:43] フレームもレンズも何1つ普通じゃあり
[01:21:46] ませんなフレームはニューマターで軽量化
[01:21:50] されてますしレンズのディスプレイも超高
[01:21:54] 性能ですな私でも見たことがないほどでし
[01:21:58] た
[01:21:59] ぞ内部OSのストレージも大きいはずなの
[01:22:02] にほぼ全て使われてました
[01:22:06] しギリギリブームをインストールできる
[01:22:09] ぐらいの容量しか残ってませんでしたな
[01:22:13] えっと何をおっしゃってるのか全然わから
[01:22:16] ないですがとりあえず元に戻してもらえ
[01:22:20] ますか
[01:22:23] フレのを軽く2回叩けば消えますぞ次から
[01:22:28] はフレームの横を2回叩く仕様にして
[01:22:31] くださいその方が知的に見えそうなので
[01:22:35] それはまた今度時間のある時ですないずれ
[01:22:40] にしろ普通のメガネとはお世辞に
[01:22:45] も壁に生えてるなんでしょうな
[01:22:54] どうしたっすかなななんですかあ
[01:23:09] あれ移動してきたんですかなままさか
[01:23:14] クリスタルに足が生えてるわけないしは
[01:23:18] 生えたのではないですか
[01:23:21] えそうかもしれないわね
[01:23:26] 壁の中に元からクリスタルが埋まっていて
[01:23:30] 私たちがここにしばらくいたから出てきた
[01:23:33] のかもしれないっすエネルギーを吸収する
[01:23:36] ために動いたということですかな
[01:23:40] うんえとっす
[01:23:43] ねやっぱりいくら考えてもただの鉱石とは
[01:23:48] かけ離れた何かすというと植物の方が近い
[01:23:54] じゃないか分がなくなると枯れるって話も
[01:23:58] 猫があって用の方に伸びるのも植物って
[01:24:03] そういうものっすよね一理ありますな念の
[01:24:08] ためボタニックガーデンに連絡するっす
[01:24:12] あそことは付き合いがあるっす
[01:24:14] からその方が良さそうですな揮
[01:24:21] 官ラジャ
[01:24:28] [音楽]
[01:24:30] あ道がどんどん狭くなってるっす地図には
[01:24:36] 反映されていないようです
[01:24:38] ねやはり細かい部分までは分からないよう
[01:24:43] です空から撮った写真に近いもののはずだ
[01:24:47] から
[01:24:49] うん詳しくはないのですがもし前後から
[01:24:53] ラプに挟まれたら何もできなくなって
[01:24:57] しまうのではじゃあ私が後ろを見張るっす
[01:25:02] あと1人お願いするすでしたら私がやり
[01:25:06] ましょうお
[01:25:08] 願いそれにしてもここはすごいですな
[01:25:13] クリスタルだらけですぞそっすね地面も壁
[01:25:18] もめちゃくちゃすどこにも触ったらダ
[01:25:21] めっすよこんな場所で戦闘なんて考えたく
[01:25:27] もないです
[01:25:28] ねもしクリスタルの上に飛ばされたら昨日
[01:25:33] 見たラプチャーと同じことになりますよ
[01:25:36] ねエネルギーを吸い取られて
[01:25:41] ああその話なら多分簡単に解決できるっす
[01:25:46] 頭を外せばいいっすはいこりゃダメだって
[01:25:50] 思ったら頭を外せば問題ないっす
[01:25:55] 私たちは頭さえあれば生き残れるっすから
[01:25:59] 体はクリスタルにエネルギーを吸い取られ
