# NIKKE 第20章 转录
视频ID: xNyagXpq6a4
[00:46:25] でしょうおめでとうございます祝福された
[00:46:30] rhx型の血液型の持ち主と判明しました
[00:46:36] いえ呪われたと言うべきでしょう
[00:46:39] [音楽]
[00:46:42] かそうですアンチェインドを作ることが
[00:46:46] できる血液型を持ったごく少数の人間の
[00:46:50] 1人それがあなた
[00:46:55] です気分はいかがですか嬉しいですかそれ
[00:47:00] とも気が抜けまし
[00:47:06] たそうですかあまり感情に囚われる必要は
[00:47:11] ありませんよあなたがこの体質のせいで
[00:47:15] 泣いたり笑ったりすることはこれから無数
[00:47:18] にあるはずですから心配はひとまず置いて
[00:47:22] おきましょうそれよりも
[00:47:27] ておなければなりませ
[00:47:29] [音楽]
[00:47:33] んこれは私と
[00:47:37] あなたそれ以外には知られてはいけません
[00:47:41] 外にいるあなたのニケたちも例外ではあり
[00:47:45] ませんよ
[00:47:47] 特にあのパピオンというニケあなたとは
[00:47:51] 違う派閥の福司令感のために働いている
[00:47:55] ようですね
[00:47:57] には絶対に教えないでください公共の利益
[00:48:01] のために犠牲になる実験動物になりたく
[00:48:04] ないのであれ
[00:48:10] ば素直でいいですねさもう行ってください
[00:48:16] ヨハも私に話があるようですからあまり
[00:48:20] 待たせるのもいけませんしね
[00:48:32] なん
[00:48:38] だつまらぬことをそれでこれからどうする
[00:48:43] つもりだアークに戻るの
[00:48:48] かそれならここに残るのもいいだろうお前
[00:48:54] はまだ気持ちばかりが先走っている青祭だ
[00:48:56] が
[00:48:57] 私ならお前を1人前の指揮官に育てられる
[00:49:01] から
[00:49:03] ななんだ信じられないかまだ覚えている
[00:49:08] ものがいるかは分からないがアークの
[00:49:11] マスコミには神聖と呼ばれていたんだ指揮
[00:49:15] 官としてお前の上に立つ資格があるという
[00:49:17] 意味
[00:49:20] だそうだ当時のお前はまだ押せなかった
[00:49:25] だろうからおそらく覚えていないだろう
[00:49:36] がなんだそのキラキラした目
[00:49:45] は
[00:49:48] いや気持ち悪いからやめてくれ特にセシの
[00:49:52] 前ではな
[00:50:01] [音楽]
[00:50:12] 全く呆れちゃう
[00:50:14] わこの基ってば吐いてく履いてくって自慢
[00:50:20] げに言ってたくせにクと簡単な通信さえ
[00:50:24] できないの
[00:50:25] [音楽]
[00:50:32] どれか1つでも遅れたら小心確定なの
[00:50:41] に誰よ私ですドロシーですよそんなに驚く
[00:50:48] ことですか
[00:50:50] あそのほらあれよあなたが気配を消した
[00:50:56] 帰ってくるからでしょうゲストとはいえ
[00:51:00] プライバシーは尊重してくれないああそう
[00:51:03] でしたかごめんなさいしかしですね
[00:51:10] うんもしアークへつがる通信なんて許可し
[00:51:14] ていたらこの基地が今まで存在を隠せた
[00:51:19] はずありませんよね
[00:51:22] あなたやっぱり聞いてたのね
[00:51:26] それでどうすんのここから私を追い出す
[00:51:31] つもりそれも1つの方法ではあります
[00:51:35] ね全く他に方法があるような言い方じゃ
[00:51:40] ないはいもっと穏やかなものももしくは
[00:51:46] 過激なものも用意してありますよそれを
[00:51:50] 決めるのは私ではなくあなたですあ
[00:51:58] 念のため言っておく
[00:52:01] けどつまんないことは考えない方がいいわ
[00:52:05] よこう見えても私アークの副司令官直属
[00:52:10] ラインだからアーでできることがすっごく
[00:52:15] 多いのよ
[00:52:17] ね見たところあなたはここの人たちとも
[00:52:21] いざこざがあったみたいだけど保険みたい
[00:52:25] なものが必要だと思うないほらアーク上層
[00:52:29] 部とコネクションを作るとか色々ある
[00:52:32] でしょでももしあなたが私に手を出すなら
[00:52:37] そのチャンスは飛んでいくのよ
[00:52:41] うんいい
[00:52:43] でしょう私にとっても損になる話ではなさ
[00:52:47] そうですね
[00:52:49] しかしいくつか条件がありますその
[00:52:54] 1あなたはこれからも私の許可なしで
[00:52:58] アークと通信することはできませんその2
[00:53:03] アークとの通信内容はあなたではなく私が
[00:53:08] 決めますどうですか命がかかっている割に
[00:53:12] は随分合理的だと思います
[00:53:17] がま仕方なかゲストって立場だしホストが
[00:53:24] やれって言うならやらないと
[00:53:26] [音楽]
[00:53:29] いい心構えですねで
[00:53:32] はこれからも快適にお過ごし
[00:53:43] ください
[00:53:45] 本当変なやつに引っかかっちゃった
[00:53:53] なうわ
[00:53:57] くそ楽園の虫
[00:54:01] どめだめ
[00:54:03] だ今すぐあいつらを吉事一掃しねえと怒り
[00:54:07] が収まら
[00:54:10] ねえ静かにして
[00:54:13] ニスタただでさえ私を動かしたくせにまた
[00:54:19] 私の眠りを邪魔する気しっかりして私が
[00:54:25] あなたを殺して
[00:54:26] 前に
[00:54:29] 殺すお前が俺
[00:54:35] をそう
[00:54:37] よ昔はクイーンが前方同士の争いは許さ
[00:54:45] なかったわよねでも今はどう
[00:54:50] かしら今回のことでクイーンはあなたに
[00:54:55] かなりしてるわ
[00:54:59] エデンあの場所を地から消し去らない限り
[00:55:03] 信頼を取り戻すのは難しいでしょう
[00:55:08] ねとなるとあなたはいつ
[00:55:12] か人間じゃなくて私たちに噛みつかれて
[00:55:19] 死ぬの
[00:55:20] よふざけた
[00:55:23] ことその前にが燃やしてやるさそうだそう
[00:55:29] いえば
[00:55:31] あなた私が行く前に余計なことを喋ってい
[00:55:36] たようだ
[00:55:37] けどあれ
[00:55:39] は何だったの
[00:55:43] あリリスのボディ
[00:55:46] が何だった
[00:55:48] かしらクイーンが聞い
[00:55:51] たら喜びそうな話だったけど
[00:55:57] あーあああれ
[00:56:00] かもちろんはったり
[00:56:03] さおかげでノマのお前が到着するまでの
[00:56:07] 時間を稼げたんだむしろクイーンからし
[00:56:10] たら小さに値することなんじゃねえ
[00:56:17] かどう
[00:56:20] かしら臨機応変な対応なのか裏切りの
[00:56:26] なのかそれはこれからのあなた次第よ
[00:56:32] ねクインがいつもあなたを見て
[00:56:38] るってこと忘れない
[00:56:43] [音楽]
[00:56:49] でどこもかしこも燃やして生にしたいもん
[00:56:54] だらけだなあ
[00:56:58] [音楽]
