# NIKKE 第21章 转录
视频ID: pltXmzzqBtM
[00:43:38] 例が2は人間に危害を加えてはならない
[00:43:44] これちゃんと機能していると思い
[00:43:50] ますそうなんです人間に指1本触れられ
[00:43:55] ない2もいればゴム弾まで使える2もい
[00:43:59] ますもちろん殺すことはできませんが2に
[00:44:04] よって適用される範囲が違うとは言います
[00:44:07] がいい意味でも悪い意味でも2の個性を
[00:44:12] 尊重しすぎていますインプットは全員同じ
[00:44:15] なのにアウトプットがそれぞれ
[00:44:18] 異なるこれはすでに安定性とはかけ離れた
[00:44:24] 使えないものだと考えても
[00:44:27] ありませんニーフの基本機能は消去記憶
[00:44:32] 上書きだと言いますよねですがこの中で
[00:44:37] 意図したトルに作動しているものはあり
[00:44:39] ます
[00:44:42] かあるでしょうでもそれが全て成功したと
[00:44:47] いう証拠
[00:44:49] はあまりにも不安定で一貫性にかけてい
[00:44:54] ます
[00:44:58] 自転車を例に考えてみましょうか幅の広い
[00:45:02] タイヤに交換したい場合元々あったタイヤ
[00:45:06] を外して幅の広いタイヤに交換する
[00:45:09] でしょうもしくは前方のライトをもう少し
[00:45:13] 明るくしたい場合は電球を交換したり
[00:45:17] バッテリーを他のものに交換するでしょう
[00:45:21] その部分の構造を知っているからこそ
[00:45:24] 変えることができるのですでも
[00:45:27] サドルは変えられませんブレーキが故障し
[00:45:31] たら直せません自転車だということは理解
[00:45:34] していてもどの部分がどう作動しているの
[00:45:37] かを理解していないからです完成系の自転
[00:45:41] 車の一部は改造できても構造を把握できて
[00:45:45] いない部分は改造すらできないという話
[00:45:48] です当然1から作るなんて夢のまた夢です
[00:45:55] 人類にとって妊婦はそんな存在なの
[00:46:01] です分からないからですそれが何なのか
[00:46:06] どこから来たのか誰が作ったのかどんな
[00:46:09] 構造で作動するのかどんな副作用があるの
[00:46:12] か誰も知りませ
[00:46:17] んコピーアンドペーストは可能です少しの
[00:46:22] 改造しかしそれ以上は分かりません人類は
[00:46:28] そんなものを使っているのです2の頭部に
[00:46:31] はそんなものが入っているの
[00:46:36] ですこれ
[00:46:38] が私が妊婦が危険だと言った理由です頭の
[00:46:43] 中に入っている爆弾がいつどんな問題を
[00:46:46] 起こすか誰にも分かりませんから人類は
[00:46:50] 弁理だからという理由だけでこれを乱用し
[00:46:53] ているのです私もだというには同意します
[00:46:58] しかしあまりにも危険ですだから私は
[00:47:03] あなたがしようとしていることに反対はし
[00:47:06] ませんヨハも反対はしない
[00:47:10] でしょう反対しませんよただ彼にはそれ
[00:47:15] よりも優先すべきことがあるだけ
[00:47:21] ですあなたの考えを指示する人間もいると
[00:47:26] いうことを伝えたかったんです理由は少し
[00:47:29] 違います
[00:47:31] がアンチェインド団を手に入れたらヨハを
[00:47:35] うまく説得してみてください2人とも
[00:47:39] 引き下がるわけにはいかないでしょうし
[00:47:42] どちらも世界の役に立つのは間違いあり
[00:47:46] ませんから
[00:47:48] あ争点が終わったようです
[00:47:51] ね疲れたでも思ったより面白かったですね
[00:47:58] この砲台は元から対マザーホエール用に
[00:48:01] 作られたものなのいや本来は単なる巨大な
[00:48:05] 対空法なんだが私たちが改造したんだ
[00:48:09] マザーホエールを捕獲するために単一個体
[00:48:13] のためにしては規模が大きすぎる
[00:48:18] けど狙いは他にあるよねそうだな
[00:48:23] もここで待機し合図したら発射しろ
[00:48:28] えやるんだ1人で残るのに敵してるのは
[00:48:32] 防御に特化したお前だから
[00:48:36] ないつまでそうやっ
[00:48:39] て師匠私もここで待機します
[00:48:44] あえどうしてネオンがノアを1人置いて
[00:48:49] いくのは少し不安なのでネオンがいた
[00:48:53] からって不安が解消されるとは
[00:48:59] そうだ私たちが今向かっている場所もそこ
[00:49:03] だそこでマザーホエールを
[00:49:05] [音楽]
[00:49:08] 持つ
[00:49:09] はい何よここで弱虫の世話をしろていうの
[00:49:15] 私に依存しすぎじゃない揮官インヘルトの
[00:49:19] 戦力はて分散されました標点に達するまで
[00:49:24] のリスクがまますよろしいです
[00:49:29] か
[00:49:30] ラジャ私はそれよりここをこの2人に
[00:49:34] 任せる方が心配だ
[00:49:39] けど最強の火力は分からないけど最強の盾
[00:49:43] なのは間違いないよだそうですよトラブル
[00:49:48] 起こさないでよねもちろんですよもう不安
[00:49:54] だわもういいか
[00:49:57] 移動
[00:50:00] [音楽]
[00:50:04] しよう目標地点に到着しました
[00:50:11] 受け取れもうすぐマザーホイールがこの上
[00:50:14] を通るはずだタイミングに合わせて信号団
[00:50:17] を
[00:50:20] 打てそうお前がやるんだ
[00:50:26] いるか応用すれば敵のコドを計算できる
[00:50:31] よし時間がありそうだから簡単に
[00:50:37] 教残念ですがそれはまた今度ですねマザー
[00:50:42] ホエールがもうすぐこの上を通りますご
[00:50:45] 自身で判断し信号団を発射して
[00:50:50] [音楽]
[00:50:55] ください急に暗くなったけどあいつの影の
[00:50:59] せいじゃないよねそうようそこんな大きい
[00:51:04] のねマザーホエール射程距離内に突入
[00:51:28] 1番アンカーマザーホエールに
[00:51:38] 命中2番アンカー
[00:51:42] 命中シンプルな攻撃だけど規模が大きすぎ
[00:51:45] て迫力あるわね3番アンカーが遅いネオン
[00:51:50] とノアの方もうだからあの2人だけだと
[00:51:54] 心配だって
[00:52:05] 3番アンカー
[00:52:07] 命中アンカーを回収し
[00:52:18] [拍手]
[00:52:20] [音楽]
[00:52:22] ますマザーホエール順調にコード加工中
[00:52:33] 120000マザーホエルコド加工停止
[00:52:38] コド維持中
[00:52:40] 予マザーホエルが逆噴射を開始しまし
[00:52:44] [音楽]
[00:52:46] た地面に落ちたくなくてあいているという
[00:52:50] ことですまだ重機の射程距離外ですなんと
[00:52:54] か引きずりおろしてくださいイサベルとの
[00:52:57] ホットラインを作れ空中から
[00:53:00] 迎撃お待ちくださいマザーホエルの背面
[00:53:05] 解放ラプチャー
[00:53:07] 多数墜落いや加工しますえあの高さから
[00:53:13] ラプチャーを落とすの地面にいる私たちや
[00:53:17] 砲台を狙ってるのよ自分はよっぽど落ち
[00:53:20] たくないのね準備しろラプチャーが来るぞ
[00:53:30] 全員戦闘準備
[00:53:36] [音楽]
[00:53:38] エンカウンターよし片付いたわよマザー
[00:53:42] ホエル加速
[00:53:45] 加速移動していますアンカーが刺さった
[00:53:48] まま移動するようですおそらく1番近くの
[00:53:52] 砲を狙うつもりでしょうそれってどこなの
[00:53:56] 番アンカー
[00:53:59] ですセシあっちとホットラインをつげ
[00:54:02] られる自己中
[00:54:07] あだめです2人とも反応がありません
[00:54:11] ちょっと何かあったんじゃないでしょうね
[00:54:15] 指揮
[00:54:17] 官
[00:54:19] ラジもうこうなると思った何か起き
[00:54:24] るって早く早く
[00:54:29] [音楽]
[00:54:36] いないあの2人いないわ
[00:54:39] よどく言ったのよねえ
[00:54:43] ちょっとネオ
[00:54:47] ネオ揮官信号団を
[00:54:59] あれを
[00:55:06] [音楽]
[00:55:09] 見ろバカバカバカ本当頭おかしいってえ
[00:55:16] なんですって風が強くて聞こえませ
[00:55:20] ん頭おかしいっ
[00:55:23] てありがとうございますノアも素敵です
[00:55:28] よすごいよく解釈しないで
[00:55:31] くれるはい火力火力
[00:55:36] ああ
[00:55:38] ゆらしっかり捕まってください掴むものは
[00:55:42] ありませんがファイト
[00:55:44] です言ってることがめちゃくちゃなんだ
[00:55:48] けどはいあと少しです聞こえないならそう
[00:55:53] 言ってよ適当に答えないで
[00:56:01] あれどうしたの大王クジがこっちに向かっ
[00:56:07] てますよえ
[00:56:10] え手違いがあったみたいです
[00:56:15] ね指揮官と合流しよう師匠のことですかハ
[00:56:21] のことですか2人とも一緒にいるでしょっ
[00:56:26] でもいいじゃない
[00:56:28] う言ったところで役には立てなさそうです
[00:56:33] けどじゃあどうするのうまくいかない時は
[00:56:37] みんなで集まって次の作戦
[00:56:39] [音楽]
[00:56:42] をみんな一緒じゃないと安心できませんか
[00:56:47] な何言ってるのよノアは寂しがり屋です
[00:56:53] ね本当何言ってるのよ私が寂しがれよ私は
[00:56:59] ガードが得意だから弱虫たちを守らなきゃ
[00:57:03] いけないのよだから合流しようって言っ
[00:57:06] てるのもしかしてノアも一番後に舞台が
[00:57:11] 加わりました
[00:57:13] えどうして分かったの
[00:57:17] やっぱりちょっと浮いてる気がしたんです
[00:57:21] 浮いてるって私がふざけたこと言わ辛い
[00:57:26] ですよね自分だけが知らない何かを他の
[00:57:31] みんなが知っているのって相手が優しくし
[00:57:34] てくれてこちらも仲良くしようと思って
[00:57:38] もこれだけはどうしようもありませんその
[00:57:43] 人たちが一緒に過ごした時を私は共にして
[00:57:47] いません
[00:57:50] から寂しいですよね寂しいからずっと一緒
[00:57:55] にいたい
[00:57:57] みんなの会話に入りたい一緒に行動したい
[00:58:01] そうしてでも自分の居場所を作りたいん
[00:58:04] ですよ
[00:58:05] ねもうやめてでも諦めるしかありません
[00:58:11] それはその人たちだけの記憶で思い出です
[00:58:15] から結局私たちのような新入りにできる
[00:58:19] こと
[00:58:20] は私たちだけの思い出を作っ
[00:58:23] て思いっきり自慢することです
[00:58:28] えあの大王クジラ私たちが引きずり下ろし
[00:58:33] ましょう
[00:58:35] へ引きずりおろすのが目標
[00:58:38] でしょでもあっちは失敗したみたいです
[00:58:42] から私たちがなんとかしないとあれをどう
[00:58:46] やって引きずり下ろすっていうのよ
[00:58:50] アンカーのワイヤーを使って大王クジラの
[00:58:53] 中に入るんです
[00:58:57] そして中から
[00:59:00] パンパンパン大王クジラはシュと
[00:59:04] つどいい感じじゃありませんか全くバカな
[00:59:09] こと言わないでよ大王クジラがこれ以上
[00:59:13] 近づいてきたらワイヤーを伝っていくのは
[00:59:16] 難しいはずです行くなら今ですだから
[00:59:21] そんなふざけたことできるはずが考えてみ
[00:59:25] てください
[00:59:27] ノアと私たった2人で大王クジラを
[00:59:30] 引きずりおろし
[00:59:32] たら皆さんに質問されますよねどうやった
[00:59:37] んだってその時にこうやって答えるんです
[00:59:42] ああそれは私たち2人だけの秘密です
[00:59:49] てどうですワクワクしませんかそれに
[00:59:56] 私たちは最強の火力と最強の盾じゃない
[01:00:00] ですかそんな2人が力を合わせたら無敵だ
[01:00:05] と思いません
[01:00:07] かああすみません最強の盾じゃなかったん
[01:00:13] です
[01:00:14] ね私は間違いなく最強の火力なの
[01:00:21] に仕方ないです
[01:00:23] ねするがありませんそうよ
[01:00:30] はい私は最強の盾よはあそうでしたか
[01:00:37] 私私自慢してみたいあいつらにですよね
[01:00:45] 行くよメガあいつを引きずりおろそう最強
[01:00:50] の盾と最強の火力ではい
[01:01:00] あと少しです早く穴を開けて
[01:01:06] [音楽]
[01:01:12] 火力どういて私が先に入るから中に何が
[01:01:17] あるかわからないでしょうはいお願いし
[01:01:21] ます
[01:01:26] [音楽]
[01:01:36] [拍手]
[01:01:38] うわ
[01:01:40] 落ちる
[01:01:43] [音楽]
[01:01:44] うわ盾盾で
[01:01:47] 着地これは本当に思いもよらぬ戦術ですね
[01:02:01] しし死ぬかと思っ
[01:02:04] たお前の部下は頭のおかしないや無謀な
[01:02:09] ことをよくやる
[01:02:13] なちょっとどっか行くなら行くって
[01:02:16] ちゃんと言ってよねいく荒らそう事態でし
[01:02:20] た
[01:02:21] からだからって怪我は眼鏡にちょっと傷が
[01:02:29] そうマザーホエルのコドが下がっています
[01:02:33] 先ほどの作戦により推進装置の一部が壊れ
[01:02:37] ました墜落中ですあっけないものですね
[01:02:42] 墜落予想地点はマーキングします行き
[01:02:46] ましょうハナーにも連絡し
[01:02:49] [拍手]
[01:02:53] ますまあ
[01:02:57] 私は待機しろと命じたはずだ
[01:03:01] うん
[01:03:05] あよくやった作戦に問題が起きた場合は今
[01:03:10] のように自分の判断で動く癖をつけろはい
[01:03:14] 言われなくても分かってますけども私には
[01:03:19] ああいうのしてくれないんですか
[01:03:26] どういたしまし
[01:03:30] [音楽]
[01:03:33] てマザーホエールホバリングモードに
[01:03:36] 転換うん最後の悪あがきに近いですねここ
[01:03:42] で捉える本当に大きいわね口の中に入れば
[01:03:48] もっと簡単に捕獲できるんじゃありません
[01:03:51] か私は遠慮しとく官準備完了
[01:03:59] です
[01:04:00] ラジャ
[01:04:04] [音楽]
[01:04:08] エンカウンター状況終了マザーホエル撃墜
[01:04:12] を確認できまし
[01:04:15] たこれも全て私とノアのおかげだって
[01:04:19] 分かってますかそれはよく分かってるわで
[01:04:24] もどうやってやったの
[01:04:26] こんな大きなものを落とすなんて中で一体
[01:04:30] 何をそれは
[01:04:34] ね2人だけの秘密だよ
[01:04:39] ははは全然わからないでしょうどんな手を
[01:04:43] 使ったのか分からなくてやきもきする
[01:04:47] でしょうまあいいわその話はゆっっくり
[01:04:51] 聞くとしましょうさあそれじゃ
[01:04:56] ねえ
[01:04:57] 従者そろそろ教えてくれ
[01:04:59] ない突然マザーホエールを捕獲することに
[01:05:03] なったわけ
[01:05:08] よなんとも気の抜ける答えね
[01:05:13] ヨハこれからどうするつもり
[01:05:17] 戻ろうこのまま戻るのですか
[01:05:20] ああ好きになさい先に行ってるわゆっくり
[01:05:26] 戻ってきなさい待ってる
[01:05:32] ぞオ分かったわ
[01:05:36] ああ本当に大きいですね1人で持てますか
[01:05:41] やってみましょう指揮官様後で絶対教えて
[01:05:46] よね今私たちがこんなことをしてる理由
[01:05:53] をおらネオそっちも持って
[01:05:57] はい
[01:05:59] よいしょ
[01:06:01] と重いわあアニスすっごく力持ちですね
[01:06:09] ちょっとそっち持ってって言ったでしょ
[01:06:13] 持ってますよ全力で持ち上げなさいよ私も
[01:06:18] ベストを尽くしてますっ
[01:06:20] てネオ少しずれて私も一緒に持つわ
[01:06:29] はいどうぞこれがあなたの血で作った
[01:06:34] アンチェインド団
[01:06:37] です予想通りマザーホエールのコアは多数
[01:06:42] の人間の細胞と融合していましたまたこれ
[01:06:47] も予想通りあなたの血と合成する家庭で
[01:06:51] アンチェインドの成分は少しも失われませ
[01:06:54] んでした
[01:06:56] おそらく現時点で作成できる最も完璧な
[01:06:59] アンチェインドダ
[01:07:03] でしょうヨハがドアの外で待っています
[01:07:07] 頑張ってください戦って2発とも手にする
[01:07:11] か仲良く分け合う
[01:07:14] か
[01:07:16] あアンチェインド研究所で発見した弾丸と
[01:07:20] 今回作った弾丸を比べてみました度の差が
[01:07:25] です研究所で発見したものを10とすると
[01:07:30] あなたのものは100いやそれ以上の濃度
[01:07:36] です少なくともヘレティックには決定だを
[01:07:41] ニケには完全な自由を与えられるでしょう
[01:07:44] 念のために言っておきますがあなたの血を
[01:07:47] 2にかけたりしないでくださいねとてつも
[01:07:51] ない濃度ですから何が起きるかわかりませ
[01:07:54] ん運が良ければうまくいくかもしれません
[01:07:58] がまかり間違えば最悪の事態もありえます
[01:08:03] [音楽]
[01:08:05] からはいお疲れ様でし
[01:08:10] [音楽]
[01:08:13] た手に入れた
[01:08:16] か2発
[01:08:21] [音楽]
[01:08:22] か2発とも渡せと言ったら
[01:08:29] [音楽]
[01:08:34] ありがたく使わせてもらおうアークに戻る
[01:08:37] の
[01:08:40] かここで研究した方がいいと
[01:08:51] 思う
[01:08:53] 力権力のことを言ってる
[01:08:57] [音楽]
[01:09:00] そんなものに興味があるとは思わなかった
[01:09:05] [音楽]
[01:09:11] [音楽]
[01:09:18] な
[01:09:20] ああしかしニヒスターは今身を隠している
[01:09:23] はずだ
[01:09:25] 時間はかかるだろう
[01:09:27] [音楽]
[01:09:29] なたけたこともう
[01:09:33] [音楽]
[01:09:37] 戻れ揮官様荷作りは終わったよいつでも
[01:09:42] 出発できますでも私たちこのまま手で帰っ
[01:09:47] ていいんです
[01:09:50] か
[01:09:52] あ何これ
[01:09:55] 宝石みたいです
[01:09:57] ねもしかして私にくれるんですか宝石団式
[01:10:03] 官もしかしてこれ
[01:10:07] は
[01:10:09] アンチェインド
[01:10:11] えなんてアンチェインドって言ってました
[01:10:15] よそれは分かってるわよ本当にこれが突然
[01:10:21] どこから出てきた
[01:10:23] のうん
[01:10:26] うんよくわかったわ教える気がないのね
[01:10:31] とにかくここまで来たのは無駄骨じゃ
[01:10:34] なかったってことね少しだけ軽い足取りで
[01:10:38] 帰れそうです
[01:10:41] ね
[01:10:44] ラジャ白場
[01:10:46] ね挨拶もせずに帰るつもりだったの愛しい
[01:10:51] あなたもう少し滞在されては
[01:10:58] あそうです
[01:11:00] かでは私はまたいつものようにあなたをお
[01:11:06] 待ちしております嘘つかないでよすぐ
[01:11:10] ストーカーになるくせにそれでここまで来
[01:11:14] た目的は達成できた
[01:11:20] の嬉しいことを言ってくれるのねさあ行き
[01:11:26] なさいパピオンという子はドロシーと一緒
[01:11:29] にいるから迎えに行くといいわ分かった
[01:11:33] また会いましょう元気だ
[01:11:38] ねねえ
[01:11:40] メガネ
[01:11:41] んまた来るよ
[01:11:45] ねもちろんですまた遊びに来ますよ
[01:11:53] [音楽]
[01:11:58] パピオン様はエデンに残ることになりまし
[01:12:02] たここが気に入ったよう
[01:12:06] ですそういう
[01:12:10] こと見た目によらず汚い手を使うのね汚い
[01:12:15] 手だ
[01:12:16] なんて当然のことだと思いますが望みは
[01:12:22] 沈黙そして秘密
[01:12:26] 何の秘密それは今度教えてあげますね
[01:12:32] パピオバーニンガム福司令官には何て
[01:12:36] [音楽]
[01:12:38] 伝える任務遂行中って伝えて
[01:12:43] ラジ
[01:12:44] あなたドロシーって言ったわよね私たち似
[01:12:50] たような立場でしょそれなのにこんなこと
[01:12:53] するなんて覚えときなさいよわかりまし
[01:12:59] た行きましょう志
[01:13:01] [音楽]
[01:13:06] 官パピオンは人質ですここで見たことを1
[01:13:10] つでも外部に漏らした場合パピオンは殺さ
[01:13:14] れ
[01:13:16] ますそしてドロシーはアークの情報を望ん
[01:13:20] でいます詳しいことはまだ分かりませんが
[01:13:27] はいおそらく頭が切れるタイプなので
[01:13:31] 大きな問題はないでしょうドロシーも情報
[01:13:34] が欲しいでしょうから危害は加えないもの
[01:13:37] と見られます行きましょうひまアークに
[01:13:41] 戻らないと何もできませ
[01:13:45] んエデン側からすれば正当な行動ですここ
[01:13:50] の秘密は守らなければなりませんから彼ら
[01:13:54] が動したとは思いませんが暗黙の了解なの
[01:13:58] でしょうずっとここでくすぶってるわけに
[01:14:01] はいかないわひとまず帰り
[01:14:07] ましょう
[01:14:11] ふいい方たちですねあなたのことをあんな
[01:14:16] に心配してくれて他のたみがあって残った
[01:14:20] と知ったらあの方たちはどんな顔をする
[01:14:24] でしょうか
[01:14:26] そうねいい子たちだわあなたや私みたいな
[01:14:31] のとは釣り合わない子たちよ
[01:14:35] ふそれでは話を続けましょうかどこまで
[01:14:40] 話したっ
[01:14:42] けそれをまた私の口から言わせるつもり
[01:14:46] ですか何回聞いても悪くない内容だったん
[01:14:50] だもの私をアークへ連れて行ってください
[01:14:55] VIPとしてそうしたとして私のメリット
[01:15:01] は地上を彷徨うピルグリムの1人をアーク
[01:15:06] へ連れてきたこれだけの鉱石では足りませ
[01:15:10] ん
[01:15:11] か十分ねじゃああなたを迎えることで
[01:15:17] アークが手にするものは彼らが常に気にし
[01:15:22] てきたことずんできた
[01:15:26] 人かけらも手に入らなかったものエデンの
[01:15:30] 全てを差し上げ
[01:15:33] [音楽]
[01:15:37] ましょう
[01:15:38] [音楽]
[01:15:41] わあ懐かしい我が家私の故郷心やすらぐ
[01:15:47] 場所そして私を癒してくれる神秘の水炭酸
[01:15:54] 歳
[01:15:57] かあ生きてるって
[01:16:00] 感じちょっと静かにしてくれません勉強し
[01:16:05] なくちゃいけないんです何の
[01:16:08] 勉強新型武器の発表会の生中継を見るん
[01:16:12] です火力学を先行するものとしてこれは
[01:16:16] 見逃せませんそんな学問もあったのねうん
[01:16:21] あるに決まってます
[01:16:26] あれテレビが映りませんよ叩いてみて
[01:16:32] わあそれって一体いつの時代の直し方です
[01:16:36] か古いテレビだから映らないんでしょ私は
[01:16:41] テトラコネクトでも見ながらちょっと
[01:16:46] 休もうちょっとどうして映らない
[01:16:52] の官
[01:16:56] 復帰の報告も兼ねてシフティに連絡を入れ
[01:16:59] たのですが繋がりませ
[01:17:04] ん他のルートも試してみましたが全てダメ
[01:17:10] ですアークと連絡がつきません何をどう
[01:17:15] なってるのアークに何かあったのでしょう
[01:17:21] かラジ
[01:17:26] [音楽]
[01:17:39] [音楽]
[01:17:43] パトロールの結果特に変わった点はあり
[01:17:45] ませんよ帰宅しますねパリー
[01:17:56] ミランダの方もパトロール終わりました
[01:17:59] かはい何の問題もありませんじゃあ一緒に
[01:18:04] 帰りましょうかはでは帰りにアメリカン
[01:18:07] ドッグを食べてもいいでしょうかういい
[01:18:11] です
[01:18:15] [音楽]
[01:18:23] よれにしても今日は本当に静かですねはい
[01:18:29] 防衛線勝利記念のイベントがあってみんな
[01:18:32] そっちに行ってるはずです
[01:18:34] よだからパトロールも楽でしたあんまり
[01:18:38] 油断しちゃだめですよ犯罪っていうのは人
[01:18:41] が少ない時にこそ起こるものですからねは
[01:18:45] その通りです忘れていましたまあミランダ
[01:18:49] がそうやって大声を出し続ければ犯罪者も
[01:18:52] 驚いて逃げるでしょうけど
[01:18:55] そうですかではもっと大で叫びますその
[01:18:59] 必要は
[01:19:18] りポリー私が叫んだから空が崩れたのです
[01:19:22] かミランダそんなはずないです
[01:19:26] よではどうして突然虎が崩れ
[01:19:34] うランチャー発見対応します
[01:19:46] よポポリーここれ
[01:19:51] ははい落ち着いてくださいよ分かってい
[01:19:55] ますがはアークですよねここ
[01:20:19] は緊急態緊急態アクミラプチャー
[01:20:23] 襲撃解します緊急事態緊急事態ア
[01:20:27] ラプチャー
[01:20:43] [音楽]
[01:20:51] 襲撃が
[01:20:57] ミランダしっかりしてください
[01:21:01] [音楽]
[01:21:23] よH
[01:21:26] [音楽]
