# NIKKE 第39章 转录
视频ID: n1YLOO7pJJU
[00:49:59] 指揮官率早率直に申し上げます。今最も
[00:50:03] 重要な問題はフォースの追跡ではありませ
[00:50:06] ん。急ぎアークに戻り精密検査を受けて
[00:50:10] ください
[00:50:14] が
[00:50:17] 旦那、そんなに傷の治りが早いのは昔から
[00:50:23] ですか?
[00:50:31] 生まれは
[00:50:34] 何か病にかかったことは答えは
[00:50:49] 待って。それ以上近づかないで。
[00:50:52] いえ、機害を加えるつもりはありません。私はただ旦那に問題がないか確認を。
[00:51:02] そういう意味じゃないわ。
[00:51:04] 他に理由があるの?すぐに綺麗にするから
[00:51:08] 少し待って。ん?
[00:51:14] まさか
[00:51:16] アンチェインの
[00:51:21] 旦那な。旦那は
[00:51:25] 何番目ですか?
[00:51:30] いや、違う。そうですね。
[00:51:34] 何号ですかもしや知らない?いや、違う。迂闊だったか。あ、始まっていたのか。しかしなぜは性化していないはず。
[00:52:03] 飲酒を狩るものが黙っているはずが
[00:52:21] 何ー
[00:52:23] が撃ったの?空に向かった。
[00:52:27] ベティスパスターよりもずっと大きい。
[00:52:31] 豪華の花火か。ふん。無駄遣いだな。
[00:52:36] あの法学はエデンの槍り。これは一体デビ、あれ見て。
[00:52:49] 見えてるって何?あれ誰の仕業?えっと、私に聞いた。
[00:53:00] わかんないけどあんたに聞いたんじゃなくて
[00:53:05] じゃあ俺に聞いたのかな?俺にもさっぱりだ。
[00:53:10] あんたにも聞いてない。すごく大きいよ。あんなの打てるラプチャーがいるの?こんなものをぶっ放すなんてヘレティックでも簡単じゃない。
[00:53:25] わかんないことばっかり確かめないとい言ってる。へ
[00:53:34] 考えてみたら私たってここにいなきゃいけない理由ないよね。ベヒモスを連れて帰ろ。それからあれが何か調べに行こうよ。
[00:53:48] もう行くのかい?残念だな。まだ見せたいものがたくさんあったのに。
[00:53:54] どうかな?俺とラプチャーは友達に見えたかい?うん。
[00:54:02] 黙ってなさい、バカ。あ、う、うん。
[00:54:08] それは良かった。お別れは残念だけど、今日の出会いが君たちのいい未来につがるよう願っているよ。じゃあ、帰り道に。おっと、行けない。
[00:54:21] もう少しだけ時間をもらえるかな。もう
[00:54:25] 1つだけ紹介しておきたいんだ。
[00:54:28] 何?
[00:54:30] 俺の友達さ。
[00:54:32] 友達?どうせ別のラプチャーでしょ。
[00:54:37] ラプチャーじゃないけど俺の大切な友達だよ。どうしても会ってほしいんだ。俺に時間をくれないかな?
[00:54:46] めんどくさそうねえ。
[00:54:49] ど、どうして?私は気になるなあ。あ、で、でもレビーが嫌なら仕方ないよね。でもやっぱり気になるよね。プチリオの友達ってことはすごい変な人じゃないねえ。
[00:55:11] え、う、本当に会わないの?
[00:55:18] 分かった。会えばいいんでしょ、
[00:55:23] デビ大き。
[00:55:26] さっさと案内して。
[00:55:30] 今日は本当に最高の日だ。
[00:55:43] 久しぶりね。ヤッホー。
[00:55:48] こんにちは。お元気でしたか?まあね。でも良かったです。生きていたんですね。
[00:55:59] そうね。おかげでも夢中になっちゃった。
[00:56:04] ん、宝でハンターに
[00:56:08] 1人。
[00:56:09] 師匠とラピは地上に出てますし、アニスはパワーアップの準備中です。
[00:56:15] 噂には聞いてたけどアニスって本当にアイドルだったんだね。全然想像できない。
[00:56:27] 実物を見れば信じるしかなくなります。
[00:56:30] そうなの?絶対見に行かなきゃ。
[00:56:35] え?アウターリムから出られるんですか?冗談。行ってみただけ。私もジャッカルも許可がないと出られないの。アイドルのライブを見に行きたいなんて通るわけないでしょ。まあ、それはそうでしょうね。
[00:56:56] 不満はないんですか?
[00:56:58] 全然。アウターリムは走り回るところがいっぱいあるから楽しいよ。何かを壊したぐらいで
[00:57:05] ACPUに追いかけられないし。
[00:57:08] まあね、まそうかわからないけど。
[00:57:13] あの見張ってる奴らのせい私が噛みついちゃおっか。
[00:57:17] やめて。バラバラにされちゃうでしょ。
[00:57:22] うー。あいつら嫌い。
[00:57:24] じろじろ見てくるから嫌。
[00:57:26] ん?何の話ですか?後で見せてあげる。それで本題に入るけど派手に遊び回っているというプロデューサー県作曲家について何かご存知ありませんかけ?
[00:57:46] はい。アウターリムの有教施設で消を立っているそうです。
[00:57:52] 有教施設って何?
[00:57:55] 大配的な場所ですね。
[00:57:57] 大配的って秘密がいっぱいある場所ってことね。
[00:58:03] わあ、じゃあ秘密を探しに行くの?
[00:58:07] そうなるかも。
[00:58:09] 面白そう。
[00:58:11] 範囲が広すぎるかと思ったけど最低限の情報があるから絞り込めそう。
[00:58:18] とりあえず歩きながら話しましょう。紹介したい人もいるし。
[00:58:24] え、行きましょう。作曲家県プロデューサーなら名前はそれなりに通ってるでしょ。だったら行きそうな場所はあそこしかないかな。バッドリーム。アウターリムで
[00:58:43] 1番賑やかな感落街ね。
[00:58:47] ほほ。うん。
[00:58:49] そこって何が
[00:58:51] 1番多いと思う?
[00:58:54] えっと、何でしょう?お酒。
[00:58:58] アークの偉い人。名前を聞けば分かるような人たちが平気な顔で出理してるの。お、よく知ってると思うけど、アウターリムって無法自体でしょ。
[00:59:15] 刺激を求めるどうしようもない人たちが
[00:59:19] バッドリームに集まるってわけ。ルール
[00:59:23] 無用のやりたい放題
[00:59:25] 。あなたが探してる人も多分そこにいるん
[00:59:30] じゃない。危険じゃないんですか?よく
[00:59:34] あるアウターリムのイメージとは全然違う
[00:59:38] 場所なの。VIPがお客様だから秘密は
[00:59:43] 当然治安も
[00:59:48] 変な話だけどアーク以上じゃない?もう
[00:59:54] 順調に行かない可能性がありますね。なん
[00:59:58] でそう思ったの?そんな場所で探りを
[01:00:01] 入れようとすれば警戒されるでしょう。
[01:00:04] うん。正解。
[01:00:07] 前も思ったけど、意外と鋭いね。眼鏡キャラはそういうものです。バッドリームに人が来る理由は刺激を求めてってのもあるけど、それ以上に秘密が徹底して守られる場所だから中でどれだけ汚い欲望を向き出しにしても絶対に外に漏れたりしない。
[01:00:36] そういう場所に飛び込んでこの人知りませんかって聞くこと自体がなんていうか真正面から喧嘩を売る感じ。
[01:00:48] エキゾチックならアウターリムでは一目置かれているでしょう。それでもですか?
[01:00:54] やり用はあるよ。エキゾチックっていうのもあるけどちょっとした骨があるの。
[01:01:02] 連絡はしておいたから合流して仕事を始めましょう。バレたら困るけどバレなきゃ大丈夫。
[01:01:12] 本当に大丈夫なんですか?
[01:01:15] いざって時の特殊別動体でしょ?
[01:01:19] いえ、私ではなくエキゾチックのことです。
[01:01:23] 裏通りの暗黙の了解って言うんですか?そういうものを破ってしまったら私たちの心配大丈夫。今はエキゾチックの権限も強くなってるから。
[01:01:39] そうなんですか。
[01:01:41] うん。
[01:01:42] 元々はアウターリムの情報集めがメインの
[01:01:46] 仕事だったんだけど、今はアウターリムを
[01:01:50] 安定させるために活動してるの。だから
[01:01:55] できることも増えてるってわけ。
[01:02:01] ただしアウターリムの中だけね。じゃあ
[01:02:07] 行こっか。はい、よろしくお願いします。
[01:02:11] 私たちだけは来ないの?
[01:02:14] 隊調すっごい頭いいのに。
[01:02:17] もちろん合流するよ。体調
[01:02:21] ん。バイパーが隊調になったのでは?
[01:02:27] はれ。
[01:02:29] まさか。
[01:02:31] それも違うから心配しないで。新しいリーダーがいるの。
[01:02:45] 実際に会うのは初めてね。エキゾチックのリーダー
[01:02:50] eh団。あなたはカウンターズのネオン。違った。
[01:02:58] まあ、その通りですが、あの、こちらの方ってエンターヘブンのリーダーだった方では?
[01:03:08] そうだよ。
[01:03:11] 2件になったんですか?
[01:03:14] ええ、イングリットにそう頼んだの。
[01:03:21] なぜです?
[01:03:26] エキゾチックのリーダーってテロリストしかなれない決まりでもあるんですか?ネオン純粋な疑問です。
[01:03:35] 私がエキゾチックのリーダーになった理由は簡単な話。アウターリムに誰よりも詳しいから。
[01:03:44] それから2家になった理由は
[01:03:50] 罪を償うため。
[01:03:54] テロという行為が
[01:03:56] どれほどイむべきものか思い知らされたの
[01:03:59] 。アウターリムの生存権を盾にとって私は
[01:04:05] 弱者のためと目を塞ぎ、それが正しいこと
[01:04:10] だと思い込んで耳を塞いでいた。
[01:04:14] 暴力に頼ることもやを得ない。そう自分に
[01:04:18] 言い聞かせた朝墓な考えだったということ
[01:04:22] が
[01:04:24] その結果を見て分かった。私は本当に
[01:04:29] 恐るべきことをしてしまった。そう気づい
[01:04:33] た時には
[01:04:35] 命が突きかけていた。だから
[01:04:39] 2家にして欲しいと頼んだんだ。
[01:04:42] どうにかして罪を償うために
[01:04:46] 具体的には
[01:04:48] 2
[01:04:48] 度とあんな悲劇を起こさせない。そして犠牲となった人々のためにできることがあれば何でもする。
[01:04:58] いつまで?
[01:05:00] 永遠に。
[01:05:03] バイパーは罪を償うつもりはあるんですか?何?急にどうしたの?
[01:05:15] アークで大事件を起こした方たちと一緒に動こうというわけですから、これからどうするつもりかぐらいは聞いておきたいんです。
[01:05:24] そっちからの依頼でしょ。
[01:05:27] 折り込み済みできたんじゃないの?
[01:05:29] 正直に言えばアンダーワールドクイーンに依頼した方が話は早かったと思います。それでもあえてこちらに依頼を出したのは皆さんが今どうしているのか確かめておきたかったからです。
[01:05:47] 何にも考えてないって言ったらこのまま帰ってずっと疑い続けることになります。
[01:05:54] エキゾチックの皆さんを行意的には見られ
[01:05:57] ません。師匠やラピ、アニスも同じ考え
[01:06:02] でしょう。私たち自身裏切られたことが
[01:06:05] ある上にアークに穴を開けた件もあります
[01:06:08] から随分大変な目に合わされました。処罰
[01:06:13] が下ったとは聞いていますが、それだけで
[01:06:16] 納得できる話ではありません。
[01:06:18] じゃあネオンは私たちがどんなバツを受けたら納得するって言うの?
[01:06:25] 納得などしません。永久に。アウターリムの外に出られない。首輪をつけられている。それぐらいで水に流せはしません。だから聞いているのです。あなたが今何を考えてエキゾチックの任務についているのか。
[01:06:48] 好きになってもらいたいだけ。
[01:06:51] はい。
[01:06:52] クローの計画に乗ったのは自分だし、アークにはとんでもないことをした。あなたたちにひどいことをしたのも否定仕様がないでしょ。だからびっくりしたの。
[01:07:06] 連絡をもらった時、手伝うって決めたのは
[01:07:11] エキゾチックの任務っていうのもあるけど
[01:07:13] 、
[01:07:15] 申し訳ないって思ってるから随分迷惑かけ
[01:07:19] ちゃったでしょう。償い方については何も
[01:07:23] 言わないんですね。つぐな。
[01:07:29] どうすればいいかわかんないもん。言った
[01:07:33] でしょ。気になってもらいたいって。私は
[01:07:37] ただあなたたちに好かれたいだけ。
[01:07:42] ダーリンには特にね、チャンスを探して
[01:07:46] たらこの話が来たの。アークにしたことに
[01:07:50] 対する罪悪感はないんですか?うん。
[01:07:54] 1回くらいは穴を開けとくべきだったん
[01:07:57] じゃない?バイパー。冗談冗談。
[01:08:05] ねえ、ネオン教えてくれない?罪を償う
[01:08:10] 方法知りませんでしょ?私も知らない。だ
[01:08:17] から手伝うの。よくわからないけど、
[01:08:21] あなたたちは正しかったみたいだから一緒
[01:08:24] にいれば償う方法も分かるかも。ついでに
[01:08:30] アピールもできるしね。
[01:08:35] わかりました。見届けましょう。
[01:08:38] ん?
[01:08:40] ジャッカル。
[01:08:41] お、
[01:08:42] 何?
[01:08:44] いえ、ちょっと呼んでみただけです。
[01:08:48] ネオン退屈なの?おやつのレがいる?
[01:08:52] 気持ちだけ受け取っておきます。わかりました。力を貸してください。エキゾチックの皆さん。
[01:09:04] それとは別に気になったことがあるのですが、エキゾチックの権限は大幅に強化されたんですよね。
[01:09:13] うん。そうだけど、
[01:09:15] それってアウターリムでの影響力もさらに増したってことですよね。
[01:09:21] もちろん。
[01:09:23] また皆さんがテロを計画したら全以上の大問題が起きるのでは?人も物資も以前より簡単に集まるということですから。
[01:09:36] その心配はいらない。
[01:09:38] なぜですか?心を改めたから。
[01:09:42] 正確に言えばもうそんなことはできないから。行き先はバッドドリームでしょう。道中で見られるアウターリムの現状が。
[01:10:01] あれをあの
[01:10:08] 2人エニックにそっくりですね。
[01:10:11] うえ、あいつら嫌い。
[01:10:14] エンドレス、そしてエタニティ、エニックが直接アウターリムに送り込んできたニ家だ。
[01:10:23] エニックが。
[01:10:25] そう、テロ事件が起きた原因はアウターリムにあると考えて監視役を送ってきたらしい。
[01:10:34] 挨拶した方がいいでしょうか?
[01:10:37] やめておいた方がいい。近づきすぎれば攻撃される。それで
[01:10:43] 5人殺された。
[01:10:45] はい。
[01:10:46] あいつらつの間にかアウターリムにいたの。
[01:10:51] 私たちにもアウターリムに2家が2体超
[01:10:56] 配置されるって情報しか来なくていきなり
[01:11:00] 現れてあそこにいってるんだよ。何も言わ
[01:11:05] ないし仕事する時以外ずっとあんな感じ。
[01:11:11] 仕事というのは
[01:11:13] 武装してるとかテロにつがりそうな動きを誰かが見せたらいつの間にかそこにいて消されるの。
[01:11:24] 攻撃してくるのですか?ニ家が。
[01:11:27] うん。相手も選ばない。人間も家も関係なし。
[01:11:33] どういう武器かも分かっていない。光って。あとは文字通り何も残らない。
[01:11:41] 超高熱の何かだろうとは予測できるが、それだけ
[01:11:47] すると私たちも危険なのでは武装してますよね。
[01:11:54] あいつらが仕事をするのはアークに敵体的な言動をした時だけだ。
[01:12:01] なんとまさか独身術が使えるんですか?
[01:12:05] 盗み聞きしてるの。
[01:12:07] アウターリム全体をね。
[01:12:11] あまりにも耳が良すぎませんか?直接聞いてはいないと思うけど、アウターリムのあちこ地に盗聴機が仕掛けてあって、それを聞いてるって感じかな。
[01:12:28] それでも無理があるのでは?
[01:12:30] 2
[01:12:30] 人で全てを聞くなんて。それこそ寝る時間もなくなりそうです。
[01:12:36] あいつらが2家かどうかも疑わしい
[01:12:40] 正体不明の武器に問題が起きた場所にいつ
[01:12:44] の間にかいる動きの速さ、それからアーク
[01:12:48] に敵退しうる武装集団だけを選別する能力
[01:12:52] もあらゆる面で人間どころか2家さえ超え
[01:12:58] た能力だ。睡眠や会話をする様子も見た
[01:13:02] ものはいない。
[01:13:03] するにあいつらはエニックに似ている。
[01:13:07] うん。確かにそうですね。あいつらが来てからエンターヘブンはどうなったと思う?
[01:13:17] えっと、相変わらず熱心にテロ活動を頑張ってるとかはんだ死んじゃったの?生き残ってるのは少しだけ。
[01:13:29] はい。
[01:13:30] あいつらにやられたの。リーダーがいなく
[01:13:34] なったエンターヘブンじゃ戦いにもなら
[01:13:37] ないし。まあいても変わらなかったと思う
[01:13:41] けど全部終わるまで
[01:13:45] 1週間もかからなかったかな。生きてるの
[01:13:49] はEHの説得に耳を貸して武器を捨てて
[01:13:54] テロ活動をやめた一部の人たちだけ。
[01:14:02] 面白いけど
[01:14:04] 1
[01:14:04] 番ムかつくのはね、あいつら本当にそれしかしないも。アークの外になりそうなものを消す。それだけ。
[01:14:17] あいつらを見てアウターリムの中にはついに中央政府がアウターリムを保護する気になったと喜ぶものもた。
[01:14:27] 一見すれば治安が強化されたとも言える。
[01:14:32] 生活水準も上がり、人間らしい生活が
[01:14:36] できると期待を抱くものもいた。でも
[01:14:41] あいつらはただ処理をするだけ。
[01:14:44] アウターリムの中で誰が死んでも殺されて
[01:14:48] も争いが起きてもアークへの害にならない
[01:14:53] と判断すれば少しも動こうとしない。
[01:14:59] エックらしい。よくも悪くも今のアウターリムはアークに対して何もできない。
[01:15:09] 私たちの権限を強くしたところで怖くもないということ。今のアークはアウターリムを恐れる必要がない。かつてないほど脅威にならなくなった。
[01:15:26] アークにとって危険そうなものは
[01:15:29] あいつらが全て片付ける。我々
[01:15:32] エキゾチックはアウターリムの住民が
[01:15:36] 皆殺しにされないように抑制する。表向き
[01:15:41] は悪くなさそうにも見えるが
[01:15:44] これは
[01:15:45] アウターリムが正式にアークのゴミ箱に
[01:15:49] なったってこと。何も言えないゴミ箱にね
[01:15:54] 。
[01:15:57] それをどうにかするのが私たちだ。行こう。バットドリームまであと少しだ。
[01:16:12] あとちょっと見えるでしょ。おあ、遠くからでもここからが陥落街ですって主張してますね。
[01:16:23] はでしょ。でも見せてるっていうより脅しに近いかな。ここから先はバッドリームだから調子に乗るなよって。
[01:16:38] やっぱり闇の組織みたいなものが背後にいるんですよね。
[01:16:42] 当然ヘッドニアとか生命界とかほどじゃないけどそれなりにね。じゃあ行こっか。
[01:16:52] 中に入るのは久しぶり。
[01:16:56] あそこ嫌い。うるさいし眩しいし。でも行かなきゃ足方でしょ。
[01:17:04] うん。でもこの間みたいに意地悪されたら噛みついてやるから。
[01:17:10] うん。死なないぐらいにしてね。
[01:17:14] ネオ
[01:17:16] 何でしょう?
[01:17:17] 今しか話す機会がなさそうだから少し時間をもらえる?
[01:17:23] おお、断ですか?
[01:17:26] そんなところ
[01:17:28] 私がスパイだとよく見抜きましたね。
[01:17:31] 何な?
[01:17:33] 2人で内緒話?
[01:17:38] こっちへもう少し。
[01:17:46] 何の音です?
[01:17:48] 盗場帽子用のジャミング。長引けば勘づかれるけど、短時間なら問題ない。
[01:17:57] 世間話の時間はなさそうですね。聞かせていただきましょうか?私のスパイマン族度が上がるようなドッキドキの秘密なんでしょう。
[01:18:07] 第3次地上奪戦について聞いていることは
[01:18:14] はい。
[01:18:15] 第3
[01:18:16] 次地上奪戦について何か知らないかと聞いた。
[01:18:22] いえ、初めて聞きますね。
[01:18:25] そう分かった。話はここまでに。
[01:18:30] ままままま待ってください。
[01:18:32] そんな思わせぶりな話をしておいてこれで終わりですか?
[01:18:37] 何も知らないならこれ以上話すこともない。
[01:18:41] 私なら師匠の耳に直接伝えられますよ。かなり重要そうな話ですし、何も聞かずには帰れません。
[01:18:52] 分かった。特殊別道隊の名前を信用する。
[01:18:59] ただしあの指揮官が何か知っていたら共有すると約束して。
[01:19:06] もちろんです。
[01:19:08] 中央政府が第
[01:19:10] 3
[01:19:11] 次地上奪還戦の準備を進めているという噂がある。ただの噂話だと思っていたけど最近どうも動きが怪しい。装備やの上の生産業が数十倍に増えてる。
[01:19:28] 中央政府直下の施設に限られるらしいけど、懸念事故には間違いないから。
[01:19:35] えっと、単純に装備更新のタイミングなどでは
[01:19:41] 私も単なる物量の問題かと考えた。でも生産されているのは旧式のものじゃない。技術水準を何世代分も更新したようなものが作られているらしい。
[01:19:56] 詳しくは分からないけど、技術上の得意的な大発見があったか、どこかから技術を手に入れてきたか。
[01:20:06] それでは単に新技術が発見されてウキウきで新型を作ってるだけでは
[01:20:14] 現状の装備に大きな問題は出ていない。あえて新しい装備を兵器に変える理由がない。
[01:20:22] それに
[01:20:24] 今のアークは建設以降の歴史の中で最強の
[01:20:29] 戦力と技術を持っている。地上の一部がさ
[01:20:32] れて中屯地01と名付けられ強力な2家も
[01:20:37] 多数いる。さらには高学名彩という新技術
[01:20:41] に特殊隊
[01:20:44] という企画の戦力もある。えへん。
[01:20:48] 加えて
[01:20:50] E2
[01:20:51] クリスタルのダークマターという未知の新物質を手に入れた本格的な地上奪還戦を始めるのに今ほどの後奇はないとも言える。もしそうなら戦力の主熟になるであろう特殊別道隊は何か聞いているはず。
[01:21:11] ひとまず私は何も聞いてませんね。
[01:21:15] 分かった。
[01:21:17] あの式感に必ず伝えてほしい。事態の前貌さえ分かればアウターリムにもできることはある。
[01:21:25] 分かりました。必ず伝えて何かあったら共有します。ところでどうやってここまでの情報を
[01:21:34] 色々と情報がある。昔の縁と言ったところ。
[01:21:40] テロリスト仲間ですか?今すぐ通報しないといけませんね。
[01:21:45] そっちじゃない。言葉通り昔からの縁というだけ。
[01:21:52] うん。
[01:21:54] そろそろ戻らないと。また話そう。
[01:22:00] ここがバッドドリーム。陥落街ならアウターリムにいっぱいあるけどほとんどはすっごく危ない場所なんだよね。
[01:22:11] 何があっても外からは分からない。闇の中
[01:22:15] のさらに闇って感じ。そういう場所と比べ
[01:22:19] たらここは安全なの。だからってなんて
[01:22:25] いうか
[01:22:27] クオリティ
[01:22:28] が低いとかそういうわけじゃなくて言葉の
[01:22:34] 通り気持ちいいことなら何でもできる場所
[01:22:38] なのなければオーダーメイドできるぐらい
[01:22:43] アークでできる遊びなんて正直言ってここ
[01:22:46] と比べたらおままご事みたいなものね。
[01:22:52] 遊ぶのはやめといた方がいいと思うよ。
[01:22:56] 2
[01:22:56] 度と帰れなくなるから。言うまでもありません。私は健全ですから。これだけの完璧に近い陥落街が存在できるのは死会っていう大きな組織が単独で支配してるからね。
[01:23:16] ボスが中央政府に色々と盾を持ってる
[01:23:20] らしいの。トラブルが起きたらお互い困る
[01:23:24] から管理も徹底されてるし。そんな感じで
[01:23:30] アウターリムでは1番安全な場所かな。お
[01:23:34] 金さえあればだけど本当に目もくらむ
[01:23:39] ばかりですね。華やかな場所です。
[01:23:52] なんだか気分が。
[01:23:56] う、ここうるさいよ。
[01:23:59] ちょっとだけ我慢して。すぐ静かなとこに行くから。
[01:24:05] 連絡は
[01:24:06] ちょっと待って。
[01:24:10] えっと、
[01:24:13] AF104
[01:24:15] ランウェイに行けって。直接会うんじゃないんですか?
[01:24:20] 私たちと一緒にいたら疑われちゃうでしょう。距離を取って情報交換した方がお互い安全なの。じゃあすぐに行こっか。
[01:24:33] 探しているのはミセスミスと言ったか。
[01:24:38] はい。
[01:24:39] そう聞きました。どうかしました。あ様に偽名っぽいですか?
[01:24:48] まあ、
[01:24:50] Eって名前としてどう思います?
[01:24:56] 行こう。
[01:25:09] 休まないと久しぶりに本気出すとやっぱきついわ。
[01:25:16] 調子はどう?
[01:25:17] ああ、うん。マ
[01:25:20] はい。これ。
[01:25:22] お酸水ありがとう。
[01:25:25] おやつも持ってきたからお腹が空いたら食べて。
[01:25:29] 助かるわ。
[01:25:30] 不便なことはない。
[01:25:32] ないない。トレーニングルームを貸してくれるだけで大かりだし。
[01:25:38] ちょっと驚いちゃった。トレーニングルームが開いてたら貸してなんて急に言われたから。
[01:25:45] やっぱりごめんね。
[01:25:48] うん。どうせ今は使ってないし好きなだけ練習して。
[01:25:54] それにしてもすごいトレーニングルームね。
[01:25:59] 気がそれるようなものは一切置いてないし、練習に集中できるように外から余計な刺激を受けないようにしてるのね。それに壁の鏡はモニターにもなるんでしょ?すぐ確認できるように。
[01:26:15] へえ。気づいてくれた?
[01:26:18] まあね、私が練習してた場所はいつも散らかってたから。
[01:26:25] 本当にアイドルだったんだね。アニス。
[01:26:29] それ言われるのもだいぶ慣れてきたわ。ノイズこそ忙しいんじゃないの?
[01:26:35] 今は次のアルバムの準備中だから割と余裕があるの。練習はどう?
[01:26:42] うー、
[01:26:44] 久しぶりすぎてなかなか辛いかも。
[01:26:48] 覚えてはいるんだけど、体が思った通りに動いてくれないっていうか、動きに勢いがならないっていうか、ブランクが長いとこうなるってやつね。
[01:27:01] でも良かった。
[01:27:03] 何が
[01:27:05] 中途半端な気持ちじゃなさそうで。
[01:27:07] おお。
[01:27:09] 最初はそのつもりだったの。
[01:27:11] でもネオンに言われてね、練習の時私がキラキラしてたって。それで
[01:27:21] うん。言いたいことは分かるし、恥ずかしいなら言わないでいいよ。
[01:27:28] そうじゃないけど。
[01:27:30] いや、そういうことにしとく。レイディ。
[01:27:39] あれ?今日はライブじゃなかった?
[01:27:42] 終わって過ぎたところ少しぐらい休んだろ?
[01:27:47] カウンターズのメンバーが元アイドルでファイナルライブの練習中なんて見逃せないでしょう。
[01:27:54] ああ、
[01:27:55] ジャスキン足りてないものがないか確認しに来ただけ。
[01:28:00] 全部足りてる。ここを貸してもらえただけで本当に感謝してるから。
[01:28:06] ヘイ。
[01:28:07] スーパースターならもっと強気で星がいなさい。
[01:28:10] メジャーデビューもできなかったのよ。どこがスーパースターなのよ。エカウンター。
[01:28:19] お、
[01:28:21] 少なくとも2
[01:28:22] の中では誰もが知ってるスーパースターでしょ。欲しいものがあったら何でも言って。
[01:28:29] 何でも
[01:28:30] なんでもあんたにはその資格がある。
[01:28:34] じゃ、じゃあプロデューサーと作家作曲か振り付けしチーム用意してもらえる?
[01:28:46] おあ、
[01:28:50] なんちゃって言ってみただけ。
[01:28:53] うちのチームに連絡しておくね。
[01:28:56] ストップ。
[01:28:57] 私のチームを使うわ。
[01:28:59] 勝手に決めないでくれる?
[01:29:02] そっちこそあんたのチームはオールドすぎ。もう時代遅れだって。私のちょっと前の曲の方があなたの新曲より上だけど。
[01:29:14] トップを取った回数比べてみる。
[01:29:17] じゃ、あなたのチームのポートを持ってきて。私もうちのチームのを持ってくるから。
[01:29:24] オライ勝負ってことね。
[01:29:28] 選ぶのはアニス。それで公平でしょ?もちろん。
[01:29:33] え、本当にいいの?
[01:29:37] ああ、思いきってよかった。
[01:29:42] ま、こんな時に連絡なんて私も同時に。
[01:29:47] え、私もだけど。うん。
[01:31:10] てわけだからごめんね。
[01:31:13] もうああ、もう
[01:31:18] そ、それでもステージは確保できたでしょ。
[01:31:22] トレーニングルームも好きなだけ使ってずっと開けておくから。そっちも持っていかれたらもうできることがあ、キャッシュは?
[01:31:36] いや、気持ちだけ受け取っておくわ。
[01:31:40] それにしてもボスが出てくるなんて。あんたなんか罪でも犯かした?
[01:31:46] 罪そうかもね。
[01:31:53] 困ったことがあったらいつでも言って。そうそう。他のことで何か手伝えないか考えておくね。
[01:32:01] ああ。うん。ありがとう。
[01:32:04] 2人とも。
[01:32:05] じゃあ頑張って。頑張ってね。
[01:32:09] うん。
[01:32:10] あ、あんたがカムックするかもって結構噂になってたよ。
[01:32:16] ニュースに顔も出てたし、誰かを待ってるみたいな放送してたらしいし、かなり注目されてんじゃない?
[01:32:24] アイドル業界には詳しくないけど、あんた結構有名人だったんだね。
[01:32:29] 有名でしょうね。意味で
[01:32:34] 待ってくれてるファンがいるっていいことよ。後でチェックしてみたら。
[01:32:40] いい。そういうのはもう見ないことにしてるの。
[01:32:45] どうして
[01:32:46] アンチのコメントなんか見かけたら嫌だし。ディスられるのが嫌ならこの業界じゃやってけないね。アンチもファンのうち知らない。
[01:32:58] ちらっと見たけど行的な人が多かったと思うわ。見たらきっと勇気をもらえるはずよ。
[01:33:06] わかった。時間があればね。
[01:33:09] じゃ、今度こそもう行くからまたね。
[01:33:22] 不安だわ。私に任せてください。アニスは可愛くなる準備でもしておいてください。そうね。ネオンを信じないとなんとかなるわよね。他にできることもないし。
[01:33:43] 今は練習しなきゃ。とにかく体を仕上げ
[01:33:47] ないと。
[01:33:53] ここでこうう。足が上がらない。うい
[01:34:03] だめ。気にしちゃだめ。
[01:34:11] うーん。やっぱりダめね。
[01:34:20] ちらっと見たけど行意的な人が多かったと
[01:34:23] 思うわ。見たらきっと勇気をもらえるはず
[01:34:27] よ。
[01:34:30] お、
[01:34:32] だめだめ。
[01:34:40] ほんのちょっとだ
[01:34:42] オッケー。
[01:35:28] お
[01:35:56] う
[01:36:30] く
[01:36:49] お、あれ?ここどこ?気がつかれましたか?
[01:36:57] え?アービスタ、どうしてあなたが?
[01:37:01] いや、それよりここはどこ?
[01:37:05] リペアセンターです。
[01:37:07] だからなんで私がリペア戦闘に覚えていませんか?
[01:37:12] 練習してて。ちょっと休憩ついでに携帯を。
[01:37:28] あ、ありがとう。ごめんね。
[01:37:32] ちょっと食当たりかな?
[01:37:36] 無理せず休んでください。
[01:37:38] それでなんでリペアセンターなんかに来た時に記憶がないんだけどトレーニングルームの洗面所で倒れているところを清掃員の方が発見したのです。ビルの警備員
[01:37:52] 5
[01:37:53] 人係かりでペアセンターまで運ばれたよ。
[01:37:57] 皆さんヘトヘトになっておられましたが、先ほど回復して戻られました。
[01:38:03] そうだったの。精神的に相当お疲れのようです。しばらく安静にしてください。
[01:38:11] うん。大丈夫。練習しないともうすぐ形になりそうだから。
[01:38:22] あれ?どこに置いたっけ?携帯をお探しですか?
[01:38:30] ああ、うん。知らない。
[01:38:32] 私がお預かりしています。
[01:38:35] あ、ありがとう。返して。
[01:38:38] いいえ。
[01:38:39] う、
[01:38:41] 見てはいけません。
[01:38:42] どういうこと?冗談はいいから早く返して。
[01:38:48] なぜですか?
[01:38:49] なぜってネオンから連絡があるかもしれないし。それに
[01:38:55] 書き込みを見るためですか?
