# NIKKE 第32章 转录
视频ID: K1G6_6Qf6Io
[00:51:22] からクリスタルで覆った熱反応を確認攻撃
[00:51:28] 来ますガラスの靴
[00:51:31] が主人以外は攻撃されるクリスタルを
[00:51:36] 剥がさなければクリスタルに取り込まれ
[00:51:40] てるんでしょじゃあ手遅れなんじゃない
[00:51:43] ガラスの靴は怪我せないシンデレラと同じ
[00:51:48] だ怪我され
[00:51:50] ない絶対にじゃああいつのクリスタルを
[00:51:55] 剥がせばオってことねそう
[00:52:00] だあれはクリスタルで人形遊びをしている
[00:52:04] 相手は頼んだ私は棺の状態を確認する
[00:52:09] 分かったわ任せて
[00:52:15] [音楽]
[00:52:36] グレイブ終わった
[00:52:38] わ
[00:52:43] グレイブガラスの靴が靴じゃないじゃない
[00:52:48] ですかそう
[00:52:53] ね問題ないガラスの靴は怪我せない棺は
[00:52:59] 無事
[00:53:02] だハーモニーキューブの断片を取り込ませ
[00:53:05] たクリスタルでガラスの靴を操っていた
[00:53:08] ようねどうしてもこれを使いたかったよう
[00:53:11] に見えるわ自分で装備もできない武器
[00:53:15] なんてなんで欲がったんだろう象徴だから
[00:53:20] かもしれないわヘレティックにとっては
[00:53:23] 伝説の武器のようなものだろうから
[00:53:27] 道を飾っていたのも多分それが理由ね
[00:53:31] ななるほど
[00:53:41] あ何何の
[00:53:50] 音こんなに早くこっちに来てます
[00:54:06] くたばれこっちのセリフ
[00:54:15] だうんまずは頭からだな
[00:54:31] 官様
[00:54:42] 師匠何言ってるんですか止血しない
[00:54:52] と分かったわ
[00:54:57] ああしっかりい
[00:55:23] なさいうん
[00:55:29] お前らこれでおしまいだよ
[00:55:33] な切り札とかそういうの残ってねえよな男
[00:55:39] がやられた後はみんな固まっちまったし
[00:55:44] グレイブは棺の開け方教えてくれそうに
[00:55:48] ねえ
[00:55:52] しまったな
[00:55:58] 会ってみたかったんだけど
[00:56:01] なあ
[00:56:03] おなんだ
[00:56:06] これ軽くなっ
[00:56:14] てる
[00:56:16] はからっぽ
[00:56:28] こりゃいっぱい食わされたな食わせた私
[00:56:34] そういうの大嫌いでさ
[00:56:51] はあ
[00:56:53] へえまだ起きれんの
[00:56:57] うへ痛そうだ
[00:57:04] なあカず当てますシーケンス全省略衝撃で
[00:57:10] 即作動に
[00:57:12] 設定もう飽きたってこいつ
[00:57:24] は命中少し右上ね修正するわちょっと待っ
[00:57:31] てクリスタルで動かん体も使いよ
[00:57:35] か姿勢維持が楽だ時間制限があるのが欠点
[00:57:41] ねあと少し撃たせろやられた分は
[00:57:46] やり返すもちろん
[00:57:53] よめんどくせえ
[00:57:56] エビラ行きます
[00:58:02] 危ねえ
[00:58:09] あ
[00:58:11] 行けおおや
[00:58:17] べえこれだけ近ければアームは使えない
[00:58:22] でしょそりゃお前も同じだろううう
[00:58:37] 自爆笑ってる場合か
[00:58:45] よガラスの靴とリンク
[00:58:49] 完了シンデレラがやっと目覚める
[00:58:57] なぜ
[00:59:00] だ
[00:59:07] なぜ
[00:59:09] ちか
[00:59:11] 様
[00:59:13] ごめん勝てなかっ
[00:59:20] たお姉
[00:59:41] 何が間違っているボディもリンクも問題
[00:59:48] ないはず年という時間のせいか
[01:00:01] ご苦労さん大先輩を直してくれたみたいだ
[01:00:05] なじゃもらってくぜ
[01:00:31] シンデレラ
[01:00:33] 誰よう大
[01:00:39] 先輩大先輩なんだ記憶があっちに行ってん
[01:00:45] のあんたはアキオール最初のヘレティック
[01:00:50] だだから私
[01:00:53] のあしらの大先輩てわけアキオールそう
[01:01:00] そんな名前だった私の
[01:01:03] [音楽]
[01:01:05] 名前
[01:01:11] [音楽]
[01:01:20] お殴っ
[01:01:23] た殴られたのか
[01:01:26] 人間
[01:01:27] が私
[01:01:32] を認めるよお前すんげえ根性あるな惜しく
[01:01:39] なってき
[01:01:44] たお前ら
[01:01:47] さあたしらの仲間になん
[01:01:50] ね仲間は増やさない針だけどさが
[01:01:55] に話をつけてなん
[01:02:00] だなんだよ
[01:02:03] これダークマターが勝手になんだ何なんだ
[01:02:10] よ
[01:02:12] [音楽]
[01:02:17] ん終わっ
[01:02:20] たシンデレラはもう
[01:02:27] せめてこの手
[01:02:50] でシンデレラ
[01:02:56] シンデレラ私のこと違うわ私の名前はアキ
[01:03:03] オール
[01:03:05] いやお前はシンデレラだ目を覚ませ
[01:03:11] シンデレラもう一度書くんだいしい過去を
[01:03:17] 書き直すのだろ一緒に書こう昔話は
[01:03:22] ハッピーエンドが決まりだ起きろ
[01:03:26] 目を覚ませ
[01:03:29] ん
[01:03:31] 起きろ
[01:03:37] シンデレラ私を知っているの知って
[01:03:42] いる知っている私はあなたのことを知ら
[01:03:47] ない顔見せ
[01:03:51] てボロボロだ見せて
[01:04:00] 私の顔
[01:04:02] はもうボロボロだ見ても思い出せない声も
[01:04:11] 違う聞いて
[01:04:13] も思い出せ
[01:04:21] ない
[01:04:23] 綺麗はあ
[01:04:26] あなた
[01:04:27] は綺麗な
[01:04:30] まま
[01:04:32] きっとずっとそうだったのね私を守って
[01:04:36] くれていた
[01:04:39] シテレラ私は何をすればいい教えて私の
[01:04:47] 最高の観客
[01:04:50] さん私たち
[01:04:53] がかつてするはずだったこと
[01:04:56] 心から
[01:04:57] 願い果たせなかったこと私たちの敵を人類
[01:05:03] の敵を倒してくれ私
[01:05:08] の勝利の女神を観客の声がそう望むのなら
[01:05:14] 私
[01:05:15] は物語を書き直し
[01:05:20] ましょう
[01:05:21] はあびっくりしたなんか悪いでもか
[01:05:26] [音楽]
[01:05:30] なお待たせ大先輩ガラスの靴フル
[01:05:37] コンタクト言っ
[01:05:41] [音楽]
[01:05:47] て誇りにまみれ怪我された物語が
[01:05:54] 古いれられた童が今ここにもう
[01:06:01] 一度始まるな大先輩ちょ答え
[01:06:08] て私は今綺麗
[01:06:14] は美しい
[01:06:20] [音楽]
[01:06:38] [音楽]
[01:06:47] [拍手]
[01:06:51] [音楽]
[01:06:54] 起きた
[01:06:56] 王子
[01:06:58] 様ガラスの靴を見つけて私を目覚めさせて
[01:07:03] くれた大切な人だから王子様
[01:07:08] 以外呼び方が思い浮かばない
[01:07:13] わいちいち説明するのはい綺麗じゃない
[01:07:18] もの見に行ってみんな無事よとりあえずだ
[01:07:23] けど私は神を見てから行くから美しさを
[01:07:28] 補充する
[01:07:32] の四官様
[01:07:35] [音楽]
[01:07:41] 師匠そんなに立ってないわよ数時間くらい
[01:07:46] でも四官様もう歩けるの本当に大丈夫
[01:07:52] あまりによく穴が開くから体がついたん
[01:07:56] じゃないですか笑い事じゃないわよでも
[01:08:01] 回復が早すぎないいくらなんで
[01:08:06] も
[01:08:09] おうシンデレラがベヒモスと戦ったの圧倒
[01:08:14] 的じゃなかったわちょっと苦戦してた感じ
[01:08:19] かしらでも突然ベヒモスの黒い液体が
[01:08:23] 膨れ上がったんです
[01:08:25] 一面を覆い尽くすほど大きくなって
[01:08:28] シンデレラの攻撃も聞きませんでし
[01:08:31] [音楽]
[01:08:33] たそういう感じではありませんでした
[01:08:37] ねなんというか暴走に近いものかと
[01:08:42] ベヒモス自身とても苦しそうな様子でした
[01:08:46] だからその隙にみんなで逃げた
[01:08:51] [音楽]
[01:08:52] の良くないわ
[01:08:55] ベスティはボディが完全に大破してるし
[01:08:59] ウファもクリスタルにかなりやられてるで
[01:09:03] も動きを極力抑えていたらしくてその
[01:09:09] ハンマリングの時ほどは悪化しなかったわ
[01:09:12] ボディの交換で済むみたいエマもベヒモス
[01:09:16] が飛ばしたクリスタルからウファをかばっ
[01:09:18] て大怪我してるわ実質リタイヤって感じね
[01:09:24] だから相部隊が来るまで待機
[01:09:31] 中体がズボらしいのでマナが見ています
[01:09:36] 自動で意識が遮断されてもおかしくない
[01:09:39] ほどの状態だったそうで耐え続けていた
[01:09:42] ことに驚いていましたそれでもなんとか
[01:09:46] 修復できるようです構造の簡単な量産型
[01:09:50] ボディーだったのが不幸中の幸いだったと
[01:09:53] 言っていました
[01:09:54] [音楽]
[01:09:59] えっとベヒモスに思いっきりボコボコにさ
[01:10:02] れたからしばらく落ち込んでたけどこの借
[01:10:07] は必ず返すって燃え上がってるわ今は
[01:10:11] アブソルートのみんなのところさよならを
[01:10:14] 言ってくるっ
[01:10:17] て
[01:10:18] うん別れると言ってもいずれまた会える
[01:10:22] でしょそういう意味じゃなくてきちんとし
[01:10:26] た別れ話ってこと
[01:10:29] おとにかく今の状況はそんな感じね次の
[01:10:34] 作戦はシフティがそのうち連絡するって
[01:10:36] 言ってたわそれまでは少し休んでおき
[01:10:41] [音楽]
[01:10:44] ましょう私を救ってくれた人たちに恩返し
[01:10:49] をするためそうじゃないと綺麗じゃない
[01:10:53] でしょ来たわね
[01:10:59] 私も手伝うわ地上奪還ずっと昔にやるはず
[01:11:05] だったことだ
[01:11:09] からよろしくねところであなたたち頼んだ
[01:11:15] もの
[01:11:19] はまだなの本当にここ大丈夫
[01:11:27] ここに全身移せる鏡を置けってうるさいの
[01:11:30] よ100mごとに置いて欲しいそうです
[01:11:34] 譲歩してあげたの本当は50mごとに
[01:11:39] 欲しかった
[01:11:42] けどそうしないと私の綺麗な姿をいつでも
[01:11:47] 確認できないでしょ私は私たちは常に
[01:11:54] 美しくなければはいけないの
[01:11:58] ああ芸能人じゃあまい
[01:12:01] [音楽]
[01:12:12] し輸送部隊は1時間以内に到着するそう
[01:12:18] よ体の具合はどう私は大丈夫
[01:12:22] よ地名称は避けたわ
[01:12:25] ベスティの容は落ち着いてる
[01:12:28] え今は眠ってるわあんな状態で起きてい
[01:12:33] たら思考転換を起こすかもしれないもの
[01:12:38] そうウファ
[01:12:40] は名前で呼ぶなと言ったはずだそれから
[01:12:45] 視界に入るお前がいなくても歩くぐらい
[01:12:51] できるごめんなさいウファ
[01:12:55] 何
[01:12:57] あら黙っていなくなってごめんなさい本当
[01:13:03] に私は私はレッドフードになりたかった
[01:13:10] 最後を見守って使命を受け継いだと
[01:13:13] 思い込んでいた
[01:13:16] からレッドフードがどうしてあんなに
[01:13:18] 強かったのか考えたことがあるのあの人に
[01:13:23] は大切な仲間たちがいて
[01:13:25] 輝かしい使命があったわだからあなたたち
[01:13:29] と出会って一緒に過ごすようになった時
[01:13:33] 大切な仲間ができた時私はレッドフードに
[01:13:37] 近づけたと思ったのきっとこのまま行けば
[01:13:42] 私も同じになれる使命をずっと受け継いで
[01:13:47] いけるそう思っていたわでもそうでは
[01:13:52] なかった私はただ真似をしていただけだっ
[01:13:56] たのあの時流れだで人を犠牲にしてしまっ
[01:14:01] た時何より先に始末書の心配をしていた私
[01:14:05] はただレッドフードの真似をしていただけ
[01:14:08] だったと気づいてしまったの使命とは何か
[01:14:13] 何を背負っているのか分かろうともしてい
[01:14:17] なかった上辺だけしか見ていなかったなら
[01:14:22] 私は何だったんだろう私は今まで何のため
[01:14:26] に生きて何を叶えるために努力していたん
[01:14:30] だろう私は何者なのか私は何者に見えるの
[01:14:34] かその答えが分からなくなってだから私の
[01:14:41] 笑いもしないものまねにあなたたちを利用
[01:14:44] してしまった気がした
[01:14:46] のそれがすごく申し訳なかったなんて言え
[01:14:50] ばいいか分からなかっただから出ていった
[01:14:55] のバカみたい
[01:14:57] でしょう
[01:14:59] ああとんだ大まけ
[01:15:03] だあの時この話ができていたら結果は違っ
[01:15:08] たかしら
[01:15:10] ああ
[01:15:12] そうありがとうやっぱりあなたたちは私に
[01:15:17] とってあまりに
[01:15:19] も
[01:15:20] 今更今更こんな話をした理由があるん
[01:15:24] だろう
[01:15:26] それを聞かせてくれ私のせいで止まって
[01:15:31] 欲しくない
[01:15:36] から行け行ってお前が大好きな三流部隊と
[01:15:41] 一生つるん
[01:15:43] でろそれがお前にはお似合い
[01:15:46] だ私たちは私たちの道を行く
[01:15:52] ウファ分かったわ
[01:15:55] 治療頑張って行くわね
[01:15:59] エマラッピー勇気を出してくれたの
[01:16:04] ねありがとうこれを勇気と言ってくれるの
[01:16:09] ね基準なんて人それぞれよ
[01:16:20] ありがとうまたなラピあ
[01:16:26] ええ
[01:16:33] ウファあっさり許してあげるのねそうだな
[01:16:39] ただ答えが聞きたかっただけかもしれない
[01:16:43] 簡単なことだったわ
[01:16:48] ねタクティカルアップ計画を
[01:16:51] 進めようあらイングリッドが用したあれの
[01:16:56] ことねあんなに嫌がってたじゃないどう
[01:17:00] いう風の吹き回しもうあいつを待つ必要が
[01:17:04] ない計画を進め
[01:17:06] たらあいつの居場所がなくなってしまい
[01:17:09] そうだったからそれが
[01:17:12] 少し気がかりだったんだでももう
[01:17:18] いいあいつはもう帰ってこない
[01:17:25] そう完璧な最強になりましょう私たち3人
[01:17:31] で
[01:17:34] [音楽]
