# NIKKE 第36章 转录
视频ID: 706pbFRmG-U
[00:46:45] まで復活しちゃったらどうする
[00:46:50] つもりベヒモスの復活までって約束でしょ
[00:46:55] その後は知ったことじゃない
[00:47:00] し
[00:47:13] お指揮官あまり子供を責めないでください
[00:47:17] 誰が子供よレビアた裏切られたいのななん
[00:47:24] ですってそういう言動に見える
[00:47:28] 冗談じゃないわ
[00:47:29] よいちいちお説教なんて大きなお世話それ
[00:47:35] よりさっさとパーツ集めてよベヒモスが
[00:47:38] お腹空かせちゃう
[00:47:41] [音楽]
[00:47:45] でしょは疲れ
[00:47:48] た何もしてないのにすごく疲れました
[00:47:53] ね何もしてないかなり歩き回ったでしょ
[00:47:57] それでどうして当然のように師匠の部屋に
[00:48:00] 来ているんですか宿所よりここの方が設備
[00:48:04] が整ってるでしょいいじゃないどうせ揮官
[00:48:08] 様はいないんだしここのベッドすごくいい
[00:48:12] のよフカフカで
[00:48:16] 最高師匠が見たら嫌がりますよシャワーも
[00:48:20] 浴びにベッドに寝転がるなんて大丈夫
[00:48:24] 大丈夫
[00:48:25] 可い女の子の匂いがしたらむしろ喜ん
[00:48:31] [音楽]
[00:48:32] で
[00:48:34] は式官様の匂いがうわあアニス本物の変態
[00:48:40] みたいですみ匂いがするからいまいだって
[00:48:45] こと表情でわかります顔がにやついてます
[00:48:50] よぶ別にニヤニヤなんてしてないわよすみ
[00:48:55] ませんが少々静かにしていただけますか
[00:49:00] 職務にさしえますので
[00:49:03] は
[00:49:05] うん
[00:49:06] はい大変結構ですそのまま静かにしていて
[00:49:11] くださいアイリ資料収集はもう十分
[00:49:24] でしょう言われなくてもそのつもでした何
[00:49:28] も出てきませんでしたねええ探したところ
[00:49:32] でこれ以上は出ないでしょう
[00:49:36] 泥棒昔から泥棒を捕まえるなら火力に
[00:49:40] まさるものはないと言われていますよし
[00:49:43] 打つわよ
[00:49:45] はい失礼静かにするようお願いしたとあ
[00:49:51] あの
[00:49:53] えっとなぜ銃を向けているのですか
[00:49:57] 話を聞いた限り私たちは窃盗犯だと考えて
[00:50:02] いるようです盗犯私のようなメガネ美少女
[00:50:07] が泥棒のはずないでしょうあなたたち誰
[00:50:11] ここで何してるのオーバーシア部隊のあり
[00:50:16] です同じくオーバーシア所属アビスと申し
[00:50:21] ますオーバーシア観察官がなんでここに
[00:50:27] 指揮官様は悪いことなんてしてないわよ
[00:50:30] そうですよ師匠ほど精錬潔白な方はいませ
[00:50:34] んいえ感謝に来たわけではありません社長
[00:50:39] の依頼でお2人のサポートをするために来
[00:50:42] ました指揮室の書類チェックはついでです
[00:50:48] 社長サポートあもしかしてイングリッド
[00:50:54] 社長が言ってた頼れるって
[00:51:02] 頼れるその通り
[00:51:05] です私とアスタあるいはアスタと私本日
[00:51:10] よりカウンターズ所属アニスとネオンご
[00:51:13] 両名のサポートに着任いたしますよろしく
[00:51:17] お願いしますよろしくお願いいたします
[00:51:20] こちらこそよろしくお願いしますそれは
[00:51:24] そうとなぜ師匠の
[00:51:27] 説明していいていませんが私たちは観察官
[00:51:33] そう観察官ですから何か言うのよあらゆる
[00:51:39] 資金の流れや人選の決定過程の中で不当な
[00:51:43] 利益を得たものはいないか調査することが
[00:51:46] 私たちの仕事ですカウンターズといえば今
[00:51:50] やク内で最も影響力のある隊ですから
[00:51:56] があるはずそれを調査していました随分
[00:52:01] 失礼なことを平然と言ってくれるじゃない
[00:52:04] 申し訳ありません職業病のようなもので
[00:52:09] 実際何も見つかりませんでしたそう
[00:52:13] ですとても綺麗でしたね何か1つでも出て
[00:52:18] きたら協力は取りはめようと思っていまし
[00:52:21] たがその必要はなかったようですお詫びに
[00:52:27] こちら
[00:52:28] をこれは商人の一部が長期間に渡って
[00:52:34] カウンターズに対する商品の販売価格を
[00:52:37] 釣り上げていたようです合意の上で経費の
[00:52:40] 不正計上をしている可能性を疑いましたが
[00:52:44] そのような証拠は見つかりませんでした
[00:52:47] えてことははい一方的にぼったくられてい
[00:52:53] たようです嘘でしょ有名人相手にはよく
[00:52:58] あることです取引をやめると圧力をかけれ
[00:53:01] ば誠実な取引をするようになるでしょう
[00:53:05] えっと
[00:53:07] あありがとう確かに頼りになりそう
[00:53:14] です頼りに
[00:53:17] なるとにかくお2人は現在問題を抱えて
[00:53:22] いると聞きましたある芸能事務所の
[00:53:25] メンバーと
[00:53:27] ががないそうですねそそうよまずは
[00:53:34] グループ名と連絡先を教えてください少し
[00:53:38] 時間をいただければ事務所に立ち入りが
[00:53:41] できるよう手配しますそんなことができる
[00:53:44] んですか言った
[00:53:47] でしょ私たちは観察部隊ですからそれは
[00:53:52] もう聞いてる芸
[00:53:56] が横行する世界私はそう偏見を持ってい
[00:54:00] ます偏見って自分で言ってどうするのよ
[00:54:05] 少し叩けば誇りが山ほど出てくるはずです
[00:54:09] 私たちはそれを公実に事務所へ立ち入り
[00:54:13] 操作を行いますその時たまたま私たちの
[00:54:17] 助手をしているお2人も一緒に事務所へ
[00:54:20] 立ち入り参考人に聞き取りを行ってもらい
[00:54:23] ますなるほどねそれでは観察部隊の仕事を
[00:54:29] 始めましょう
[00:54:34] か大丈夫ですか呼吸が荒くなっています
[00:54:40] がたまりませ
[00:54:42] ん人の隠し事を暴くこの快感
[00:54:47] がこの瞬間のせいで仕事がやめられないん
[00:54:53] です転職ねここで1つありません
[00:54:58] ね1クレジットの記載漏れさえない
[00:55:03] [音楽]
[00:55:05] なんてここまで完璧なものは初めて見まし
[00:55:08] たこの会社を尊敬してしまいそうです資金
[00:55:13] の流れ会社の運営にも隙が見当たりません
[00:55:17] 念のため社員にも問い合わせましたが特に
[00:55:21] 不審な点はありませんでしたやっぱりこう
[00:55:25] なる気がしてたわなんでアニスが得意げな
[00:55:29] んですかあそこの社長はそういう人だから
[00:55:33] それは良かったですが作戦が破綻しました
[00:55:36] よ
[00:55:38] はあなんで社長はああいう人なんだろう
[00:55:42] 喜ぶか悲しむかどっちかにしてもらえます
[00:55:46] 作戦は失敗ですケチの付け所ぐらいあると
[00:55:50] 思っていましたがそれさえ1つもありませ
[00:55:53] んでしたとはいえむことはありませ
[00:55:58] ん他に手があるんですかいいえ何もじゃあ
[00:56:04] なんで期待しちゃうようなこと言ったのよ
[00:56:06] アーク最大企業の参加にある事務所がここ
[00:56:10] まで精錬潔白なのはむしろ喜ぶべきことで
[00:56:14] はまそうですねその通りだとは思います
[00:56:19] が他のアプローチを考えましょうこのまま
[00:56:23] 続けるならテトラライにわる企業まで
[00:56:27] 調べる必要が出てきますそこまで言って
[00:56:30] しまうと私たちだけの手には負えませ
[00:56:34] [音楽]
[00:56:38] ん3大企業の1つに全面的な殺殺の手を
[00:56:43] 入れたということになってしまいます
[00:56:46] からではどうしましょう
[00:56:50] か
[00:56:51] うんそれなら
[00:56:57] わかりません
[00:57:00] そうまあそうよ
[00:57:02] ね考え込んでるから何かあるのかと思っ
[00:57:06] ちゃっ
[00:57:08] た考えてみたんです
[00:57:11] が昔の仲間や関係者の方にアニスから連絡
[00:57:16] する方法がないんですよ
[00:57:18] ねそうだけどでは反対にあちらから私たち
[00:57:23] に連絡させればいいのでは
[00:57:26] やってあれ
[00:57:28] です
[00:57:31] おおあ今月のイベント情報ですねあれと
[00:57:38] あれは行かないと
[00:57:40] あり注目するべきはそこではありません
[00:57:44] テレビでメッセージを伝えたいということ
[00:57:47] ですねはい師匠やラピを差し置いて前に
[00:57:51] 出るのは気が引けますが今は気にしている
[00:57:54] 場合じゃありませんアニスがバーンと顔を
[00:57:57] 出して私に連絡ちょうだいって言えばいい
[00:58:01] んですまあ悪くないアイデアだとは思う
[00:58:05] けどそうなると広告を出すってことになる
[00:58:09] わよねお金もかかるしそもそも出させて
[00:58:13] もらえるかも問題をそういうメディアの
[00:58:16] 影響力は弱くなってるって言っても
[00:58:19] まだまだ相当なものだから大抵は1年先と
[00:58:23] かそれ以上とか
[00:58:27] 特にどこかが抑えてるのよいきなり行って
[00:58:30] すぐ出してもらえるってことはないと思う
[00:58:33] わマイナーなチャンネルにしたってそう
[00:58:37] 簡単にはいかないだろうしそうです
[00:58:41] ね
[00:58:42] マイナナ
[00:58:44] チャンネル
[00:58:46] ん何でしょうどこかで聞いたような何か
[00:58:51] 思いついたの
[00:58:54] おううん
[00:58:57] あ
[00:58:58] あ
[00:59:06] ういきなりどうしたんですかそれは私にも
[00:59:12] 今すぐ行くわよ行きましょうレッツゴー
[00:59:16] です
[00:59:17] [音楽]
[00:59:43] ねえテレビに出させて
[00:59:48] [音楽]
[00:59:58] 集め終わった
[01:00:01] ええじゃあここに置いて今のベヒモスは
[01:00:05] とにかくお腹を空かせてる状態だから
[01:00:08] 近づいたらあんたたちも食べられちゃうか
[01:00:11] も離れてて親切ねじ冗談やめて
[01:00:20] よヒロ荷物運び完了だ
[01:00:26] 私はすでに10秒前に終えていた
[01:00:30] ぞやはりビランはヒーローより早いのか
[01:00:35] そんなことだからいつも事件現場に出
[01:00:37] 遅れるんだ
[01:00:41] ヒーローとにかく運び終わったようんじゃ
[01:00:46] 離れ
[01:00:50] てよかったまだ食べてる
[01:00:54] [音楽]
[01:00:59] ほら早く食べて早く食べて元気になって
[01:01:05] また一緒に
[01:01:09] [音楽]
[01:01:17] 遊ぼう回復してるうん治ってき
[01:01:24] てるあんたたち
[01:01:26] 悪いけどもう1
[01:01:33] 回何ベマそれは
[01:01:38] だめ話してくれこれはヒーロー専用の
[01:01:41] スペシャルウェポンなん
[01:01:45] [音楽]
[01:01:48] だ止めてなくしたら主演に何されるか
[01:01:52] わかんないよ
[01:01:55] [拍手]
[01:01:57] [音楽]
[01:01:59] 主演は怖い手伝って
[01:02:02] やろうすごい力を感じるぞなんという
[01:02:07] クイージだメモスそれはダメだってば別の
[01:02:11] あげるから
[01:02:14] [拍手]
[01:02:23] [音楽]
[01:02:26] 綱引きのようです
[01:02:28] [音楽]
[01:02:30] [拍手]
[01:02:31] ねマジで受けるんだ
[01:02:34] けど綱引みたい
[01:02:38] じゃん引っ張れヒーローの底力を
[01:02:42] 見せつけるんだもうなんでこうなるのよ弱
[01:02:48] を吐くな私たちは強い取っておかなきゃ
[01:02:52] ベヒモスも見たらけし
[01:02:58] マジで
[01:03:00] [拍手]
[01:03:03] [音楽]
[01:03:13] [拍手]
[01:03:13] [音楽]
[01:03:15] 検索どうなってる
[01:03:17] [拍手]
[01:03:19] のまずいこれは動かないで私がなんだ
[01:03:26] 制御
[01:03:27] [音楽]
[01:03:34] が揮官
[01:03:37] ラプラスべきませ
[01:03:39] [音楽]
[01:03:45] ん指揮
[01:03:49] 官
[01:03:50] [音楽]
[01:03:51] [拍手]
[01:03:53] 了解あんたたち
[01:03:56] [音楽]
[01:04:02] [拍手]
[01:04:05] ラプラス
[01:04:07] ラプラス撃ったベヒモスを撃っ
[01:04:12] たまた元に戻っちゃっ
[01:04:16] た動かなくなって
[01:04:21] [音楽]
[01:04:22] [拍手]
[01:04:26] 待って冷静に状況は裏切った裏切られた
[01:04:33] そうじゃないこっちもやられてるでしょ
[01:04:36] 何かおかしなことに人間もどきなんて
[01:04:40] 信じるんじゃなかったやっぱりあんたたち
[01:04:45] [音楽]
[01:04:48] なんて平で裏切るような奴らだったんだ
[01:04:55] [音楽]
[01:04:56] [拍手]
[01:04:59] ベヒモス
[01:05:01] ベヒモス
[01:05:03] ごめんね私が必ず助ける
[01:05:10] から言いたいことだけ言って待ってってば
[01:05:15] マクスウェル来るわあもう
[01:05:33] すぐに報告をびこので全てを切
[01:05:51] よ報告をやこので全を
[01:06:01] 状況終了ラプラス
[01:06:04] は大丈夫両手をやられただけだそれを
[01:06:09] 大丈夫とは言わないわバッテリーは全部
[01:06:12] 取り外して腕の電源も切ったよ武器は
[01:06:16] あっちに片付けておいたぞ見えてる分は
[01:06:19] 取り除いたけど中はひどいだろうね動か
[01:06:23] なければ広がらないと思うけど予備の
[01:06:26] パーツはここにはないよ戻らない
[01:06:31] とすまないなバード
[01:06:35] ボーイ君と一緒な作戦では情けない姿を
[01:06:39] 見せてばかり
[01:06:42] だどこへ行けばいいんだまずは駐屯地に
[01:06:46] 戻らないとそこでも直せるかは分からない
[01:06:50] けどあなたは特別性だし普通のとは違う
[01:06:54] から屯地で直せなかったらどうなるアーク
[01:06:59] に戻ることになるわ
[01:07:01] ね
[01:07:05] へ
[01:07:06] ちょっとよし足は動くみたいだなら行ける
[01:07:12] 武器も壊れてるでしょ素で戦うつもり
[01:07:17] あふざけたこと言ってないで戻る
[01:07:23] よラプラス
[01:07:26] バカ言ってる場合じゃマクスウェル
[01:07:29] 主演のため
[01:07:31] だここで引き下がれば主演はまた追い詰め
[01:07:36] られるそうなればきっとまた無理をする
[01:07:39] はずだ今度こそ取り返しのつかないことに
[01:07:43] なってしまう悪は倒せ倒すしかないんだ
[01:07:48] 主演をそうしたくない悪者に作られたなら
[01:07:52] 作られたものとして道をたすヒーローは悪
[01:07:57] を打ち倒すものだだが力に頼らず悪を止め
[01:08:01] られるならその方が立派なヒーローだ私は
[01:08:06] 立派なヒーローだからできるできなければ
[01:08:10] いけないんだ私
[01:08:12] は主演をこの手にかけたくない
[01:08:19] あ屯地に戻るぞもしそこで直せなかったら
[01:08:24] 腕の方に動力を流さないよう調整しておけ
[01:08:29] お前のエネルギーを私がもらうお前を私の
[01:08:33] バッテリーとして思いっきりコキ使って
[01:08:36] やろうよし頼んだ指揮
[01:08:49] 官主演を助けるつもりですか
[01:08:56] また抱え込ん
[01:08:58] でですがそれこそ指揮官にしかできない
[01:09:03] ことでしょうどこまでもおせかで背きそう
[01:09:08] 考えると私の知り合いによく似てい
[01:09:14] ますはい正解です今も昔も私の人付き合い
[01:09:20] は変わっていないようです行きましょう
[01:09:24] そのの
[01:09:26] おいたします
