# NIKKE 第17章 转录
视频ID: uSPSjlugsLk
[00:36:57] するかもしれないし
[00:37:00] 自由に飢えていた逃げたちも人類に対して
[00:37:03] 暴動を起こすかもしれない
[00:37:05] その結果によってお前たちの敵もお前たち
[00:37:10] の呼び名も違ってくるだろう
[00:37:13] そんな大きな波を引き起こす力を手に
[00:37:16] 入れるのだということ
[00:37:18] 絶対に忘れるな
[00:37:24] [音楽]
[00:37:30] きゃー
[00:37:32] 外はもう日が昇ろうとしておる
[00:37:35] [音楽]
[00:37:42] 二人とも何をそんなに暗い顔をしている
[00:37:45] ここで別れたらまたいつ会えるかわから
[00:37:49] ないのだぞ
[00:37:50] 笑おうじゃないか
[00:37:55] 行くと
[00:37:57] 1日が終わろうとしている
[00:37:59] それぞれの道を行く時間だ
[00:38:03] ラプンツェル君がお客さんを見送るのか
[00:38:07] はい私が連れてきましたから
[00:38:11] そうか
[00:38:13] じゃあ
[00:38:14] 坊ちゃん
[00:38:15] 縁があったらまた会おう
[00:38:18] その時まで
[00:38:20] 無事で
[00:38:21] [音楽]
[00:38:24] 私はいつも元気だからね
[00:38:29] 私も行く
[00:38:31] スノーホワイト
[00:38:32] 次はもっと通信環境がいいところにい
[00:38:34] なさいよ
[00:38:35] そうですよ見つけやすい道を通って
[00:38:39] くださいね
[00:38:41] 覚えて
[00:38:41] [音楽]
[00:38:44] それは心配するの
[00:38:47] だがマリアについて相談したいことが
[00:38:53] あいつはどうして
[00:38:56] どうして
[00:38:57] ズボンの上にパンツを履こうとするのだ
[00:38:59] [音楽]
[00:39:08] 頭が痛いよね
[00:39:09] [音楽]
[00:39:12] 特殊から
[00:39:16] 元に戻るとパンツをああやって履くように
[00:39:19] なるのか
[00:39:20] 思ったより副作用がひどいのは
[00:39:24] わかった
[00:39:25] 参考にしておく何を参考にするのよ
[00:39:32] そうか分かった
[00:39:36] おい
[00:39:38] [音楽]
[00:39:40] 死ぬな
[00:39:45] さぁ
[00:39:46] みんな帰ったし
[00:39:47] 私たちも帰りましょうか
[00:39:52] [音楽]
[00:39:57] 本当に何の未練もなく
[00:40:00] 自分の道を行ってるのね
[00:40:02] 本当に不思議こんな文体は初めて見たわ
[00:40:07] みんな自分の目標がありますから
[00:40:10] 互いにそれに干渉しないとだいぶ前に約束
[00:40:14] しました
[00:40:15] 一次進行の時
[00:40:18] いいえアークができてもう少し時間が経っ
[00:40:23] た時です
[00:40:24] 離れ離れになって生きていた私たちが
[00:40:27] 再会したときお
[00:40:30] 互いの変わった姿を見て気づきましたもう
[00:40:34] 前のように一つの目標に向かって生きて
[00:40:37] いくことはできないと
[00:40:40] その時決めたんです
[00:40:43] 互いの人生を尊重しよう
[00:40:45] ただし1
[00:40:48] ヶ月に1回はあって
[00:40:50] 精子は確認しようと
[00:40:53] そう約束しました
[00:40:55] それってかっこいいのか
[00:40:57] 変わってるのか
[00:40:59] ラピーあなたはどう思う
[00:41:04] ラピーあ
[00:41:07] ごめん何いや
[00:41:10] ラプンツェルたち
[00:41:11] 別々に動いてるから
[00:41:13] 珍しいなって
[00:41:14] そうよね
[00:41:17] 珍しいわよね
[00:41:17] [音楽]
[00:41:19] ラピ何か悩みでもあるのさっきから
[00:41:23] アリス
[00:41:25] 後ろにいないでこっちに来てください
[00:41:28] ラプチャーです
[00:41:33] [音楽]
[00:41:39] ラピは本当に私の友達に似ていますね
[00:41:44] 雰囲気や性格は違うのに
[00:41:47] 戦い方は無理2つです
[00:41:50] その人って
[00:41:52] レッドフードですか
[00:41:54] あらどうして分かったんですか
[00:41:59] レッドフードは
[00:42:01] 知っているんですかやっぱり
[00:42:04] 聞間違いじゃなかったのね
[00:42:09] レッドフード
[00:42:10] 一次進行の2件
[00:42:13] として
[00:42:15] 伝説の指揮官あなたたちの分隊名は最初
[00:42:19] からパイオニアだったのかしら
[00:42:22] いいえこれは
[00:42:24] 地上で二人に再会した時にもらった名前
[00:42:27] ですまたの名前は
[00:42:31] そうよね
[00:42:33] [音楽]
[00:42:36] はいそうです
[00:42:39] じゃあラピは
[00:42:42] レッドフードに会ったこともあるんですか
[00:42:44] あります
[00:42:46] そうだったんですね
[00:42:49] どうりで似ていると思いました
[00:42:53] 言ってくれてありがとうございます
[00:42:55] [音楽]
[00:43:03] も知らないのこんな常識中の常識を知ら
[00:43:08] ないなんて一体学校は何を教えてるのよ
[00:43:12] 人類が作り出した最初の2家であり最初の
[00:43:16] ニケ部隊です
[00:43:17] 一時進行当時
[00:43:19] ラプチャーとの戦闘で初めて勝利を
[00:43:21] もたらした者たちであり
[00:43:24] 悪の防御壁ができるまで
[00:43:26] ラプチャーの侵入を防いだ最後の防御線
[00:43:30] 最強の戦闘力最強の火力それこそ人類史に
[00:43:36] いつまでも残るヒーローですあれでも
[00:43:40] アークができた時
[00:43:43] 防御壁を守る戦闘で
[00:43:45] みんな帰らぬ人となったと聞いたんです
[00:43:47] けど
[00:43:48] 違ったんですねやっぱり
[00:43:52] 火力は知らないんですね
[00:43:54] あら私達ってそんなに素敵な名前で呼ばれ
[00:43:59] ていたんですかいや今そんなことはどうで
[00:44:03] もいいでしょう
[00:44:05] コンテスの指揮官ならものすごい有名人よ
[00:44:07] アークで探してみたらいいんじゃない
[00:44:10] [音楽]
[00:44:12] やっぱり
[00:44:13] 指揮官が有名なのは
[00:44:15] 相変わらずですね
[00:44:16] だからそんなこと言ってる場合じゃなくて
[00:44:20] いや私たちが探してあげる
[00:44:23] せめてどんな人生を送っていたのかとかお
[00:44:27] 墓の場所くらいは知っておくべきでしょ
[00:44:29] いいえ
[00:44:31] [音楽]
[00:44:33] すみませんが
[00:44:34] 調べるのはやめてください
[00:44:36] 何
[00:44:37] あの方の消息を知ったら
[00:44:41] きっと
[00:44:42] 会いたくてたまらなくなりますから
[00:44:45] きっと
[00:44:47] 悪に行きたくなってしまいます
[00:44:50] でも
[00:44:51] まだ行きたくないんです
[00:44:54] 私はまだ何も成し遂げていませんから
[00:44:59] それってまさかまだ人類に地上を取り戻し
[00:45:03] てあげてないからとかそういう理由じゃ
[00:45:06] ないでしょうね
[00:45:08] ええそれも理由になるかもしれませんね
[00:45:11] それだけではありませんが何をバカな
[00:45:16] まさか
[00:45:18] 地上を奪われたのは
[00:45:20] 自分たちの生徒が思ってるの
[00:45:24] それは違います
[00:45:26] 全人類に申し訳ないとか
[00:45:30] 大それたことを考えているわけではあり
[00:45:32] ませんただ
[00:45:36] 他の誰でもなく
[00:45:37] 私たちがあの
[00:45:40] 戦争で一緒に泣いて笑って戦っていた
[00:45:43] 私たちが
[00:45:44] [音楽]
[00:45:46] 約束したことがありますその
[00:45:49] 約束が守れなかったからその
[00:45:52] 罪滅ぼしのために
[00:45:54] やらなければならないことがあるんです
[00:45:58] だから
[00:45:59] まだアークへ行きたくないんです
[00:46:02] [音楽]
[00:46:05] あなたたちって
[00:46:07] 本当にややこしいわね
[00:46:09] [音楽]
[00:46:11] それが私たちの魅力ですよでも
[00:46:16] 嬉しいです
[00:46:18] ゴーテストという名前も指揮官も
[00:46:21] 忘れられることなく覚えられていたんです
[00:46:23] ね
[00:46:24] よかった
[00:46:26] [音楽]
[00:46:28] 本当に
[00:46:29] 良かったです
[00:46:31] 私
[00:46:32] そのことを知れただけで
[00:46:35] 十分嬉しいです
[00:46:37] ラプンツェル
[00:46:39] [音楽]
[00:46:50] さあもう
[00:46:53] 着きましたね
[00:46:54] この先をまっすぐ行くと
[00:46:57] アークにつながるエレベーターに乗れます
[00:47:01] ここまで案内してくれて助かりました
[00:47:04] どういたしまして私も
[00:47:08] 久しぶりに楽しい旅ができましたですよね
[00:47:13] ブラザー
[00:47:22] ブラザー
[00:47:23] アークへ帰るのが心配ですか
[00:47:27] [音楽]
[00:47:30] スノーホワイトの話が気になるんですか
[00:47:35] ブラザーの選択が間違っていないか
[00:47:39] 怖いですか
[00:47:42] [音楽]
[00:47:43] ブラザー
[00:47:45] ブラザーは何のために
[00:47:48] 地上へ上がってきたんですか
[00:47:51] この
[00:47:52] 混乱した時期にこの
[00:47:54] 混乱した地上へ来て何のために戦っている
[00:47:58] んですか
[00:48:00] [音楽]
[00:48:07] そうですね
[00:48:10] 本当に素晴らしい目標です
[00:48:13] 本当に
[00:48:14] 素晴らしい道しるべです
[00:48:16] ブラザー
[00:48:17] 人生という長い道のりの中で
[00:48:22] 世の中は残酷な現実でブラザーを傷つけ
[00:48:26] 挫折させようとするでしょう
[00:48:28] ブザーとは違う道を歩む人がその道は
[00:48:32] 間違っていると
[00:48:34] ブラザーを罵るかもしれないし
[00:48:37] 自分の道こそが正しいとこちらに来いと
[00:48:41] 誘惑するかもしれませんでも
[00:48:45] 旅に正解なんてありませんだから
[00:48:49] ブラザーの心の中にあるその
[00:48:53] 道しるべさえ失わなければ
[00:48:57] いつどこにいてもどんな選択をしてもその
[00:49:02] 道こそが
[00:49:03] ブラザーにとって正しい道のはずですだ
[00:49:07] から
[00:49:09] 不安に思うことはありません私はブラザー
[00:49:13] のその道しるべが結構好きですから
[00:49:21] はい
[00:49:23] ずっと前に
[00:49:25] 懐かしい人たちと一緒に戦っていたあの時
[00:49:28] に見つけたその道標に従って一生
[00:49:33] 懸命歩んでいます
[00:49:39] どういたしましてさあでは
[00:49:45] 本当にお別れの時間です
[00:49:48] 久しぶりに賑やかな旅ができて
[00:49:51] 楽しかったです
[00:49:51] [音楽]
[00:49:53] 皆さんの人生も今回のように
[00:49:56] 楽しい旅になりますように
[00:49:58] [音楽]
[00:50:01] 言ったね
[00:50:03] 言ってしまいましたね
[00:50:10] 大丈夫ですか
[00:50:13] はい
[00:50:16] [音楽]
[00:50:26] 今更何言ってるのもう
[00:50:30] 遅いわよ
[00:50:31] ずっと前から
[00:50:32] 同じ船に乗っているんだから何
[00:50:35] 回も死にかけたのに今更
[00:50:38] 本当にその通りです
[00:50:41] そんなこと聞くくらいなら私が入る前に
[00:50:44] 逃げろって言ってくださいよ
[00:50:46] はぁあなたあの時社長の命令でスパイしに
[00:50:50] 来てたでしょ
[00:50:52] 指揮官私たちのことは心配しないで
[00:50:55] ください
[00:50:56] もう行ったじゃありませんか
[00:50:59] 事件は渡すと
[00:51:01] あの時から一緒にいる覚悟はできていまし
[00:51:04] た
[00:51:05] 指揮官認識コードアクセス
[00:51:08] 文体04Fの指揮権
[00:51:10] 変更完了
[00:51:11] [音楽]
[00:51:15] あの時
[00:51:16] ちゃんと謝りましたよ
[00:51:18] 意識くん
[00:51:20] そうよねあの時は本当に
[00:51:23] 新米の指揮官とここまで一緒にいることに
[00:51:26] なるとは思わなかったのにいつの間にか
[00:51:29] こんなにたくさんの経験をしてだから指揮
[00:51:33] 官
[00:51:35] ご命令くださいどこまでも一緒に行きます
[00:51:39] [音楽]
[00:51:42] はいOKはい
[00:51:53] ところでさ
[00:51:54] [音楽]
[00:52:00] 主演はなんでこんなに静かなのかしら何で
[00:52:04] 来ないのかって
[00:52:05] メッセージを送ったり大騒ぎすると思った
[00:52:07] のに
[00:52:09] そうですよね
[00:52:11] 当然催促されると思いましたけど
[00:52:15] 詳しいことはあったらわかるでしょ
[00:52:17] そうだわ
[00:52:19] 言って聞いてみましょうよなんであんな奴
[00:52:22] らを送って私たちの邪魔をしたのかこの先
[00:52:26] に行くと
[00:52:27] ミシリスの本社が
[00:52:30] なんであんなに人が集まってるの
[00:52:33] ミシリスがまた問題を起こしたのかなあれ
[00:52:38] 建物の前に大弾幕が設置されていますよ
[00:52:41] [音楽]
[00:52:42] どれどれ
[00:52:45] [音楽]
[00:52:48] メティスに
[00:52:50] ニンフを戻せ
[00:52:55] ビジネスの社長
[00:52:56] 主演は聞け
[00:52:58] インフのない逃げは
[00:53:00] 主のいない刃
[00:53:02] ニケが自由意志を持って銃を持った瞬間
[00:53:05] この
[00:53:07] 銃口が地上の怪物ではなくアークの市民に
[00:53:11] 向かうことはないと保証できるのか
[00:53:13] アーク市民の安全を脅かすこの残酷な現実
[00:53:18] をこれ以上感化することはできない
[00:53:22] 歴史に再びニンフを埋め込むことを求める
[00:53:26] 池に統制を
[00:53:28] 強制を
[00:53:30] 日経に自由意志とは何事か
[00:53:33] 何事か
[00:53:36] ミシリスの主演は今すぐ出てきてこの事態
[00:53:39] を釈明しろ
[00:53:42] 説明しろ
[00:53:43] アーク市民の安全を保障しろ
[00:53:48] 保証しろ
[00:53:49] 連結にニンフを日経にニンフを
[00:53:57] 一体何が起きてるの
[00:53:59] なんで
[00:54:01] みんなあんなに
[00:54:03] ここまで集まるとちょっと
[00:54:06] 怖いくらいですね
[00:54:08] [音楽]
[00:54:26] [音楽]
[00:54:36] 指揮官どうしましたか
[00:54:39] [音楽]
[00:54:41] はい
[00:54:45] [音楽]
[00:55:00] お前なんでこんなに遅いのどこで何してた
[00:55:05] のよ私の目を盗んで何かしたでしょ
[00:55:10] ジョンリーってのもお前たちの仕業ね
[00:55:13] いきなり何よとんだ濡れ衣だわ
[00:55:17] 私たちが誰のせいで地上であんなに苦労し
[00:55:20] たと思ってるのよあなたが贈った奴らの
[00:55:23] せいで私たちが
[00:55:26] 知らないわよ
[00:55:27] 知ったことじゃないし今はそんなの気に
[00:55:30] する余力もないんだから
[00:55:34] もういいわよお前たちが地上で何をしてい
[00:55:38] たのかはもう気にしない
[00:55:40] その代わり私が言う通りにやって
[00:55:45] [音楽]
[00:55:47] あいつらアークが平和だからああやってで
[00:55:51] もなんかしてるのよ
[00:55:54] 期間がないからよね
[00:55:56] もしラプチャーが追ってきたら
[00:55:59] それでもあいつら
[00:56:01] ニンフがどうとか言うのかしら
[00:56:04] みんなを受け継いで
[00:56:06] 助けてください」っていう歌詞
[00:56:10] 何って
[00:56:12] メティスを再びヒーローにするのよ
[00:56:16] ヒーロー
[00:56:18] ラプチャーをワークへ引き寄せるわ
[00:56:25] そしてメティスが
[00:56:27] 全滅させる姿を撮ってみせたら
[00:56:30] あいつらも口を閉じるでしょうね
[00:56:33] あなた正気なの
[00:56:36] ヤクチャを引き寄せるなんてどうかしてる
[00:56:38] わ
[00:56:40] 声が大きいわよ
[00:56:42] 耳が痛いったら
[00:56:44] 鉄くずのくせに私がどうか知ってるです」
[00:56:47] って
[00:56:49] めんどくさいの指揮官に持ったからって
[00:56:51] 思い上がらないことね
[00:56:57] まさかお前のクソ真面目さに気づいて
[00:57:00] なかったら
[00:57:02] 私はミシリスの社長じゃなくてただの
[00:57:06] 間抜けでしょ
[00:57:07] でもこの提案を聞いても
[00:57:11] 断れるのかしら
[00:57:15] 私がお前をヒーローにしてあげる
[00:57:19] その第一世代
[00:57:21] ゴンデスの指揮官ほどではなくても
[00:57:24] 申請とか言われてたあのーもう名前なん
[00:57:28] だっけ
[00:57:28] [音楽]
[00:57:29] とにかくアーク設立以来最も有名とされて
[00:57:33] いるあいつよりは有名にしてあげるわよ私
[00:57:36] が
[00:57:37] [音楽]
[00:57:39] あなたなら承諾すると
[00:57:41] 思うはぁ
[00:57:45] いいや
[00:57:47] まだ師匠のことをよくわかっていないよう
[00:57:50] ですね
[00:57:52] ねぇだからただの間抜けアニス
[00:57:58] わかったこれ以上は言わない
[00:58:01] 死ぬのが怖いの
[00:58:03] 言っとくけどこれ全部やらせだから
[00:58:06] ラプチャーを引き寄せるのもこっちで全部
[00:58:09] テスト済みなの
[00:58:11] 雑魚しか来ないわ
[00:58:13] メティスが一発かましたら倒れるやつらね
[00:58:17] そうになれるのよ
[00:58:25] なんでそんなに拒むの
[00:58:29] ニケーでしょお前が可愛がってる人間
[00:58:32] なんでうちの子だけ差別するのよ
[00:58:35] 私の下にいるから私が可愛がってるから
[00:58:40] [音楽]
[00:58:42] じゃあなんでやらないの
[00:58:44] あのマリアンとかいう鉄くずを助ける時は
[00:58:48] 人類とか未来とか全く気にしなかったじゃ
[00:58:51] ない
[00:58:52] メティスは何で助けないのよ
[00:58:54] [音楽]
[00:58:57] じゃあどうすればいいの
[00:59:01] 今みんな血眼
[00:59:03] にしようとしているのに
[00:59:06] やって落ち着かせるの
[00:59:09] やめろっていうのよ
[00:59:11] 本当にメティスに
[00:59:13] 記憶消去させろっていうつもり
[00:59:18] 方法を探すと言ったわよね
[00:59:20] [音楽]
[00:59:22] メティスを助ける方法を
[00:59:24] 探し出すって言ったわよね
[00:59:27] 信じろって
[00:59:28] 絶対助けるって
[00:59:30] 私が土下座しないから
[00:59:33] だから約束を守らないの
[00:59:36] じゃあするわ
[00:59:38] 土下座すればいいんでしょ
[00:59:46] 頼むから
[00:59:48] お願い
[00:59:49] 私を助けて
[00:59:55] ピカ様
[00:59:57] 本当にやってくれるのやっぱりやめるとか
[01:00:00] 言わないよね
[01:00:01] そうよく決心してくれたわお前を必ず
[01:00:05] ヒーローにしてあげるから
[01:00:07] 約束よ
[01:00:07] [音楽]
[01:00:10] 条件
[01:00:13] じゃあどうやってヒーローにするのあー
[01:00:18] 水面下で噂を広めてほしいとか
[01:00:23] ヒーローになりたくない何
[01:00:30] 両親に引っかかる」って
[01:00:32] まあいいよ私には好都合だわ
[01:00:35] うちの子たちがもっと輝くだろうから
[01:00:38] さもう話は終わったから
[01:00:41] メティスに会いに行こうあの
[01:00:43] 子たちは本社にいるわ
[01:00:46] さっきは死にそうな顔してたくせに
[01:00:49] 本当に回復が早いですね
[01:00:52] ヒカン様の優しい心を利用したのよ
[01:00:55] とりあえず移動しましょう
[01:00:58] 移動お前たちは来なくてもいいなんで
[01:01:03] お前たちが必要だと言った覚えはない
[01:01:06] けれど
[01:01:07] 必要なのはこいつだけ
[01:01:12] メディスを引き立たせるための場なのに
[01:01:15] 他の鉄くずがいてどうするの
[01:01:18] みんなで力を合わせて勝利しましたとでも
[01:01:21] 言うつもりまさか私たちは作戦について
[01:01:25] くるなってこと
[01:01:27] ええそうだけど
[01:01:29] 指揮官様やめよう
[01:01:32] 指揮官様が危なくなったらどうするの
[01:01:35] やらないの
[01:01:37] メティスを見捨てるの
[01:01:40] チキくん
[01:01:41] 安全が一番です
[01:01:42] [音楽]
[01:01:46] そうだよねやるよね
[01:01:48] [音楽]
[01:01:50] では
[01:01:53] 後方で支援します
[01:01:54] いや
[01:01:55] カメラには絶対に映らないようにします
[01:01:59] たくさんのラプチャを素早く処理すれば
[01:02:01] するほどさらに
[01:02:04] ヒーローのように見えるのではない
[01:02:05] でしょうか
[01:02:07] これはそうだけど
[01:02:10] それとも何か企んでるの
[01:02:13] 私たちが言ってはいけない理由があるとか
[01:02:16] いい
[01:02:18] わよそれくらいなら聞いてやるわ
[01:02:22] その代わり
[01:02:23] 絶対カメラに映らないこといいね
[01:02:27] わかりました
[01:02:27] もう終わったよね行くわよ
[01:02:33] 気をつけてください
[01:02:34] 指揮官
[01:02:38] 私たちのことは心配しないでください
[01:02:44] [音楽]
[01:02:53] ユニ
[01:02:54] 足は痛くない大丈夫
[01:03:03] [音楽]
[01:03:06] 主演の思い通りには行ってないよね
[01:03:13] ユニ
[01:03:18] ー私が土下座しないから
[01:03:20] だから約束を守らないの
[01:03:24] そうするわそれがすればいいんでしょ
[01:03:28] 10円が何かお願いしてる
[01:03:32] 三原
[01:03:33] 主演が何かお願いしてるよ
[01:03:37] 中に聞こえちゃうわよ
[01:03:40] 三原は嬉しくないの
[01:03:43] [音楽]
[01:03:46] 頼むからお願い私を助けて
[01:03:51] [音楽]
[01:04:02] 滅んじゃえ
[01:04:05] 早くメティスの記憶消去されたらいいな
[01:04:07] [音楽]
[01:04:09] 三原みたいにあなた
[01:04:14] 三原もそう思うよね
[01:04:20] 主演がユニから三原を奪ったから
[01:04:23] 主演も
[01:04:25] メティスを奪われればいいそれで平等
[01:04:28] でしょねぇそうだよね
[01:04:33] 三原が見晴らなら
[01:04:35] ユニと同じことを思うはずだよ
[01:04:38] そうだよね
[01:04:42] そうよ
[01:04:44] ユニの言う通りねだから他のところへ行き
[01:04:48] ましょう
[01:04:49] 主演がいないところで思いっきり
[01:04:52] 喜びましょう
[01:05:03] [音楽]
[01:05:08] [音楽]
[01:05:16] 入る前に一つだけ約束して
[01:05:22] 内容は後で話すからとりあえず約束して
[01:05:27] そう来なくっちゃ
[01:05:31] 中に入って私があの子たちに何を言おうが
[01:05:35] お前は何も知らないふりをして
[01:05:39] 私の言う通りだと笑って
[01:05:42] わかったって言って
[01:05:45] さっき
[01:05:46] 約束するって言ったでしょ
[01:05:49] 理由は聞かないでただ
[01:05:52] 言われた通りにやればいいのよ
[01:05:55] し
[01:05:57] 入るわよ
[01:06:01] お待た
[01:06:03] せねー今日はある人を連れてきたのよ
[01:06:10] バードボーイ
[01:06:18] 私たちは
[01:06:21] ミシリスインダストリーの放射前です
[01:06:24] 相変わらず市民団体のデモが続いています
[01:06:27] 連日声を上げている市民代表の声を聞いて
[01:06:29] みましょう
[01:06:31] 肉が自由意志を持って銃を持った瞬間
[01:06:35] その
[01:06:35] 銃口が地上の怪物ではなくアークの市民に
[01:06:39] 向かうことはないと保証できるのか
[01:06:42] 日経に自由意志とは何事か
[01:06:46] レディースにニフを日経22分を
[01:06:50] 歴史に対するアーク市民の進化は今後も
[01:06:53] 加熱すると思われますこれに対し
[01:06:57] 西日社の主演代表はどのような動きを
[01:06:59] 見せるのか
[01:07:01] メキシスを選ぶのかアーク市民を選ぶのか
[01:07:04] その行方が注目されて
[01:07:09] 俺のせいで毎日うるさいよね
[01:07:12] すまないな
[01:07:14] 久しぶりに会ったのにこんな
[01:07:18] 元気のない姿ばかり見せて
[01:07:22] ヒーローに
[01:07:24] こんな憂鬱な姿は
[01:07:27] 似合わないというのに何当たり前のこと
[01:07:30] 言ってんの
[01:07:31] こんな大勢の知らない人たちに犯罪者扱い
[01:07:34] されてるのに
[01:07:36] 気分が良くなるわけないでしょ
[01:07:45] みんななんであんなの見て暗くなってるの
[01:07:48] よ
[01:07:50] あんな話に怯えるなんてお前たちを作った
[01:07:53] のは誰だと思ってるの
[01:07:55] 私が誰か
[01:07:57] 忘れた
[01:07:58] 私は主演
[01:08:01] ミシリスのCEO
[01:08:03] 主演よ
[01:08:04] 私があんな世論一つ覆せないとでも思う
[01:08:09] お前たちに対して爆弾だとか
[01:08:13] ニフを埋め込むべきとか言わせるのも今日
[01:08:15] で終わりそう
[01:08:18] お前たちが再びヒーローになれる方法を
[01:08:21] 見つけたわ
[01:08:23] [音楽]
[01:08:26] どうやって
[01:08:28] アークに新しい防御壁を作るの
[01:08:32] [音楽]
[01:08:40] 100円
[01:08:42] [音楽]
[01:08:50] 気にしないでちょうだい
[01:08:52] さっき私が言った言葉を理解できなかった
[01:08:55] みたいね
[01:08:56] そうだよね
[01:09:01] 新しい防御壁ってどういうこと
[01:09:05] うちの会社また何か新しく開発したの
[01:09:10] ええしたわよ
[01:09:11] 前に作っておいたやつがあるのじゃあなん
[01:09:15] で今更使うわけもっと早く使っておけば
[01:09:18] よかったじゃない
[01:09:20] それは
[01:09:21] 費用の問題があったのよ
[01:09:22] [音楽]
[01:09:24] 作ってる途中にラプチャーに襲われて
[01:09:28] 研究所に近づけなかったの
[01:09:31] そうだったのか
[01:09:33] 私たちに言えばすぐに解決したのに
[01:09:37] お前たちはいつもお忙しかったでしょ
[01:09:40] そして私もこんな時に使う最後の切り札
[01:09:44] くらいは残しておきたかったし
[01:09:47] じゃあ私たちはその研究所へ行って
[01:09:51] 防御壁を活性化させればいいのか
[01:09:54] ええそれだけよ
[01:09:57] 研究所に活性化ボタンがあるからそれを
[01:10:00] 押して帰ってくればいいだけ
[01:10:03] 本当に
[01:10:04] 簡単だな
[01:10:05] たったそれだけのことで
[01:10:07] 本当に再びヒーローになれるのか
[01:10:10] ええもちろんよ
[01:10:13] ラプチャーを倒して
[01:10:15] 新たな防御壁を活性化させるお前たちの姿
[01:10:17] をカメラで撮って
[01:10:19] みんなに見せるからそう
[01:10:22] すれば
[01:10:23] 町にいるあの愚かな奴らも理解するはずよ
[01:10:26] このアークに
[01:10:28] メティスがいてよかったと
[01:10:30] [音楽]
[01:10:33] それはいい
[01:10:35] [音楽]
[01:10:37] 悪に新たな防御兵器をもたらすために
[01:10:39] ヒーロー
[01:10:43] メディスがいる限り
[01:10:44] 悪は何があっても安全だ
[01:10:47] 本当に素晴らしい計画だ
[01:10:50] 主演じゃ
[01:10:54] うまくやってくれると信じて待ってるわ
[01:10:56] 私に任せろ
[01:11:01] そうか
[01:11:03] 意味はよくわからないがとりあえず
[01:11:06] 笑おう
[01:11:09] [音楽]
[01:11:14] あのバカたちはバード
[01:11:18] ボーイがこの作戦に
[01:11:19] 指揮官として参加するのか
[01:11:22] [音楽]
[01:11:24] やはりそうかありがとうバードボーイ
[01:11:28] 私たちがヒーローとして復活できるよ
[01:11:31] 手伝ってくれるのかいつかこの恩は必ず
[01:11:36] 返せ
[01:11:38] あれ
[01:11:40] レディさっきから表情が暗いねぇこの計画
[01:11:44] に何か気になることでもあるの
[01:11:49] もうまたなの
[01:11:52] さっき私が計画を説明した時も
[01:11:55] すごく負担に思っていたのよ
[01:11:58] 自分にこんな大仕事が務まるのかって
[01:12:04] ということでこいつともう少し話し合う
[01:12:07] 必要がありそうだから
[01:12:09] お前たちは先に行って
[01:12:11] 任務の準備をしといてちょうだいあまり
[01:12:14] 気負う必要はないぞバードボーイ私の
[01:12:18] ヒーローパワーがあればどんな苦難や逆境
[01:12:22] に陥っても
[01:12:23] 軽く乗り切れる
[01:12:26] ヒーロー病がまた発症したかもう
[01:12:30] 黙って準備しに行こう
[01:12:32] わかったでは
[01:12:35] ヒーロー体操
[01:12:37] [音楽]
[01:12:40] 負けられないな私も行く
[01:12:45] あのバカたち
[01:12:48] じゃあ後でね
[01:12:49] ベビー
[01:12:50] [音楽]
[01:12:54] まぁ
[01:12:56] 別に間違ってないでしょ
[01:12:59] メティスがアークの新たな防御壁になるん
[01:13:01] だから
[01:13:05] ギャーギャうるさいわねじゃあ
[01:13:09] ヒーローのあの子たちに包み隠さず全部
[01:13:11] 話すの
[01:13:12] それでやらないって言ったらどうするのよ
[01:13:15] お前
[01:13:18] 責任取れるの
[01:13:20] さっきのあの子たちの表情見なかった
[01:13:25] またヒーローに戻れるって知った時のあの
[01:13:28] 顔
[01:13:29] 嬉しさのあまり飛び上がりそうだった
[01:13:30] でしょ
[01:13:32] [音楽]
[01:13:34] あんなにヒーローになることを望んでいる
[01:13:37] 子たちに
[01:13:37] お前たちの手でアークにラクチャを
[01:13:40] 呼び寄せて
[01:13:41] 全部片付けろって言えと
[01:13:44] バカなこと言うなそういう状況を作って
[01:13:47] あげないとこんな計画になんか乗らない子
[01:13:50] たち
[01:13:52] 私のメディスはああいう子たちなの
[01:13:55] [音楽]
[01:13:57] ええ分かってるけど
[01:14:00] それがどうしたの
[01:14:02] 私はどんな手を使ってでも
[01:14:04] メティスを再びヒーローにしたいの
[01:14:06] これ以上こんな部屋の中に隠れて
[01:14:10] 他人の顔色をうかがわせるわけにはいか
[01:14:12] ないわ
[01:14:14] その
[01:14:16] 達を地獄に追いやることになったとしても
[01:14:20] 再びヒーローとして
[01:14:21] 生かしたいの
[01:14:24] 分かったならあの子たちが真実を知るまで
[01:14:29] 顔に出しちゃダメよ
[01:14:31] お前の鉄くずたちにも口止めしておき
[01:14:34] なさい
[01:14:35] [音楽]
[01:14:40] [音楽]
