# NIKKE 第35章 转录
视频ID: hXuGXN0BU6Q
[00:41:52] 君も気合いで乗り越えたのか。どうだったんだ。是非参考にしたい。お前、その格好、どんなビランのコスチュームだ?初めて見たぞ。私の知らないビランがまだとは信じられん。
[00:41:54] [音楽]
[00:42:07] [拍手]
[00:42:12] [音楽]
[00:42:14] 私はビランではない。
[00:42:16] 冗談はやめろ。半分隠れた顔、薄汚れた服。
[00:42:22] 背負っている棺、重く迫力のある声。どう見てもどこか脇ありのビランだと全身でアピールしているだろう。何が違う?
[00:42:34] 違う。
[00:42:35] よし。今日初めて会ったばかりだが、そのビラン接積極性を高く評価する。今日からお前はビラン連合の一員だ。名前はグレイブと言ったな。
[00:42:46] [音楽]
[00:42:50] 今日からお前の名前はグレイトレイブだ。ビランダシいい名前だろ。気に入ったか?グレイトグレイブ。いや、長すぎるか。グレぐレと呼ぼう。気に入らない。
[00:43:08] [音楽]
[00:43:11] 全く出会った瞬間から迷惑をかけるなんて。ラプラスドレイク。
[00:43:19] そろそろ正式に合流の手順を気合い。
[00:43:22] [音楽]
[00:43:27] [拍手]
[00:43:36] [音楽]
[00:43:42] 気合い。ヒーローは気合いだ。グレグレ。今日から頼むぞ。グレグレ。だもう
[00:43:43] 2人とも私の前に星座。
[00:43:47] なぜだ?
[00:43:49] 断る。私は立っているぞ。
[00:43:52] 座りなさい。
[00:43:56] ラプラスドレイク。
[00:44:00] なんだ?
[00:44:03] あっちから先に話しかけてくるまで話すのは禁止。
[00:44:08] 分かった。さすがにそれはやりすぎではないわね。適切な判断だと思うわ。
[00:44:09] [音楽]
[00:44:12] [拍手]
[00:44:20] なぜだ?同じヒーロースピリットを持つもの同士。そんなものは持っていないわ。
[00:44:29] ビラン連合は抜けられないぞ。
[00:44:31] 加入した覚えはない。
[00:44:33] [音楽]
[00:44:34] 聞けないならもう帰るよ。
[00:44:36] 何?
[00:44:38] まだお土産も買ってないのに何を言っている?
[00:44:41] あの2
[00:44:42] 人は大事なお客様なの。困らせちゃだめ。
[00:44:43] [音楽]
[00:44:46] う、私たちが困らせてしまっていたのか。
[00:44:51] そう。
[00:44:54] グレぐレ。本当か?私から見て
[00:44:58] 先に話しかけるのは禁止。
[00:45:01] 分かった。
[00:45:04] 分かった。よし。
[00:45:05] これで静かになりそうね。
[00:45:08] うん。
[00:45:11] [音楽]
[00:45:14] あ、ええ、こんな経験は初めてだったからどうすればいいのか分からなかっただけよ。
[00:45:15] [音楽]
[00:45:22] 同じ考えだ。
[00:45:25] そう。2
[00:45:26] 人にとっても珍しいことで安心したわ。これが普通ではなくて
[00:45:32] 質問がある。
[00:45:33] 何?シンデレラとグレイブに話しかけられた時は答えていいのか?
[00:45:40] えっと、そうね。それくらいは許可してあげる。
[00:45:45] よし。黄色スピリットについて語り合う準備はばっちりだ。死んでなら。
[00:45:51] グレグレ。ビラン連合について知りたいことがあったら何でも聞いてくれ。
[00:45:56] [音楽]
[00:46:01] 考えてみれば一方的に黙らせようとした私も霊儀を守っていたとは言えないわ。
[00:46:09] それはそうだ。気持ちは分かるわ。
[00:46:13] まあ少しうるさいぐらいは我慢して。向こうから話しかけてこなくなっただけでもマしでしょ。
[00:46:23] じゃあ、そろそろ先に進まない?この先で
[00:46:26] 安全地帯を探して、そこで改めて状況を
[00:46:29] 整理しましょう
[00:46:31] [音楽]
[00:46:40] 。ここは安全そう。周囲に黒い液体も
[00:46:44] 見当たらないわ。そのようね。ただここ
[00:46:48] 以外は黒い液体ばかりね。
[00:46:52] レビアたんがいつ飛び出してきてもおかしくないわ。しばらくは大なしくしていると思うけど。
[00:46:59] そうね。前回の戦闘でほぼ限界まで追い詰めたから、いくらヘレティックでも回復には時間がかかるはず。ただかなり警戒されているでしょうね。戦力差を一気に覆返すことができる。
[00:47:17] 巨大化能力もまだ発言できないはずだから。ちょ、本当にここにいるのかしら?
[00:47:27] あ、私に聞いたか?シンデレラ。
[00:47:32] 答えよう。わからない。
[00:47:35] ええ、そう。ありがとう。
[00:47:39] レビアタンはダークマターの補充が必要だろう。
[00:47:44] ここにはダークマターが大量にある。いることはほぼ確実だ。
[00:47:51] 私に話しかけたか。グレぐレ答えてやろう。
[00:47:55] うーん。しまった。質問ではないから答えられない。
[00:48:02] ここにいるとしたらどんな場所?
[00:48:09] 可能性が最も高いのはレビアタにとって1
[00:48:10] 番安全な場所。
[00:48:12] つまりマターがどこよりも多く集まっている場所になるわ。
[00:48:17] ここはまだ入り口だから奥へ進み続ければいいだけね。ほとんど真っ黒な海のようだし進めるルートは限られているわ。
[00:48:23] [音楽]
[00:48:28] そうね。たどり着くこと自体は難しくなさそう。相手が逃げ出さなければの話だけど。あなたたちパにやっつけちゃったんでしょ。
[00:48:38] [音楽]
[00:48:40] 来てるって分かったら逃げ出すんじゃない?
[00:48:44] それはありえない。
[00:48:46] 断言できるの?
[00:48:48] ベヒモスだ。助けなければ。レビアタンはベヒモスのコアを持って逃げた。ヘレティックはコアがあれば復活できると聞いている。ここにはダークマターが大量にある。
[00:49:05] よくわからないが、ダークマターは
[00:49:09] フォービーストの力の源らしい。助ける
[00:49:13] 方法があるならここだ。だから絶対に逃げ
[00:49:17] ない。ここを離れない。仲間を助けるため
[00:49:22] に
[00:49:24] 。ベヒモスとレビアタンには仲間意識が見
[00:49:28] られました。直系と呼ぶ他のヘレティック
[00:49:31] とは雰囲気が違ったのです。互いをかい、
[00:49:36] 助け合い、
[00:49:38] そして仲間を守るために進化した
[00:49:41] レビアタンは必ず何かを仕掛けてくる
[00:49:44] でしょう。ベヒモスを助けるためには
[00:49:48] 私たちに妨害されたくないはずです
[00:49:54] 。フォースの目的を確認するべきです。
[00:49:58] 結論はその後でも下せます。
[00:50:02] 結論を下すって何の?
[00:50:04] 戦いを続けるかやめるか?
[00:50:08] ヘリティック相手にマリアンといいシンデレラといい不思議なこともあるもんだね。
[00:50:15] 私のことも知っていたようね。
[00:50:17] もちろん。来る前に教えてもらったよ。いくら極費でも一緒に任務を遂行するのに何も知らないのは問題でしょ。かにも警戒してますって感じで見てくるね。
[00:50:32] グレグレ
[00:50:33] グレぐレではない。そして人間は信用できない。私たちは人間じゃないよ。
[00:50:34] [音楽]
[00:50:42] お前たちは人間と一緒に生活している。そして今日初めて会った。
[00:50:50] 情報漏れが怖いってこと。心配しないで。私たちには任婦がないから。
[00:50:52] [音楽]
[00:50:58] 侵食された時アンチェインドで治療してもらったの。
[00:51:00] [音楽]
[00:51:02] 新食されたという話本当だったのね。
[00:51:07] うん。そう。気合いで直したんだ。
[00:51:11] 冗談だと思っていたわ。あんな言い方だから。
[00:51:16] 仕方ないね。そう思われても。とにかく私たちが口で言わない限り誰かに知られる心配はないってこと。
[00:51:25] お前たちが黙っているという保証は
[00:51:29] そうベビーが保証してくれるんじゃない?うーん。これでもダメなら他に使える手が
[00:51:32] [音楽]
[00:51:44] 信じるわ。
[00:51:45] 信じよう。
[00:51:47] 王子様がそう言うなら信じられるわ。
[00:51:51] 変人類の言葉なら信じてもいい。
[00:51:56] それは良かったけれど、意味ありげな微笑みは控えて欲しいわ。
[00:52:02] ベビーはすごいね。みんな夢中にしちゃうんだから。とにかくヘレティックと戦わずに話し合うなんて人筋縄ではいかなさそうだね。なんで話し合いにこだわるの?マリアンのため。それともシンデレラ?グレグ?グレイブがいたからよ。
[00:52:26] 私はわけも聞かずにグレイブの1番大切な
[00:52:30] ものを壊してしまいかけたから、もしそう
[00:52:33] なっていたら私たちは今ここにいなかった
[00:52:36] はず。お、今更だけどごめんなさい
[00:52:41] グレイブ。いや、
[00:52:44] こちらを言う。美しいわ。そういうことが
[00:52:50] あったからあらゆる可能性を探るべきだと
[00:52:53] 思うようになったの。可能性はあるでしょ
[00:52:56] 。フォービーストの目的を確かめられれば
[00:53:00] 私たちは仲間同士にだってなれるかもしれ
[00:53:04] ない。へえ。宿みたいな存在の
[00:53:08] ヘレティックとね。見ない間に随分守備
[00:53:12] 範囲が広くなった。指揮感を見て学んだ
[00:53:16] ことがあるわ。守備範囲が広いの色々な
[00:53:20] 意味
[00:53:23] でより好みしないという
[00:53:30] [音楽]
[00:53:38] かそういえば2人ともアニスとネオンの
[00:53:42] ことは聞いてこないわね。
[00:53:45] にする必要がないわ。もう分かっているもの。
[00:53:49] 分かっている。
[00:53:51] 今より美しくなるために準備をしているのでしょ。時間をあげればきっとそうなって帰ってくるはずよ。
[00:54:00] 変わるためには時間が必要だ。
[00:54:03] あ、私はアニスがあなたの言葉に刺激を受けたと思っているわ。
[00:54:10] そうね。
[00:54:11] 少し冷たい言い方をしてしまったから悪い
[00:54:15] 受け取り方をされるかもと思って気になっ
[00:54:18] ていたけど心配はいらなかったようね。
[00:54:22] よかったわ。思った通り自分でも分かって
[00:54:27] いたということね。どれだけ汚れても、
[00:54:31] どんな場所にいても根本にあるものは
[00:54:34] 変わらないわ。
[00:54:36] 信じて待っていれば誰よりも美しくなって帰ってくるはずよ。鏡もついているのでしょ。それなら何の問題もないわ。
[00:54:43] [音楽]
[00:54:48] そうだ。隣に誰かがいればそれだけで頑張れる。眠っていても返事がなくても関係ない。いるだけで十分だ。
[00:55:01] グレイブ
[00:55:02] 一緒にいるなら助け合うこともできる。
[00:55:06] あの2人互いにとって大切な存在か。
[00:55:12] ええ、そう思うわ。
[00:55:14] ならば問題はない。待っていればいい。
[00:55:19] そうだ。問題などない。じけない心があれば全て解決だ。そう思わないか。シンデレラ。
[00:55:29] えっと、そうね。
[00:55:32] ああ、本当ごめんね。
[00:55:37] それよりここだけどほとんど枯れてるね。
[00:55:42] そうみたいだ。草も木も生きている方が少ないぞ。言葉通り森が死んでいるみたいだ。ことは一体の黒い泥も全部ダークマターってことだよね。植物の状態からして普通の水なんてなさそうだし。
[00:56:04] そう考えるべきでしょうね。
[00:56:06] うん。多すぎない?
[00:56:11] そうだな。多すぎる。
[00:56:14] 周りをよく見て見渡す限り広がってる。これが全部ダークマターでレビアタンっていうヘレティックがコントロールできるなら勝ち目がないんじゃない?
[00:56:26] いや、勝てる。
[00:56:28] ええ、勝てるわ。
[00:56:30] [音楽]
[00:56:34] シンデレラ、私と考えが合うとはやはりヒーロースピリットを抱くもの同士通じるものがあるようだ。
[00:56:43] え、私は
[00:56:46] はい。はい。スーパーヒーローならそうでしょうね。私たちみたいな普通のニ家には大変なのよ。
[00:56:54] これってつまりアタンの武器が当たり一面に広がっててどこからでも私たちを狙えるってことだからね。
[00:57:04] 怖いのか?
[00:57:05] 怖いんじゃなくて慎重になってるの?
[00:57:09] お前はさっきから心配ばかりだ。そんなに心配するな。周りに移る。
[00:57:16] 周り?周りってどこ?
[00:57:19] お前の仲間たちだ。
[00:57:21] 心配するな。
[00:57:22] ヒーローパワーで全て解決だ。
[00:57:26] ビランは絶対に死なない。負けるだけだ。おでこ。
[00:57:31] [音楽]
[00:57:34] 今の発言はトリ消す。
[00:57:36] 素早い理解に感謝するわ。
[00:57:39] うん。ただどう考えても単独で扱える量じゃないわよね。
[00:57:46] そうね。あまりにも多すぎる。
[00:57:49] なんでこんなに貯めてるのかな?
[00:57:52] 他に法がないから。
[00:57:54] え、例えばここにダークマターを生み出す何かがあって、それが動かせない。だから仕方なくここを拠点にしたという可能性はクリスタル地帯も全てが制御できているような気配はなかったわ。
[00:58:13] 筋は通るね。それしかなかったのかも。分かった。
[00:58:18] 行ってみようか。流れみたいなものがあるから遡っていけば何か見つかるはず。シンデレラ
[00:58:21] [音楽]
[00:58:28] 何?大丈夫か?
[00:58:31] どうして具合が悪そうに見える?
[00:58:33] [音楽]
[00:58:34] そうではない。ここに来る前から表情が暗い。
[00:58:39] 隠しきれていなかったのね。
[00:58:42] シンデレラに変化があれば私には分かる。
[00:58:47] ごめんなさい。気を使わせてしまって
[00:58:50] いい。問題は理由だ。
[00:58:54] うん。精霊のことを覚えている。
[00:58:59] 水レーンわからない。
[00:59:04] リトルマーメイドという名前は
[00:59:07] 分からない。
[00:59:09] そう。私たちの昔の仲間よ。最後まで一緒に戦ってくれた大切な仲間。
[00:59:18] 思い出せない。
[00:59:19] 大丈夫よ。また仲良くなれるわ。このダークマターと呼ばれているものが精理の使っていたものとてもよく似ているの。ビアタも関係がありそうなことを言っていたわ。つまり生き延びていたということよ。まだ生きている可能性が高いわ。
[00:59:23] [音楽]
[00:59:44] 精霊は強いもので
[00:59:47] も怖いの100年の間に何があってどんな
[00:59:53] 風
[00:59:54] に変わった
[00:59:57] か
[00:59:59] そうよ。私の知らない誰かになっていそう
[01:00:03] で何があっても根本は変わらない
[01:00:08] 。あなたが言ったことでしょ。
[01:00:12] 自分で否定していたら話にならないわ。信じて。変わっていたら元に戻せばいいだけ。そうね。吹けばいいだけよね。
[01:00:18] [音楽]
[01:00:27] もちろんな。吹くのは私が1
[01:00:28] 番得意なことの1
[01:00:29] つだ。毎日毎日シンデレラを吹いたキラキラと輝くように。
[01:00:31] [音楽]
[01:00:41] なぜ泣く?シンデレラな
[01:00:44] んでもないわ。嬉しいからよ。
[01:00:48] [音楽]
[01:01:01] 社長。あ、アニス。あ、久しぶりですね。
[01:01:05] [音楽]
[01:01:08] 地上でビッグに活躍していると聞きましたよ。
[01:01:13] それで今はしばらくアークでレスト中ですか?
[01:01:17] いえ、すぐに戻るつもりです。ラピと指揮官様が待ってますから。
[01:01:23] おお、頑張りすぎるのもプロブレムですね。バニフ知っているでしょう。
[01:01:33] 辛ければ
[01:01:34] いつでもカバックしていいんですよ。ミはオルウェイ待っていますからね。
[01:01:36] [音楽]
[01:01:41] お、
[01:01:43] その話です。社長、私正式に引退したいと思います。
[01:01:47] [音楽]
[01:01:53] ごめんなさい。
[01:01:54] え、今なんと言いたいことはそれがオールではないはずですよ。
[01:01:58] [音楽]
[01:02:04] その社長が私を引退じゃなくて長期休暇って形にしてくれていたことは本当に感謝してます。でももう決めました。はっきり終わらせて真剣にやってみます。地上奪感。
[01:02:14] [音楽]
[01:02:23] ふん。そのアニス社長、話が全然わからないのですが、引退というのはここで働いていたんですか?
[01:02:33] [音楽]
[01:02:36] そうとも言えるわね。えっと、私アイドルだったのよ。
[01:02:39] [音楽]
[01:02:54] トインクルトライスター略してTT
[01:02:55] スターっていうユニットでそうなんですか実は私は学校の先生だったんですよ。
[01:03:04] え、ネオンが
[01:03:06] どう考えても
[01:03:09] 私の言いたいことがよくわかりましたね。
[01:03:12] 本当の話よ。
[01:03:14] うん。
[01:03:18] あの、冗談ならやめてください。
[01:03:21] だから本当だって。社長、アニスがこんなこと言ってますが
[01:03:28] ルーですよ。
[01:03:30] まさか2人揃って。
[01:03:33] オ、それならみが個人的にキープしていた証拠を見せましょう。
[01:03:35] [音楽]
[01:03:46] そんなこれがアニスダンスしながら歌ってますよ。だからアイドルだし
[01:03:56] な。なぜそんなことを?
[01:03:59] アイドルだから。
[01:04:01] そ、そのすごく爽やかな雰囲気ですし、元気いっぱいに見えますがアイドルだから。う、やめて。これ以上見せないで。
[01:04:07] [音楽]
[01:04:13] [音楽]
[01:04:16] うん。おお。
[01:04:20] あ、アイドルだったのよ、私本当に。
[01:04:25] うん。さあ、黙ってないで。何か言ったらどう?それがどうしてこんなあ有あり様に?
[01:04:39] あんたね。
[01:04:41] 私ちょっと寝てきます。
[01:04:44] 目が覚めたらきっとアニスがアイドルじゃなかった元の世界に戻っているはずです。
[01:04:50] いい加減信じなさいよ。
[01:04:54] もうとにかく私は昔アイドルをやってて事情があって引退しようとしたの。それを社長が長期休暇ってことにしてくれてたのよ。
[01:05:02] [音楽]
[01:05:09] いつか戻る気になるかもしれないからずっと待ってるって。
[01:05:12] [音楽]
[01:05:15] イエーイ。ミはアニスのカンバックを信じていましたからね。バ正式に引退とはショックですよ。ビッグシャック。
[01:05:17] [音楽]
[01:05:31] ごめんなさい。でも社長私本気です。
[01:05:36] [音楽]
[01:05:39] フームmeアニスなぜですか?
[01:05:43] 指揮官様とラピも足でまいになりたくありません。ネオンより役に立ちたいです。
[01:05:45] [音楽]
[01:05:51] なぜそこで私を
[01:05:57] [音楽]
[01:06:02] 胸を張ってカウンターズの一員になりたいからです。足を引っ張るお荷物じゃなくてエースとして活躍できるくらいの仲間に
[01:06:03] 2人は地上の奪還を目指してます。
[01:06:07] 私もその力になりたいです。マヤニス強くなりましたね。そう。新しく前に進むために過去と決着をつけたいと。
[01:06:12] [音楽]
[01:06:23] はい。わがままですみません。でも本気で成し遂げたいんです。みんなで地上た感。うん。
[01:06:28] [音楽]
[01:06:37] お願いします。ノーノのノー認められません。
[01:06:45] え、あの、ここまで行ったのに。
[01:06:50] ノー。
[01:06:54] アニスのマインドはよくわかりました。バッツビジネスはビジネス。ゆに今まで投資したエルセング返してもらいますよ。
[01:07:05] ええ。
[01:07:07] 本当に
[01:07:10] いい。いくらぐらいノー。マネーの話ではありません。マーニスユにはきっちり引退ライブをやってもらいます。
[01:07:25] はい。TT
[01:07:27] スタートしてのファイナルステージ。それが終われば引退を認めます。
[01:07:35] あの、待ってください。
[01:07:41] そんなことしてる場合じゃのはただ1
[01:07:42] つテスターアニスのインタライブ交渉はインポシブンですか?
[01:07:52] 嘘でしょ?
[01:07:54] そしてユネオン
[01:07:56] え、私ですか?
[01:07:59] U
[01:07:59] をアニスのレンジマネージャーに任命します。
[01:08:04] アニスの引退ライブがスムーズに終わるように全力でサポートしてくださいね。
[01:08:11] [音楽]
[01:08:12] はい。
[01:08:14] ははは。エンターテイメント。
[01:08:19] [音楽]
[01:08:24] エンターテイメントどころじゃないわよ。
[01:08:30] [音楽]
[01:08:40] はい、遠すぎます
[01:08:45] 。上から確認してみたけれど、周り道は
[01:08:49] なさそうよ。どうにかしてここを渡るしか
[01:08:52] なさそう。うー、まったね。シンデレラに
[01:08:58] 1人ずつ運んでもらうしかないかな。
[01:09:01] 危険すぎるわ。空中で狙われたら終わりよ
[01:09:04] 。川の中に何が隠れているかもわからない
[01:09:08] わ
[01:09:09] [音楽]
[01:09:11] 。飛行することは可能ですが、別の2件を
[01:09:15] 抱えているとバランスが崩れて制御でき
[01:09:18] ませんですが、言われてみれば便利そう
[01:09:22] です。開いた時間に訓練しておきます
[01:09:25] [音楽]
[01:09:26] 。可能だと思います。に比べればかなり
[01:09:31] 軽いですから。ただ加速や急な方向転換を
[01:09:36] する時に星や首の骨が折れるかもしれませ
[01:09:39] ん
[01:09:41] 。しかし指揮感なら大丈夫という気がし
[01:09:45] ます。福部に穴が開いても治りました
[01:09:50] から冗談です。仕方ない。私が1人ずつ
[01:09:55] 投げ飛ばそう。愚か者目。
[01:09:58] それで怪我をしたらどうするつもりだ?泳いで行くぞ。
[01:10:03] は、その手があったとは。天才か。
[01:10:07] 泳げるわけないでしょ。すぐ沈んじゃうよ。
[01:10:12] お前文句を言うなら別の案を出せ。
[01:10:18] 文句ばかりでは何の役にも立たんぞ。よく見ていろ、私の泳ぎを。
[01:10:24] ドレイク、待った。
[01:10:29] 助けてくれ。よく考えてみたら私は泳げない。
[01:10:34] このまま沈めとこうかな。私が行くわ。
[01:10:42] ヒーローに助けられるとはなんという屈辱。
[01:10:47] ヒーローではないわ。あら。
[01:10:56] シンデレラ。
[01:10:58] ああ、ごめんなさい。死ぬかと思った。
[01:11:05] 全く
[01:11:07] 騒ぐな。今一番辛いのは私だ。
[01:11:11] ああ、もうイライラする。
[01:11:15] ダークバターに感知機能でもあったらどうするつもり?わざわざ接触しないように気を使ってきたのにそれをああ、だめ。当分落ち着けなさそう。
[01:11:29] 愚か者目。感情に支配されるな。心を落ち着けろ。
[01:11:34] あんたのせいでしょ。生まれ変わってから言いなさい。
[01:11:38] シンデレラ何を見た?
[01:11:41] みんなあれを見て。
[01:11:53] 何らかのデこい。それにしてはあまりにも
[01:11:59] シンデレラに似ている。
[01:12:03] 近くに行ってみるわ。
[01:12:05] いや、その必要はないよ。こっちに来てる。
[01:12:18] 分かった。パードボーイ。
[01:12:20] あなたは何?なぜ私の形をしているの?セイレーン。
[01:12:38] シンデレラ触るな。
[01:12:40] 大丈夫。
[01:12:41] 心配ないわ、グレイブ。精霊よ。
[01:12:55] 行きましょう。
[01:12:56] 大丈夫なの?
[01:12:58] 安心して。何も怒らないわ。
[01:13:09] [音楽]
[01:13:17] 硬いね。でも硬さは調節できそう。何かに
[01:13:22] 反応するタイプの液体金属かな。うん。
[01:13:27] 条件反応型。私が触っても反応しないし。
[01:13:33] 死んでるら触ってみてくれる?私だけに反応するみたいね。
[01:13:45] 生体認識かな?何かの条件で変形するように設定されてるみたい。そしてその条件はシンデレラが触れること。これは一体
[01:13:59] 精錬伝えたいことがあるのかもしれない。
[01:14:03] シンデレラ
[01:14:05] にこれが本当にあなたの言った通り昔の
[01:14:10] 仲間精霊のものならあなたに何かを伝え
[01:14:14] たくて残してあるのかもしれないわ。
[01:14:17] あなたの形をしている上にあなたが触れた
[01:14:21] 時にしか反応しないならもしかしたらどこ
[01:14:25] かに連れて行こうとしているのかもしれ
[01:14:27] ないわ。私がここに来ると分かっていたの
[01:14:31] かしら。
[01:14:34] その可能性は低いと思うよ。たった1
[01:14:35] 人のための仕掛けはあちこちにばらまいてるってことになるけど確率的には部が悪すぎるし。
[01:14:45] わずかな確率を突き破ることこそヒーローの使命だ。
[01:14:50] ああ、あんたは好きに突破して。とにかくあれは有効的な仕掛け。そんな感じだよね。
[01:15:00] 見かけたらシンデルラが接触してみて損をすることはなさそう。クレイブ、私胸が壊れてしまいそう。
[01:15:14] そうか。シンデレラがそうなら私もそうだ。ドキドキする。
[01:15:24] [音楽]
[01:15:34] 何?誰が来たの?今確かにダークマターに
[01:15:39] 違和感
[01:15:40] がはあ。あいつらだよね
[01:15:45] 。あ、思ったよりかなり早いじゃん
[01:15:50] 。どうしよう。
[01:15:56] エヒモス
[01:15:58] 、まだ生き返らないの?ラプチャーの部品
[01:16:02] を置いといても食べてないし
[01:16:05] 。死んじゃったのかな
[01:16:08] ?ねえ、
[01:16:12] エヒモス生きてる?コアはある
[01:16:16] もまだ死んでないよね
[01:16:20] 。死んだらダめ。分かってるでしょ?まだ
[01:16:25] やることが残ってるんだ
[01:16:27] から一緒に一発食らわせてやるって言った
[01:16:31] よね
[01:16:35] 。生きてるでしょ?答えてよ。ねえ、黙っ
[01:16:42] てじゃ退屈でしょ。ジとバハムートは連絡
[01:16:46] もつかないし
[01:16:48] 。そもそもに行ってるし。
[01:16:55] エヒモス。あいつ
[01:16:58] ら私たちを追いかけてきたみたい。
[01:17:03] 多分とどめを指しに来たんだよね。もし
[01:17:07] 戦ったら負けるよね
[01:17:10] 。あんたがいたのに勝てなかったし
[01:17:14] 。私1人じゃ勝てるはずないよ。私は巨大
[01:17:19] 化もできない。
[01:17:22] そこないだから。からさ、
[01:17:26] 逃げてもいい?私
[01:17:30] 逃げちゃうよ
[01:17:32] 。マジで行っちゃうよ。行っちゃうからね
[01:17:39] 。ああ
[01:17:42] 、ツッコみでもいいからしてよ
[01:17:47] 。行ってくるね、男の血。
[01:17:53] アンチェインドコントロールできそうな気
[01:17:55] がしたって言ってたよね。いいよ
[01:17:59] 。私もやってみる。あんたにできたんだ
[01:18:03] から
[01:18:04] 。私にもできるはず。待ってて、ベヒモス
[01:18:09] 。あんたは私を守ってくれた。今度は私が
[01:18:14] 守ってあげる。
[01:18:19] [音楽]
[01:18:29] すっかり終わってるよ。外償はないけど頭
[01:18:33] に銃弾を打ち込まれる痛みを経験したわけ
[01:18:36] だしでも検査結果は当然異常なしだから
[01:18:41] 特に治療方法もないってこと
[01:18:45] [音楽]
[01:18:46] 。2人のことは私も知らないよ。極費中の
[01:18:50] 極費って感じ。手がかりも見つけられ
[01:18:54] なかったよ
[01:18:56] 。主演の話に戻すけど、人生最大の危機
[01:19:01] って感じだね。何をしたのかとか、どんな
[01:19:04] バツを受けたのかとかは世間には知られて
[01:19:07] ないけど、アークのおいさんたちには何も
[01:19:11] かも知られてるからどういう意味か分かる
[01:19:17] ?そういうこと。あちこちから突き上げ
[01:19:21] られてるけど、塔の本人があんな状態だ
[01:19:24] からまともに対処もできてないし、今
[01:19:28] できるのは私たちメティスを前に出して
[01:19:32] いいイメージを作るぐらい。でも私たちも
[01:19:36] 思うように動けなくなってて
[01:19:40] 。知らなかったと言ってもアークに
[01:19:44] ラプチャーを呼び寄せたのは褒められた
[01:19:46] ことじゃないでしょ。そんなわけで仕事が
[01:19:50] ぶっつり途切れちゃったんだよね。最近の
[01:19:53] 作戦といえばテロの時にアブソルートと
[01:19:56] 共同で地上のラプチャーを止めたぐらいか
[01:19:58] な。それだってニヒリスターを止められ
[01:20:02] なくてアークの中に入られちゃったし。
[01:20:05] ミシリス最強アークのヒーローなんて
[01:20:08] 肩書きもしってね
[01:20:11] 。主演があなたたちを送り込んできたのも
[01:20:16] 単なる善意ではないのでしょうね。
[01:20:18] 当然自分の利益のためよ。
[01:20:23] 今のワークで最も重要な作戦の1
[01:20:24] つである地上探索任務にメティスが投入された。そしてそこで活躍したメティスは未だ顕在。その背後にいる主演もちろん顕在。
[01:20:30] [音楽]
[01:20:39] そういうこと
[01:20:40] でしょうね。全員なんて言葉は似合わないわ。
[01:20:44] [音楽]
[01:20:48] 私たち何が私たちねえ。
[01:20:49] [音楽]
[01:20:55] [音楽]
[01:20:56] ドレイク、黄色おやつを食べるか。
[01:21:00] ふ、そんなものはカロリーが高いだけのジャンクフードだ。高タパ低カロリーのビランおやつを食べろ。一緒に食べようと思って多めに持ってきた。
[01:21:12] だがビランおやつは美いしくない。
[01:21:16] 愚か者目。健康より味にこだわるとは。ヒーロー失格だ。
[01:21:23] どう見える
[01:21:26] [音楽]
[01:21:32] でしょ?まあ、私にはちょっときついけどね。あの
[01:21:33] 2
[01:21:35] 人は特別だけど私は普通の2
[01:21:36] 家だから色々振り回されてるだけだから色々考えちゃうよね。
[01:21:43] [音楽]
[01:21:45] 何も話そうともしてないよ。
[01:21:49] 何も考えていないように見えてもそうではないはずよ。試す価値はあると思うわ。
[01:21:54] [音楽]
[01:21:55] うん。あの子たちはああやっていろんな意味で特別で言てくれたらいいの。グ郎なんて背負うのは私だけで十分。
[01:21:58] [音楽]
[01:22:09] 私はミシリスインダストリーの2家で主演
[01:22:12] が可愛がってるメティスの2家だから嫌
[01:22:16] だろうと何だろうとオーナーの意思に従う
[01:22:19] しかないでしょ。今まで通り全力でできる
[01:22:23] ことをやるだけ。それで主演を支えるの。
[01:22:27] ま、それが部下の勤めってもんでしょ
[01:22:31] [音楽]
[01:22:33] 。うん。
[01:22:35] 正直わかんないよ。どうすればいいのかな?シンデレラ。
[01:22:44] [音楽]
[01:22:47] シンデレラ。あ、呼んだ。
[01:22:50] 大丈夫か?
[01:22:52] ええ、大丈夫よ。心配しないで。
[01:22:55] 見つけたいのか?
[01:22:57] 何を?
[01:22:59] 精霊だ。ずっと精霊の話をしていた。
[01:23:04] あの仕掛けは精霊のもので間違いないのか?
[01:23:08] え?なぜここにあって私の形をしているのかまでは分からないけど間違いなく精霊のものよ。
[01:23:18] [音楽]
[01:23:19] 探したいのだろう。
[01:23:23] そうしたいはとても会いたい。
[01:23:28] 探せばいい。
[01:23:29] ええ、でも今じゃないわ。王子様を手伝わないと
[01:23:33] [音楽]
[01:23:36] 話をすればいい。分かってくれるはずだ。手伝ってくれると思う。
[01:23:37] [音楽]
[01:23:43] だからこそ今は言えないの。王子様ならすぐにでも探そうとしてくれるはずよ。でも王子様への恩返しが先、それが終わってからよ。
[01:23:46] [音楽]
[01:23:57] シンデレラがどうしたいのかが重要だ。
[01:24:00] 私は分からないわ。グレイブはどうしたいの?
[01:24:01] [音楽]
[01:24:08] 私も分からない。
[01:24:10] そうよね。みんな止まって。進む前に様子を見た方が良さそう。
[01:24:11] [音楽]
[01:24:24] 私もそう思う。
[01:24:26] [音楽]
[01:24:28] 卵だ。
[01:24:30] 卵だな。
