# NIKKE 第38章 转录
视频ID: QlRHtXiPc1I
[00:40:46] [音楽]
[00:40:54] そのうん。なんでもない。アニスも元気みたいね。舞台で大活躍してるって聞いたわ。
[00:40:56] [音楽]
[00:41:06] うん。素敵な仲間にたくさん出会えたんだ。
[00:41:09] [音楽]
[00:41:11] そっちには向いてたみたいだな。ここにいる時はダだをこねてばっかりだったのに。さっぱりした。
[00:41:17] [音楽]
[00:41:20] あ、向いてるなんて思ったことはないわ。気がついたらこうなってただけ。才能のある奴らはみんなそう言うんだ。ま、うまくいってるみたいでよかった。
[00:41:26] [音楽]
[00:41:40] 才能
[00:41:41] フリカ
[00:41:43] 私才能あっ
[00:41:47] たあったぞ。羨ましくなるぐらいだ。そう
[00:41:52] だったんだ。ほら、練習再下だ
[00:41:57] [音楽]
[00:42:02] 。アニス店舗が少し遅い。
[00:42:06] た。これでどう?
[00:42:09] そうだな。それでいい。うん。次のパート行くか。
[00:42:11] [音楽]
[00:42:19] あ、これつもミスしてたところ。
[00:42:23] 心配するな。気楽にやればいい。う、
[00:42:25] [音楽]
[00:42:29] いいわね。
[00:42:31] 少し早いな。これくらいなら目立ないか。
[00:42:34] [音楽]
[00:42:38] オ、あとは仕上げだけだ。仕上げて
[00:42:41] [音楽]
[00:42:44] 今日の練習はおしまい。
[00:42:47] 振り付けの練習はここまでだ。
[00:42:49] え、もう
[00:42:52] ああ、相変わらずうまいよ。これならライブはなんとかなるだろう。
[00:42:54] [音楽]
[00:42:58] そう。
[00:43:00] ああ、問題ない。
[00:43:02] 歌わ
[00:43:03] 明日軽く一度合わせよう。最近のツールは出来がいいから大体のことはカバーしてくれる。
[00:43:08] [音楽]
[00:43:12] そう。
[00:43:13] おお。こんなにあっさりマスターできるなんてアニスはすごいですね。
[00:43:19] ミントステージの用意はできてるのか?
[00:43:22] ええ、3日後100席ぐらいの箱よ。
[00:43:26] よし。
[00:43:30] ミントはどう思ってるの?
[00:43:32] 何がこのままライブしてもいいと思う?私はアニスと一緒にライブができるだけで嬉しいわ。
[00:43:42] そう。プリ以上は前に来てたものがまだある。体型はみんな少し変わってるが直せるはずだ。会社の衣装チームに話しておく。
[00:43:51] [音楽]
[00:43:57] サイズを測って手直しすればすぐ終わるはずだ。
[00:43:58] [音楽]
[00:44:01] そう、私やっぱりやめる。練習楽しかったわ。
[00:44:13] はい。急にどうしたんですか?
[00:44:16] 気に入らないのよ。
[00:44:18] 何が気に入らないんだ?
[00:44:21] 本気で聞いてる?
[00:44:23] ああ、
[00:44:25] やる気ないじゃない。
[00:44:27] 振り付けのタイミングが少しずれれば
[00:44:29] 大騒ぎ。歌の口パなんてありえない
[00:44:33] 。おまけに体型を衣装に合わせろって。
[00:44:37] あれだけこだわってたでしょ。それが今
[00:44:41] はこれぐらいでなんとかなる。どういう
[00:44:45] ことよ、それ。あさに手を抜いてるじゃ
[00:44:49] ない。やりたくないならそう言っ
[00:44:53] て余計めになるでしょう。
[00:44:55] アニス、そんなことは
[00:44:58] なら引退ライブをしたいって言われたらわあ、久々の再決だって喜ばなきゃいけないってことか。新曲に合わせて新しい衣装も作ってでっかいステージも用意しろってことか。
[00:45:08] [音楽]
[00:45:15] そこまでは望んでないわ。私だって常識があるもの。
[00:45:17] [音楽]
[00:45:23] 本当ですか?
[00:45:24] 当たり前でしょ。でもだからってここまで手を抜かなくたっていいじゃない。勝手にグループを抜けて仲間に迷惑かけて今更何もなかったみたいに引退を一緒にやってくれなんて自分勝ってだって分かってる。
[00:45:28] [音楽]
[00:45:53] 々しいお願いだってこともでも最後に1
[00:45:55] 回ぐらいもう1度1
[00:46:00] [音楽]
[00:46:04] 回ぐらいなあ。適当にやろうとしてるのはどっちだ?お前はたった
[00:46:05] 1
[00:46:06] 回できればいいだけなんだろ。だから私もそうしてるだけだ。
[00:46:11] 1回だけだからやる気がないのはどっちだ
[00:46:14] よ。言われて仕方なくやってるんだろ。
[00:46:18] お前がやりたいって言ったわけじゃない。
[00:46:21] そのくせ私たちにやる気を求めるのは自分
[00:46:26] 勝ってだな。
[00:46:31] 昔のことを思って一緒に組んであげてるの
[00:46:35] 。やるならやる。やめるならやめろ。その
[00:46:39] 代わり。私たちの熱意を期待するの?
[00:46:43] あ、ねえ、今な何て言った?組んであげてる?
[00:46:45] [音楽]
[00:46:53] ああ、何かおかしいか?こっちは別にどっちだっていいんだ?
[00:46:59] プリカ
[00:47:00] なんだよ。何も間違ってないだろ。
[00:47:03] [音楽]
[00:47:11] 分かったわ。1
[00:47:12] 回でいいから。ちょっと待。
[00:47:16] う、皆さん、あんまりじゃないですか?私のアイドルにこんな冷たく当たるなんてマネージャーとして黙っていられません。アニスは別に困って情けをかけてもらおうとしているわけではないんですよ。
[00:47:20] [音楽]
[00:47:32] 組んであげる。逆ですよ。アニスが皆さんと組んでくれるんです。
[00:47:38] 寝ぼけたことを言うな。今のアニスには何もない。こっちはどうだっていいんだ?
[00:47:40] [音楽]
[00:47:46] いいえます。曲も衣装もステージも何もかも。全部揃えて戻ってきますからっぷりトレーニングしていてください。後でアニスの顔に泥を塗らないように。
[00:47:51] [音楽]
[00:48:05] 今予定していたライブにはアニスは出しません。そんな手抜きライブにトップアイドルを出すわけにはいきません。イメージが下がります。こっちが用意したものを見てすがりつく準備でもしておくことです。
[00:48:06] [音楽]
[00:48:23] 好きにしな。行きましょう。アニス。
[00:48:26] え、早く。
[00:48:29] あ、う露骨すぎたか。
[00:48:30] [音楽]
[00:48:39] さあ、私は客観的に見られないもの。アニスがびっくりするぐらいマネージャーの子が怒ってたしバレてはいないんじゃないかしら。
[00:48:53] お芝居も行けそうね。プリカ
[00:48:56] 刺激しようって言ったのはお前だろう。
[00:48:57] [音楽]
[00:49:00] そうね。アイドルじゃなくたって今の
[00:49:03] アニスは期待の星だもの。歌も衣装も
[00:49:08] ステージだって私たちより立派なものを
[00:49:12] 揃えられるはずよ。人脈があるってそう
[00:49:15] いうことよね。人気もお金もない。
[00:49:19] アイドル崩れの私たちとは違うわ。新曲
[00:49:23] なんて誰も書いてくれないし。
[00:49:26] 新しい衣装も広いステージも用意なんてできないし。
[00:49:32] 急に現実を突きつけてきたな。夢を見てる人たちばっかりだから現実的なことを考える人もいないとね。
[00:49:42] 正直気に入らないな。ここまでする必要があったのか。
[00:49:47] 何が気に入らないの?
[00:49:50] アニスを利用するみたいじゃないか。
[00:49:52] あら、それならそうとアニスに言ってもいいのよ。立派なものなんて用意するのは私たちの懐じゃ難しいから助けて欲しいって。
[00:49:55] [音楽]
[00:50:08] そんなことできるか。
[00:50:12] ほら。だからこれが1
[00:50:13] 番いいのよ。アニスは私たちに大きな顔ができる。私たちはアニスの力を借りられる。
[00:50:21] 違う。
[00:50:23] 何が
[00:50:24] アニスと一緒にライブができるからいいんだ。新しい曲に、新しい衣装に広いステージでさ。
[00:50:26] [音楽]
[00:50:35] え、そうね。
[00:50:38] スカプンプン。
[00:50:41] ちょっと落ち着いて。
[00:50:44] 落ち着けるわけがないでしょう。な
[00:50:46] んで私より怒ってるのよ。
[00:50:49] 当然でしょ。
[00:50:51] 私の仲間が侮られたのですから。
[00:50:54] 出来底ないのアニスと組んでいただけるだけで感謝完激ですとでも言うべきでしたか。
[00:51:01] でもそれが事実でしょ。
[00:51:05] よく聞いてください。アニス。アニスのことを馬鹿にしていい人はいません。それが許されるのは私とラピと師匠だけです。
[00:51:07] [音楽]
[00:51:17] 許さないわよ。大無しじゃない。
[00:51:24] こうなった以上、最高の曲も衣装も何もかも全部準備してあの
[00:51:25] 2人を逆ふんと言わせてやりましょう。
[00:51:28] どうするつもり?言っとくけど、他に昔のなんてないわよ。
[00:51:31] [音楽]
[00:51:35] 私が探します。
[00:51:38] レオンがどうやって
[00:51:41] マネージャーの実力の見せどころです。アニスは練習でもしていてください。
[00:51:47] 昔の感覚を取り戻しておいてくださいね。
[00:51:50] ああ、別にいいじゃない。とにかく済ませればいいだけよ。なんでそこまで必死に?
[00:51:55] [音楽]
[00:52:00] それでいいんですか?
[00:52:02] あ、本当にそれでいいんですか?アニス。
[00:52:05] [音楽]
[00:52:06] 昔の曲に無理やり手直した衣装で何人見てくれるかも分からないステージで引退ライブがしたいんですか?
[00:52:10] [音楽]
[00:52:18] 詳しい事情は知りませんが、アニスが本気でアイドルをやっていたことは分かります。練習の時とてもキラキラしていましたからきっと輝かしい過去なんでしょ。その過去と決別するということなんですよ。
[00:52:19] [音楽]
[00:52:35] こんなお別れの仕方でいいんですか?
[00:52:40] アニスいもういいってほど可愛く見せて立派なステージにして素敵なフィナーレにしたい。そうでしょ。私に任せてください。アニスは可愛くなる準備でもしておいてください。
[00:52:41] [音楽]
[00:52:47] [音楽]
[00:53:05] と勢いよく言ったまではいいのですが良かったのは勢いだけですね。全くです。
[00:53:08] [音楽]
[00:53:13] そういうわけなので都合よくお知り合いなどいないでしょうか?芸能関係の方とかいるように見えますか?
[00:53:24] いえ、それならなんで聞いたんですか?我にでもすがる思いというやつです。
[00:53:27] [音楽]
[00:53:32] 業界人と言えば1人知り合いがいますね。
[00:53:36] え、お、本当ですか?
[00:53:40] 会社で不正を働いていたプロデューサー県作曲家です。私たちが高成官に送りました。それは知り合いとは言えないような。
[00:53:48] [音楽]
[00:53:52] ああ、そうでした。そろそろ出所でしたね。
[00:53:58] はい。1週間前です。それから出所記念
[00:54:02] パーティーと勝して遊び続けていたようで
[00:54:06] アウターリムの有施設施設に消えていこう
[00:54:09] 。行方は不明です。自分から足を踏み入れ
[00:54:13] て失踪ということでまともな操作はされて
[00:54:17] いません。どこ言いました?そういう
[00:54:22] 店のは2家ですがそっちではなくてその前
[00:54:27] です。アウターリムですね。
[00:54:30] 首相でアウターリムって普通そうなんですか?スリルが欲しくて仕方ない人はいつも目新しいものを求めていますから。アウターリムは中央政府の監守が届いていない場所です。逆に言えば何でもできるということです。
[00:54:46] [音楽]
[00:54:55] [音楽]
[00:55:01] 噂によると色々な。う、アウターリムのどの辺りかは分かりますか?念のために行っておきますけど、アウターリムは
[00:55:02] 1
[00:55:10] 人で行くような場所ではありませんよ。今は特に荒れているようですし、アニスは練習があるのでしょ?ネオン
[00:55:11] 1
[00:55:11] 人で行くには危険すぎます。私たちも投稿できません。
[00:55:16] 観察部隊のものとして理由なくアウターリムに立ちいることは許されませんので修愛などの権技をかけられかねません。
[00:55:21] [音楽]
[00:55:25] いえ、そこは大丈夫です。そちらには当てがあるので。お、
[00:55:31] とにかく場所を教えてください。私が話をつけてきましょう。
[00:55:36] 水が館長の方に高速で接近中。
[00:55:43] 幕をよいさ。狙いはベヒモスの卵のはず。ラプラス。
[00:55:45] [拍手]
[00:55:52] [音楽]
[00:55:56] ラプラスバスター。
[00:56:12] 消えた。え、上だ。
[00:56:21] [音楽]
[00:56:27] 早かったでしょ?私が本気出したらこうなるんだから。
[00:56:34] 甘く見ないでよ。分かった。
[00:56:38] 捕まえたぞ。
[00:56:41] あ、
[00:56:42] ドレイクスペシャルだ。は、どうだね。
[00:56:49] [音楽]
[00:56:56] なんでこんなに強いの?何?
[00:57:03] くらえ。
[00:57:12] く屈辱だ。ずベヒモスの卵。
[00:57:22] 分かった。
[00:57:23] そこまでよ。
[00:57:28] ベヒモスの卵は渡せない。まずは私たちの話をしっかり聞いてもらうわ。
[00:57:33] あ、お話するって雰囲気じゃないよ。
[00:57:39] あなたたちの目的について思い当たったことがあるの。話し合いましょう。お互いのためになるかもしれないわ。
[00:57:48] うるさい、うるさいうるさいうるさい。
[00:57:52] どうせ裏切るんでしょ。
[00:57:55] こうなると思ったわ。まずは静かにさせるしかないわね。話はそれからでも遅くないわ。
[00:58:03] 私の速さについてこられると思ってるの?
[00:58:06] 最高速度に到達するまでは時間がかかるみたいね。その前に追いついて穴を開ける。瞬間的な加速は私の方が早いわ。
[00:58:12] [音楽]
[00:58:25] な、動かないで。動いたらこの2
[00:58:26] 人の鼻からダークマターを突っ込むから。あ、頭の中をダークマターまみれにされていいなら動いてみなさい。ああ、うるさい。黙って。
[00:58:42] 人質を取るつもり。ベヒモスが見たらがっかりするでしょうね。
[00:58:49] もう黙って本当に突っ込むからね。
[00:58:54] ああ、本当頭に来るね。メティスが人質に取られるって。あのメティスがねえ、ラプラスドレイク。人質ってどういうことよ。
[00:59:07] [音楽]
[00:59:12] そんなんでミシリス最強を名乗るつもり。う
[00:59:21] うた。ダークマターが燃やされた。え、ジブ投げ捨てて。
[00:59:34] うう。うい。いいた。いった。
[00:59:40] たたたたたたでも言うこは聞かなきゃ。そうすれば捨てられない。う、高いところは怖い。
[00:59:52] [音楽]
[00:59:58] 好きにはさせない。
[01:00:04] 行かせない。邪魔。
[01:00:11] [音楽]
[01:00:13] どいて。え、このベモスを守るんだ。
[01:00:27] [音楽]
[01:00:31] レビアた、話をしましょう。
[01:00:36] うるさい。
[01:00:51] 気やすく呼ぶな。私に話しかけないで。
[01:01:02] [音楽]
[01:01:04] デビー、あいつらすごく高いところに
[01:01:08] 放り出してきたから墜落したらこなご々な
[01:01:11] になって後も残らないよ。偉いでしょね。
[01:01:16] 頑張ったでしょ。うん。
[01:01:21] 偉いね。私だってやればできるでしょう
[01:01:27] 。こんな高さはいくらヒーローでも
[01:01:34] 愚か者目なんとかしろ。2
[01:01:35] 人とも聞こえる?
[01:01:37] マックスベル
[01:01:40] 強化パーツをアドマイヤーゴの肩パルトで射出するよ。
[01:01:44] 落下速度と射室速度を計算してランデブ
[01:01:47] ポイントはとにかく大体合わせて送るから
[01:01:52] 正確な座標計算はできないしパーツが合う
[01:01:55] かどうかも確認できてないけどそれでなん
[01:01:58] とかし
[01:01:59] てよし送れそれに原則機能はあるかないよ
[01:02:08] と耐久性がバカみたいに上がるだけそんな
[01:02:11] 機能ないなんという
[01:02:13] ことだ。パワーアップして墜落しか
[01:02:22] 大丈夫。主演が作って私が挑戦してる。ミリ最高の天才
[01:02:23] 2人の合作だから。
[01:02:26] それなら信用できるな。
[01:02:29] パーツはいつ来るんだ?
[01:02:31] もうすぐ。2
[01:02:32] 人とも信じてるからね。あなたたちが特別だってことをもう一度証明して。
[01:02:52] メディスがどういう存在かあのバカヘルティックどもにとこと見せつけてやりなさい。は疲れた。あと
[01:02:53] 1
[01:02:53] 人だけだよね。あれもきじゃない。本物の人間。
[01:03:01] うん。わあ。
[01:03:04] 私本物の人間なんて本当に久しぶりに。あ、
[01:03:11] 男だ。男。男だよね。男。レビー。あれ?あれ?もらわないといるって言ってたよね。あ、そうだね。
[01:03:32] レビー具合悪いの?なんで元気ないの?
[01:03:36] 私たち勝ったのに。そうだ。私も大活躍し
[01:03:42] たでしょ。だから褒めて。地図が最高だ
[01:03:45] よって言ってよね
[01:03:51] 。おうん。そうだけど。
[01:03:59] え、そんなの知らないけど。な、何て呼ばれてるの?
[01:04:08] ヒーロのが一体何よ。
[01:04:22] [音楽]
[01:04:35] ヒーロー山。
[01:04:38] ビラン山。はふ。うわえ。
[01:04:40] [音楽]
[01:04:46] 動かないでくれ。買ったことがない新兵器だから力加減はできないぞ。
[01:04:49] [音楽]
[01:04:52] ヒーローの言った通りだ。それにパワー
[01:04:56] アップ直後は1番活躍するものだからな。
[01:05:01] 正直強すぎて驚きだ。ここまで強くなる
[01:05:06] 必要があっただろうか
[01:05:10] 。たった今空中で
[01:05:14] シューンバーとな。
[01:05:20] スネルならそちらに向かっているわ。カタパルトで飛び出していたところよ。急ぐからって。それでも行くって。
[01:05:21] [音楽]
[01:05:28] [音楽]
[01:05:41] うわ、し、本当にバカみたいな耐久性ね。戦術なんか考える意味もないわ。おっと、運には聞かれないようにしないと。
[01:05:50] [音楽]
[01:05:56] [音楽]
[01:06:01] [拍手]
[01:06:01] [音楽]
[01:06:09] もちろんメティ全体の強化計画だったからね。それでラプラスとレイクはどう?強くなったヒーローとビラン。今の気分は
[01:06:19] [音楽]
[01:06:31] 言うまでもない。最高だ。
[01:06:34] 恐ろしい。強くなりすぎた自分が
[01:06:43] 。いいね。いいね
[01:06:46] 。正直言って話し合いなんて気分じゃない
[01:06:50] けど優しくできるのも強者の物件だもんね
[01:06:54] 。ヘレピックのおちびちゃんたち私たちと
[01:06:58] お話ししよっか。
[01:07:01] 当然選ぶ権利はないから。え、
[01:07:05] [音楽]
[01:07:16] [音楽]
[01:07:19] そさあね。知らないって。
[01:07:26] そ、さっきから何言ってんの?レビー。もしかしてもう教えちゃったの?黙ってて。バカ。バカって。あ、ごめん、レビー。渡したらまただから。何の話かわかんないってば。
[01:07:34] [音楽]
[01:07:53] ベビー、アークに連れて行こうよ。
[01:07:56] そうすればどうとでも聞き出せるでしょ。あの卵も一緒に持って帰ればアーク的には大喜びだろうし。はく。
[01:08:06] [音楽]
[01:08:09] 大しく手が滑りそうで心配だ。
[01:08:13] もちろん協力できるなら話は別よ。私たちの目的には重なる部分がある。戦うだけが道ではないと思うわ。
[01:08:16] [音楽]
[01:08:27] あんたたち裏切られるよ。
[01:08:31] 誰に?
[01:08:33] 私に。私はそういうやつだから。それが私だから。私は裏切るの。
[01:08:46] レ、レビー。
[01:08:49] 協力。いいじゃない。したいならすれば。
[01:09:04] 私は裏切るけどね。私はそういう存在だから大切なものだって平気で捨てられる。そういう
[01:09:05] 6でなし。何の音?
[01:09:11] [音楽]
[01:09:15] 私ではないぞ。腹は減っていない。
[01:09:18] そりゃそうでしょう。これがお腹の音だったら大問題だよ。
[01:09:19] [音楽]
[01:09:27] 一体何なの?
[01:09:28] [音楽]
[01:09:38] [音楽]
[01:09:42] 周辺の水移が急激に上昇中。例の銀色の木から大量の液体が湧き出し始めてるわ。すごい勢いだわ。このままだと当たり
[01:09:43] 1面あっという間に銀色の海よ。
[01:09:46] は、嘘でしょ?まさか急にそんなどういうことか知っているの?
[01:09:50] [音楽]
[01:09:58] 今まで大しかったのに。
[01:10:00] なんで急
[01:10:01] [音楽]
[01:10:07] におれよれを垂らしてるの
[01:10:13] ?あの、あの木、銀の
[01:10:18] 木なものを感じ取ってよれがよだれが
[01:10:23] 溢れ出してるの
[01:10:25] 。
[01:10:26] なんでこんなものなんてあんたたちあんたたちだ。あんたたちが美味しそうだと思われてるの。
[01:10:30] [音楽]
[01:10:41] 分かるように説明してくれる?
[01:10:48] [音楽]
[01:10:51] 触れてはだめ。
[01:10:53] あ、私が大丈夫なの?ダークマターは解けないの?混ざるだけでも多分長くは持たないよ。混ざりすぎると制御できなくなるから。
[01:10:56] [音楽]
[01:11:17] [音楽]
[01:11:19] レビアたん、何か方法は?
[01:11:22] あ、あの木を燃やせば焼いて止めれば。よし、行くぞ。
[01:11:26] [音楽]
[01:11:32] 消し済みにしてやろう。
[01:11:34] わけがわかんないけどフルパワーで行くよ。もちろんだ。エレクトリックパワーフルチャージ。
[01:11:37] [音楽]
[01:11:45] [音楽]
[01:11:51] オーバードライブメキスバスター耐えたというのか。あれってただの木じゃないわよね。
[01:11:57] [音楽]
[01:12:11] 効果はあったわ。
[01:12:17] [音楽]
[01:12:20] 噴出する液体が半分以下に減少してる。ち、こうなったらパワーを
[01:12:21] 40%
[01:12:23] に上げてやる。今のは5%だったからな。
[01:12:26] それなら私は20%
[01:12:28] だ。さっきは0.2%だった。150%
[01:12:33] 出しなさい。
[01:12:34] ラストアンカーアドバイアゴ攻撃準備。
[01:12:36] [音楽]
[01:12:39] いいスケロ点は
[01:12:41] あい特の塔にフルチャージす。
[01:12:45] 車線上に障害物なし。このままで大丈夫。
[01:12:49] 目標銀色の呪目らしきも全員衝撃と先行に備えてイージスキャノン発射。
[01:12:56] [音楽]
[01:12:58] あいアイスさ。
[01:13:00] 私たちももう1発行くよ。
[01:13:02] 今度は本当のフルパワーでエレクトリックパワーフルフルチャージオーバーオーバードライブメティスバスターバスター
[01:13:04] [音楽]
[01:13:16] 圧倒的え
[01:13:23] [音楽]
[01:13:50] [音楽]
[01:13:55] え、な、なんだこのプチャーなの?一体これはグラトニー。
[01:13:58] [音楽]
[01:14:14] グラトリーがごめんなさい。許して。お願いだから。レビーしっかりして。あ、ごめん、ごめん。ねえ、
[01:14:23] [音楽]
[01:14:38] [音楽]
[01:14:41] レビーた。
[01:14:44] [音楽]
[01:14:53] ほとんど口しかないぞ。
[01:14:56] 自信がないのか?
[01:14:58] まさかついてこい。ビロン。
[01:15:01] ついてくるのはお前だ。ヒーロー。
[01:15:05] 行こう。エンカウンター。
[01:15:10] [音楽]
[01:15:23] パを脅この未練で全てをやりをする剣はなかなかやれない。すぐに行こう。
[01:15:26] [音楽]
[01:15:38] 今日の私どうの本質を見せてあげる。こもっと鋭くなかなか終わらせようぜ。
[01:15:44] [音楽]
[01:15:51] すぐに行こう。
[01:15:54] 報告を脅かすたち審判の槍りをすぐに本気を見せてあげる。
[01:16:05] [音楽]
[01:16:11] う、華麗なる勝利じゃ。
[01:16:15] 逃げたぞ。
[01:16:19] ち、地中に隠れるなんて。
[01:16:23] 追撃してやる。
[01:16:25] だめよ。中の状態が分からないわ。まずはここから離れないと不確定要素が多すぎる。
[01:16:35] レビー、レビー。あ
[01:16:41] [音楽]
[01:16:43] 、これはダめそう
[01:16:49] 。了解
[01:16:51] [音楽]
[01:16:52] 。あれ?私言うこと聞いていいんだっけ?
[01:16:58] 大変。地からエネルギー反応。
[01:17:02] エネルギーパターンはイージスキャノンとメティスバスターみたい。
[01:17:07] [音楽]
[01:17:10] ヘルム館長大きいのが来るよ。
[01:17:11] [音楽]
[01:17:16] 全員衝撃に備えて。
[01:17:17] [音楽]
[01:17:46] [音楽]
[01:17:53] レビーを確ける
[01:18:00] ついではめられちゃっ
[01:18:06] [音楽]
[01:18:10] た
[01:18:12] 。こんなの
[01:18:15] 冗談でしょ。辺り一体が消しとんだようね
[01:18:18] 。
[01:18:20] 言葉通り凄まじい力だ。聞く。
[01:18:25] みんなは無事。
[01:18:28] [音楽]
[01:18:29] 状況は良くないわ。負傷者もなし。でも
[01:18:34] アドマヤゴが大打撃を受けた。中身は無事
[01:18:38] だけど走行はもうボロボロよ。関西兵器も
[01:18:42] 全て使用不能。
[01:18:44] 幸い金色の液体もここまでは飛んでこなかったようだけれど、今回の後悔はここまでのように。え、悔しいぜ。
[01:18:49] [音楽]
[01:18:56] でもみんなが生きてるだけで奇跡だと思うよ。
[01:19:02] [音楽]
[01:19:05] あの口はラプチャー。
[01:19:08] 今更だけど古いデータベースで見たことあったよ。
[01:19:12] グラトニ起動エレベーターの近くに出現し
[01:19:15] てICBMを食べた後エネルギーを
[01:19:19] 吐き返して発射地点をめちゃくちゃにした
[01:19:21] らしいの。本当に大昔のデータだけど。
[01:19:26] それならかなり長い間ここに潜んでいたの
[01:19:30] かもしれないわね。多分そうだね。この
[01:19:34] 辺り最初から全部グラトニーの縄張り
[01:19:37] みたいなものだったのかも。一刻も早く
[01:19:40] 距離を取るべきね。レビアタンとジズの
[01:19:42] 様子から推測する限りしばらく活動してい
[01:19:46] なかったようだけど、あの銀色の木から
[01:19:50] よだれと言っていたわね。あれが大液線だ
[01:19:53] とするならきっと私たちの何かに気づいた
[01:19:56] からよだれを垂らして捕食しに来たという
[01:19:59] ことね。あんな形で地標に出しておく必要
[01:20:03] あった?初めて見た時私たちはどう考えた
[01:20:07] ?不思議な木だな。
[01:20:13] [音楽]
[01:20:27] 近づいてみようとか。多分それが狙いよ。異質なものなのに警戒より先に好奇心が湧くような形。ちまんまと引っかけられたってことね。ラペラスドレイク
[01:20:28] 2人とも無事でしょ。
[01:20:30] もちろんだ。
[01:20:31] 驚きすぎて全く動けなかったが、もう問題はない。
[01:20:36] そう。
[01:20:37] とにかくあのヘリティックたちも連れてここを離る。あれ?どうした?
[01:20:42] [音楽]
[01:20:48] なんだ?またあの口じゃないだろうな。逃げる気だ。飛んで地図。
[01:20:54] [音楽]
[01:21:00] [拍手]
[01:21:07] [音楽]
[01:21:14] 確保します。
[01:21:15] うわー。
[01:21:19] [音楽]
[01:21:23] しまった。打ち渡す。それはやめておいた方がいいわ。ああ、だよね。
[01:21:25] [音楽]
[01:21:33] ああ、うまくいかない。何?何の音?あと少し頑張って。あそこの島に着けば休めそう。うん。頑張るね。
[01:21:36] [音楽]
[01:22:03] デビー何かしてる?地図が何かしてる音じゃないの?ちょっと暑くなってきた気がするんだけど。そうだ。
[01:22:04] [音楽]
[01:22:12] [拍手]
[01:22:14] [音楽]
[01:22:18] [拍手]
[01:22:19] [音楽]
[01:22:20] [拍手]
[01:22:21] [音楽]
[01:22:30] もうま、マザーホエール。お、大きい。こんなに大きいの初めて見たよ。それに色もちょっと違わない?そんなこといいから避けて。桐が方向転換。
[01:22:33] [音楽]
[01:22:34] [拍手]
[01:22:35] [音楽]
[01:22:50] [音楽]
[01:22:50] [拍手]
[01:22:53] [音楽]
[01:22:59] でき
[01:23:01] [音楽]
[01:23:02] た
[01:23:05] よ。
[01:23:09] [音楽]
