# NIKKE 第23章 转录
视频ID: XorqH_pRkuA
[00:47:50] ます残念ですが手伝うことはできません
[00:47:55] はす
[00:47:57] こと大事なことですいやアウターリムが
[00:48:01] 壊滅するかもしれないんだぞそれより大事
[00:48:04] なことってなんだよ
[00:48:07] モラあなたが正しいと思うことをして
[00:48:10] ください信じています
[00:48:13] えおいおい
[00:48:18] お切りやがっ
[00:48:24] たおいチンピラ
[00:48:27] 何覚さんアウトアリムに来てくれ行かない
[00:48:33] 俺を助けてくれよ番が防壁を開けて
[00:48:39] ラプチャー治を実に産型2をアウターリム
[00:48:42] に送ったって対人兵器で武装し
[00:48:47] てなんで知ってんだむしろなんで知らない
[00:48:51] の
[00:48:53] 分がになったつもりでえてなさいよ
[00:48:58] うん俺はドバじゃないぞはいはいそうね
[00:49:04] とにかく私は忙しいの行けないから勝手に
[00:49:09] やってえお前にも大事な用事があんの
[00:49:14] かよく分かってんじゃんだからそこで
[00:49:18] 持ちこたえて
[00:49:22] いいこいつらマジであ
[00:49:27] ねえおなんだ助けに来てくれるのか頑張っ
[00:49:32] て
[00:49:34] ね
[00:49:36] おいまいったなあいつらでも呼んだ方が
[00:49:41] いい
[00:49:41] か
[00:49:43] いや今回は本当に死ぬかもしれないもしも
[00:49:48] のことがあっ
[00:49:51] たら
[00:49:53] 姉貴やばいっすよ
[00:49:57] 何がドバが今アウターリムに向かってる
[00:50:00] そうですドバ
[00:50:03] 自らはい姉貴そこにいるんですよね早く
[00:50:09] 逃げた方がいいんじゃないですかこない
[00:50:13] 姉貴たちがドバを思いっきり痛い目に
[00:50:15] 合わせましたよねそのせいで大騒ぎになっ
[00:50:19] たけどマスタングの兄貴が間に入ってくれ
[00:50:22] て謹慎程度で住んだのにまたそこで邪魔し
[00:50:27] たら今度はさすがに黙ってないっすわ
[00:50:31] あいつに何ができるってんだよ
[00:50:33] あまあそっし
[00:50:37] けど
[00:50:39] だろなんとかして罪をなすりつけようと
[00:50:43] するはずです今回は戦わない方がいいです
[00:50:47] よなあなんですかもうまた覚とかなんとか
[00:50:53] 言うつもりならやめてください
[00:50:55] ねってのはなあこいつ話をぶった切る技
[00:51:00] ばっか覚えやがってとにかくロバンのやり
[00:51:04] たい放題にさせたらここにいる奴らは全員
[00:51:08] 死ぬぞせめて俺だけでも立ち向かわないと
[00:51:13] そんなことしたらマジで大ごとああすい
[00:51:17] ませ
[00:51:18] んなん
[00:51:21] だうわ
[00:51:24] おなんだよ
[00:51:27] マジでやばいですよ今度は何だ
[00:51:31] よさの姉貴はアウターリムの人たちの武装
[00:51:35] を解除させてるしロザンナの兄貴はドバが
[00:51:39] 集結させた兵力をぶっ潰すらしいです
[00:51:44] よ
[00:51:45] [音楽]
[00:51:54] はあぶ
[00:51:57] これはまずいですよ俺たちも自分の身を
[00:52:00] 守らないといけないってのに手近に説明し
[00:52:03] ます全員武装を解除して待機してください
[00:52:09] いや見てくださいよEHがアに穴を開けて
[00:52:14] アウターリム全体がテロリストの音になっ
[00:52:17] たんですよドバが放っておくと思いますか
[00:52:21] あいつはアウターリムを一するのが人生の
[00:52:25] 目標みたいななんですよドバ福司令官が
[00:52:30] アウターリムに量産型2で編成された先発
[00:52:34] 隊を送ったと聞きましたほら言ったでしょ
[00:52:38] だから俺たちも立ち向かう準備をドバ副司
[00:52:42] 令官がアウターリムに兵力を連れてきたと
[00:52:45] しましょうもしその時アウターリムの皆
[00:52:49] さんが武装をしていたとしたらドバはどの
[00:52:53] ような行動に出ると思いますか
[00:52:57] 皆さんは被害者である必要があり
[00:53:02] ますま実際そうなんですがそのためにも
[00:53:08] 武装を解除して
[00:53:10] ください誤解を招くような行いは避けたい
[00:53:13] のですだからドバにはそんなことどうでも
[00:53:18] いいんですって奴なら俺たちの話も聞かず
[00:53:21] に一層するに決まってますよ
[00:53:25] あ先にお伝えするのを忘れていました気が
[00:53:29] せいて順序を間違えてしまったようです
[00:53:33] んドバはあなたたちに指1本触れられませ
[00:53:38] ん私さの生命界があなたたちを守ります
[00:53:44] からドバだけではありませんたえ誰であっ
[00:53:48] たとしてもアウターリム全体にテロの責任
[00:53:52] を問うのならその言葉の重さを背負わせ
[00:53:56] ます
[00:53:59] さあ皆さん武装を解除してくださいお願い
[00:54:03] するのはこれが最後ですよくご存知だと
[00:54:08] 思いますが私もうちのものも目的を達成
[00:54:13] する方法はよく知っていますからその方法
[00:54:17] を知りたいのであれ
[00:54:18] ば握った武器を手放さないでください
[00:54:27] はいおあれを片付けるのに何分
[00:54:33] 必要量産型2系20機ですか20分
[00:54:38] ください知ってると思うけどあいつらは
[00:54:41] ドバが連れてきたのよ普通の量産型とは
[00:54:45] 違ってリミットが解除されてるはずだから
[00:54:50] 2に打たれることはないだろうって油断し
[00:54:53] ないで精鋭部隊でもあるし分かりました
[00:54:58] よしそれじゃあやっちゃって
[00:55:01] はいあ戦うのは下のやらに任せてあんたは
[00:55:06] ここで私とおしりねなんか文句ある分かり
[00:55:10] ました問題ありませ
[00:55:21] ん真っ昼間の都会で銃撃戦をする日が来る
[00:55:25] とはね
[00:55:26] ラプチャーのせいで人々がシェルターに
[00:55:29] 避難しているからできたこと
[00:55:32] [音楽]
[00:55:33] ですあれ以外にあとどれくらいいんの50
[00:55:38] 機ほど用意していると聞きまし
[00:55:40] た20機は今バンが直接引いてアウター
[00:55:45] リムへと向かったそう
[00:55:47] ですばっかじゃないのーにラプチャーが
[00:55:52] 攻め込んできてんのに助けるどころ
[00:55:55] か一掃するために動くってねえどうまとも
[00:56:00] なやつだと思う冗談でも外とは思えません
[00:56:05] あいつアウターリム出身だって言ってたよ
[00:56:09] ねドバですかええあらゆる情報を
[00:56:14] 売り飛ばしてアウターリムを地獄にする
[00:56:18] 代わりにアークには平和をもたらしたって
[00:56:21] いう鉱石で最短期間で副司令官になった音
[00:56:27] ドバなんでそんな生き方を選んだのか消し
[00:56:32] たいからではないでしょうか
[00:56:36] ケスはいドバにとって1番の恥はアウター
[00:56:41] リム出身ということでしょうから私の考え
[00:56:45] はちょっと違うね私はねあいつはただ人を
[00:56:51] 殺すのが好きなんだと思うつまりクズって
[00:56:55] こと
[00:56:57] それも正しいかそれよりなんでこんなに
[00:57:01] 時間かかってんの相手は精鋭部隊ですから
[00:57:06] ね行こっか実践は久しぶりだけどこの後の
[00:57:11] 予定も詰まってるしねはい
[00:57:21] ボスそうかさとロザンナが
[00:57:27] どうするつもりですか援軍を防いで
[00:57:31] アウターリムのみんなに武装させないよう
[00:57:33] にしてるなら俺がやるべきことはただ1つ
[00:57:37] ここに攻め込んでくるドバの部隊を止める
[00:57:42] 1人でですか
[00:57:44] ああ1人でだ援軍が遅れるだと何アンダー
[00:57:51] ワールドクイーンが
[00:57:56] あいつらまたして
[00:57:59] もマスタングは一体何をしてるんだ暴れて
[00:58:04] いる奴らを話にするとは構わんどうせ
[00:58:09] ゴミ捨ての掃除だ多くの兵力が必要なわけ
[00:58:14] でもない全員よく
[00:58:17] 聞けアウターリムの中にる生きているもの
[00:58:21] は
[00:58:21] 全てテロリストだと考えろ全部
[00:58:26] ぶち殺せ全員
[00:58:29] 撃
[00:58:34] はいお前らこの中に入る気かここは俺の
[00:58:40] 縄張りだ通れると思うな
[00:58:45] よここでも邪魔をするのか死にたくない
[00:58:50] なら道を分けるんだなこっちのセリフだ
[00:58:54] ぜにたくねならうせろそれかここじゃなく
[00:58:59] て他の入口に
[00:59:03] [音楽]
[00:59:05] 行けよできるわけねえよな福司令官様が
[00:59:10] たった1人の2のせいで回り道するなんて
[00:59:14] 味だもんな最後の警告だどけだからここは
[00:59:23] 俺の縄張りだってけど
[00:59:27] もちろん通る方法はあるぜ俺を殺すか通行
[00:59:32] 量を払うなら通してやるよ通行量なら安い
[00:59:37] ぜ俺に一発殴ら
[00:59:40] せろそしたら通してやる
[00:59:43] [音楽]
[00:59:48] よお起きたみたいだな
[00:59:53] ダーリ具合はどうあれし君起きたん
[01:00:01] だ窮地に追い込まれた人間が落ちぶれるの
[01:00:04] は当然のことじゃない
[01:00:12] か一緒にテレビでも見ようかと思ってな今
[01:00:17] テトラコネクトでアークの様子を生中継し
[01:00:19] てるんだそれがアーク全域に放送されて
[01:00:23] いるもちろん
[01:00:26] シェルターでも放送中
[01:00:32] だまあ次の放送の準備でもしてるん
[01:00:38] だろう放送が始まるまで話でもしよう
[01:00:42] アンチェインドは見つかった
[01:00:45] か見つけたんだなやっぱりすごいやつだな
[01:00:51] 何でも解決できるのかちなみにこの状況は
[01:00:56] どうやって解決するつもり
[01:01:05] だおい今のこの状況はむしろお前があれ
[01:01:10] ほど望んでいた2の待遇が改善される
[01:01:14] きっかけになるかもしれないんだ
[01:01:18] ぞメティスの話から始めようか奴らは妊婦
[01:01:24] の
[01:01:24] ない手段がなくなった兵器が果たして人間
[01:01:29] 側に立って戦ってくくれるだろうかという
[01:01:32] 非常に根本的な問をアークに投げかけた
[01:01:37] その結果どうなったメティスに妊婦を
[01:01:42] メティスに
[01:01:43] 妊婦アークのクズどもも知ってたんだニケ
[01:01:47] という兵器は制御不可能な状態かでは自分
[01:01:52] たちを守ってくれはしないって事実を
[01:01:56] そうなっても仕方がないような扱いをして
[01:01:59] きたからな勝利の女神となるべき2を人間
[01:02:04] の盾としてしか扱ってこなかっ
[01:02:09] た簡単さ主演なら何かすると思ってた
[01:02:16] さすがにアークにラプチャーを呼ぶなんて
[01:02:19] バカな真似をするとは思わなかったかな
[01:02:22] とにかくあの派手なシのおかげで
[01:02:26] ニは妊婦がなくても人類を守る守護心だと
[01:02:30] いう印象を植えつけることができ
[01:02:36] たそう思うかじゃあなんでアークに穴を
[01:02:41] 開けたと
[01:02:44] 思う新しい目標ができたからさメティスの
[01:02:49] ラプチャー相当により印象けられた勝利の
[01:02:52] 女神というイメージ
[01:02:54] はな賞を見た感想に過ぎにそれじゃあニケ
[01:03:00] はただのピエロになるだけだだから穴を
[01:03:04] 開けた絶対に安全な場所だと思っていた
[01:03:07] アークにラプチャーという元子の恐怖を
[01:03:12] 呼び込むその時アークはどんな選択をする
[01:03:16] のか見たかったん
[01:03:20] だテレビ越しに見ていたラプチャーという
[01:03:23] 存在が目の前に現れたら
[01:03:26] 人間は恐怖を感じるはずだつまりアークに
[01:03:31] ラプチャーが現れたらみんなが同じ恐怖と
[01:03:35] 対面し初めて完璧な平等が生まれるん
[01:03:42] だその通り私も誰かが死ぬのは嫌だ悲しい
[01:03:48] から
[01:03:51] なだからあの時間にしたんだ
[01:03:55] イベに合わせて最低限の
[01:03:59] 犠牲まあそんなところだなだがエニックが
[01:04:05] 予想以上に優秀だった人間をシェルターに
[01:04:09] 押し込んでまたニとラプテレビ越しの存在
[01:04:14] にしてしまったんだそこにヘレティックと
[01:04:17] いう最悪な敵がアークへやってきたこの時
[01:04:22] はちょっと期待したよヘティは通人類に
[01:04:27] 対する悪意そのものだからなだが危機が
[01:04:32] 訪れる前にピルグリムという伝説の2が
[01:04:37] それを倒したさらに刺激的な勝になった
[01:04:41] だけさメティスの時は地上で今度はアーク
[01:04:46] で距離が少し近づいただけで一方的に
[01:04:50] 楽しむには変わりないこのままじゃ私がは
[01:04:56] 見られないん
[01:05:01] だ言っただろアークの選択が見たいん
[01:05:08] [音楽]
[01:05:11] だゴス部隊の話をしようか人類のために
[01:05:16] 全てを捧げてきた彼女たちを勝利の女神だ
[01:05:20] の人類の希望だのって持ち上げておいてが
[01:05:26] した瞬間捨てた断絶されていたから簡単に
[01:05:31] 選択できたんだろうなその次は第一次地上
[01:05:36] 奪還戦人類のために喜んで脳を捧げ2に
[01:05:42] なった彼女たちに再び勝利の女神という
[01:05:45] 称号をつけたそして第1次地上奪還戦が
[01:05:51] 失敗に終わるとアークは2を迫害しめた金
[01:05:57] と資源をつぎ込んだのに勝利をもたらさ
[01:06:00] ない厄介者になったんだニフォビアとか
[01:06:04] いう言葉はこの時生まれたこれも人間と2
[01:06:09] の断絶が招いた事態だ第2次地上奪還戦の
[01:06:14] 失敗最初の芸能人2件プリティの
[01:06:19] 死亡モデルZXのゴッデスフール事件事件
[01:06:24] が起きる
[01:06:26] アークの論は揺れ動い
[01:06:28] たを崇めて迫害して崇めて迫害してこれは
[01:06:37] 人間とニの断絶が原因で起きてるに違い
[01:06:40] ないニはアークにいるが存在していない
[01:06:45] テレビ越の小の出演者に過ぎないドラマを
[01:06:50] 見て人物をけなしたり褒めたりするのと
[01:06:53] 同じさなぜか画面越しの存在だからさ
[01:06:59] アークはラプチャーを怖がらないなぜか
[01:07:03] 画面越しの存在だからさアークは2に感謝
[01:07:08] しないアークは2をけなさないなぜか画面
[01:07:14] 越しの存在だからさアークは2について何
[01:07:18] も知らないラプチャーのことも何も知ら
[01:07:22] ないだから教えてやらないと
[01:07:26] ニケのことラプチャーのことを完全に理解
[01:07:29] すればアークはきっと真の選択をするはず
[01:07:34] だからその選択のうちの1つにお前があれ
[01:07:39] ほど望んでいた2の待遇が改善される環境
[01:07:43] が含まれるかもしれ
[01:07:49] ないテレビでも
[01:07:53] 見ようはあうんよく見えない
[01:07:58] ねユニクを探すならやっぱりアウターリム
[01:08:03] じゃないかしら出発してからずっと市街地
[01:08:07] を歩いてばかりだわでもユニが探してるの
[01:08:11] はここにいる
[01:08:13] よ
[01:08:15] ユニ探しているのはクローじゃないのね
[01:08:19] うんじゃあ何を探しているのはを信じて
[01:08:26] ついてきてユニが全部やるからユニクを
[01:08:31] 探しましょう早く黒を見つけないと
[01:08:34] アウターリムの人たちがあいた見原
[01:08:43] あそこテトラコネクトの人たちをね
[01:08:47] シェルターで生放送中だって聞いたわ助け
[01:08:52] ましょううん助けよう
[01:08:58] [音楽]
[01:09:05] アーク市民の皆さん見えますかシェルター
[01:09:09] にラプチャーが攻め込んできました
[01:09:12] シェルターの人々は全員なくなりました
[01:09:15] シェルターに人間がいることにラプチャー
[01:09:17] が気づいてしまいましたシェルターは安全
[01:09:20] ではありません皆さんシェルターから出て
[01:09:24] くださいそこにいたら全員死んでしまい
[01:09:27] ます中央政府を信じないでください彼らは
[01:09:31] 私たちの命に何の興味もありません
[01:09:35] 繰り返しますシェルターは安全ではあり
[01:09:38] ませんシェルターは安全ではありませ
[01:09:44] ん
[01:09:45] へえあの子思ったより演技がうまいの
[01:09:50] ね少し心配してたけどよ
[01:09:58] たえ隊長笑ってるの私も
[01:10:08] 笑う勘違いしているようだな私はあいつに
[01:10:14] 指しずできる立場じゃないただヒントを
[01:10:17] やっただけさだが思ったより優秀みたいだ
[01:10:22] な空っぽのシェルターに
[01:10:25] 感覚を遮断したラプチャーを連れてきて
[01:10:29] まるでラプチャーがシェルターに攻め込ん
[01:10:32] できたかのように理想して言葉で揺さぶっ
[01:10:36] たさすがラプチャー捕獲部隊獄を作る才能
[01:10:41] があるみたいだ
[01:10:45] なさあなだからここでのんびり見守る
[01:10:51] アークの選択
[01:11:05] [音楽]
[01:11:14] よ
[01:11:24] [拍手]
[01:11:42] [音楽]
[01:11:47] これで
[01:11:48] やっとお互いのことを完全に理解し合える
[01:11:53] だろうテレビの中の存在は現実となり
[01:11:58] リアルに感じられるようになった選択
[01:12:01] できるはずだ経験を元にした選択
[01:12:08] をもちろん
[01:12:10] じゃあもう一度聞こうか私たちを捕まえ
[01:12:14] たらどうするつもり
[01:12:18] だ
[01:12:20] 殺すそれとも許す
[01:12:35] ふそうか私が欲しかった答えじゃないわ
[01:12:48] [音楽]
[01:12:56] ダーリンそんなことしても縄は解けないよ
[01:13:14] [拍手]
[01:13:16] [音楽]
[01:13:25] 発炎だ
[01:13:28] やはりお前
[01:13:34] [拍手]
[01:13:43] は停止
[01:13:48] [音楽]
[01:13:57] 間に合ってよかったですとよなぜ地面を
[01:14:01] はいつくばっている
[01:14:03] ああそうかあの手段を使ったのだな
[01:14:10] スティグマ体で人を描き力を手にする手段
[01:14:15] しかしともよその力は禁断のものだむに
[01:14:20] 使うと世界戦が感を早く解放してもそうだ
[01:14:26] [音楽]
[01:14:28] なここは私たちにお任せください指揮官は
[01:14:33] 外の問題の解決をお願いします2と人間
[01:14:37] ラプチャーが1か所に集まって戦ってい
[01:14:39] ます状況を収集し解決すべき人が必要です
[01:14:44] 今最も近くにいる方は指揮官
[01:14:48] [音楽]
[01:14:51] です急いでくださいとよ
[01:14:55] もう一度言うが今あったことはあれは隊長
[01:15:01] が言ってたのってこれ
[01:15:13] か
[01:15:15] メイデン一体何を
[01:15:38] そんな
[01:15:40] あれエクスター
[01:15:43] なー隊長偉いでしょ
[01:15:47] ああよくやっ
[01:15:50] た隊長私偉いんだよね
[01:15:59] あいつだけ聴覚センサーを切っておいたの
[01:16:02] かその通り我々の情報を誰から聞いたさあ
[01:16:09] なそれじゃあリチを始めるか
[01:16:15] は3人か片腹痛い
[01:16:23] わジャッカルある程度戦ったら逃げてね
[01:16:29] あ聞こえない
[01:16:32] か逃さぬ
[01:16:35] ぞ私と
[01:16:38] 遊ぼうとよここは我に任せてやるべきこと
[01:16:42] をやれ
[01:16:51] [音楽]
[01:17:00] 官様
[01:17:03] 官
[01:17:07] 師匠発団の煙を見て駆けつけたの大丈夫
[01:17:12] エゾチックはどうなりましたかなぜ四官を
[01:17:16] 1人でそれに煙はあそこから出てるのに
[01:17:21] どうして師匠はここに
[01:17:39] はい
[01:17:40] ラジ了解先行くね私も行き
[01:17:47] ます妙だなまさか我がメレに仲間意識を
[01:17:54] 抱いていたと
[01:17:56] はあなた強いね
[01:17:59] 面白いあなたみたいに強いやは初めてだ
[01:18:06] よただ我と同じ巨大な力の呪いにかかった
[01:18:11] 小言がうるさい怠け者だと思っていただが
[01:18:16] お前の攻撃でメイデンが倒れた時我は気が
[01:18:21] ついた本当早いね
[01:18:34] 我の心に怒りが芽ばえているということに
[01:18:40] 我がメイデンを仲間だと思っていたという
[01:18:45] ことに気づいたのだこの感情に気づかせて
[01:18:49] くれたお前に特別なプレゼントをやろう
[01:18:55] この即死の魔眼
[01:18:59] [音楽]
[01:19:00] をえ何それすっごく綺麗だ
[01:19:07] ね
[01:19:09] [音楽]
[01:19:15] あれ何これ
[01:19:18] 我の目に宿った呪いであり絶対的な能は見
[01:19:24] たもののエネルギーを制御するのだ今お前
[01:19:28] のコアエネルギーを虚空にばらまいている
[01:19:32] ニケにとってコアは心臓お前の心臓は今
[01:19:37] 止まっているの
[01:19:41] だ大丈夫
[01:19:44] 我らエクスターナルはニの
[01:19:47] 死に神死神の視線と声からは絶対に逃れ
[01:19:53] られないということ
[01:19:55] その心臓によく刻み込むが
[01:19:59] [音楽]
[01:20:05] いいまあどうせ聞こえてはいないだろうが
[01:20:11] な我だコードネーム野犬を確保したいや
[01:20:18] 本当の夜では
[01:20:20] なくエキゾチック部隊のジャッのことだ
[01:20:27] ああ待っている倒しましたあ気がついたの
[01:20:33] かクローとバイパーは逃したようですね
[01:20:37] ああしかし友とお前を守った今はそれで
[01:20:42] いいんだ私たちの任務は失敗ですよ
[01:20:47] あかなり怒られるでしょうね
[01:20:52] あセンサーを切ったこと想できなかった私
[01:20:56] の責任でもありますがどうして最初から目
[01:21:00] を使わなかったのです
[01:21:02] か目は使った後のクールタイムが長くて
[01:21:07] 私たちは終わりです
[01:21:12] [音楽]
[01:21:17] ねよしこっちは片付いたわよ私ももうすぐ
[01:21:22] 終わります
[01:21:27] じゃあそいつから倒しましょう
[01:21:30] 行こう一気に終わらせ
[01:21:35] [音楽]
[01:21:38] ます状況終了付近のラプチャーは全て撃墜
[01:21:42] しましたでもここ
[01:22:01] [音楽]
[01:22:06] 官ごです
[01:22:10] か
[01:22:11] あごですねよかったですシェルターの自己
[01:22:16] 現場にいらっしゃるそうです
[01:22:22] ね者は立医療センターに運ぶことになり
[01:22:26] ましたそちらへ支援が向かうはずですです
[01:22:30] から指揮官は現場の整理をお願いします皆
[01:22:33] さんがパニックに陥らないよう
[01:22:37] にazxを緊急で稼働することにしました
[01:22:42] 幸いミシリ医療センターのすぐ隣に駅が
[01:22:46] あるので路線の状態も悪く色々問題はあり
[01:22:50] ますが全力を尽くして安全にお運びいたし
[01:22:56] ますといたしまし
[01:23:00] てよし一まず全員乗せて送ったわよ大丈夫
[01:23:05] ですよね応急者地もできることは全てやり
[01:23:09] ましたからうんあとは中央政府が何とかし
[01:23:14] てくれるでしょ指揮官ジャッカルを確保し
[01:23:18] たと連絡が来ましたじゃあ私たちはクロー
[01:23:21] とバイパーを追いかければいいのねは
[01:23:25] ジャッカルを捕まえれば終わりじゃないん
[01:23:28] ですか主導者はクローだからあいつを
[01:23:32] 捕まえないと終わらないわどこに行ったの
[01:23:35] か
[01:23:37] なあちらのシェルターの確認が残ってい
[01:23:45] ます指揮官
[01:23:47] 様ちょっとここで休んでて私たちが行って
[01:23:52] くるから休んでください揮官近くに危険
[01:23:56] 要素はありませんの
[01:24:03] [音楽]
[01:24:04] で式
[01:24:07] 官ユニのためにプレゼントを持ってきて
[01:24:10] くれた
[01:24:12] のアンチインドを持ってきてくれるって
[01:24:16] 言ってたよねユニが復習できるように指揮
[01:24:21] 官はユニを救ってくれるんでしょね
[01:24:25] メティスは救ったくせにユニだけ救って
[01:24:28] くれないなんてありえないでしょ指揮官は
[01:24:32] 優しいもんユニを無視するはずないよ
[01:24:37] ねなに式
[01:24:41] 官え
[01:24:47] [音楽]
[01:25:01] [音楽]
[01:25:06] へやっぱり持ってきてたんだ
[01:25:11] アンチェインドユニのために持ってきて
[01:25:14] くれてたんだありがとう官ユニのことを
[01:25:19] 考えてくれて
[01:25:26] ありがとう
[01:25:31] 四間アークの皆様こんにちは私はazxの
[01:25:37] 乗務員ディーゼルです皆様を安全にミシリ
[01:25:42] 医療センターへお連れしますもし移動中に
[01:25:46] 何かございましたらいつでも非常ベルを
[01:25:49] 押してお呼びください乗務員が常時待機し
[01:25:53] ております
[01:25:54] ミシリ医療センターまでの所要時間は約
[01:25:58] 10分10分ですでは出発いたし
[01:26:06] [音楽]
[01:26:09] ますピルグリムの方がアークに
[01:26:12] いらっしゃるのは初めてです
[01:26:14] ねそうですねアークを見た感想はいかが
[01:26:18] ですか
[01:26:20] うんどう
[01:26:22] でしょういざ来てみると特に何とも思い
[01:26:28] ませんねあれほど望んでいた場所なのに
[01:26:32] 正直に申し上げると事情と特に変わらない
[01:26:38] と思います広くてラプチャーだけがいる
[01:26:43] この光景は今はラプチャーの襲撃のせいで
[01:26:47] 市民がいないからです普段はすごく賑やか
[01:26:51] なんですよそうですか
[01:26:55] 気になります
[01:26:56] ねどのような風景でどのような感情を抱く
[01:27:02] ことになるのかそれにしても本当にすごい
[01:27:06] タイミングで来てくれましたね
[01:27:09] ヘレティックが現れた時は本当に驚いたん
[01:27:12] ですよそうですかはい本当に完璧な
[01:27:17] タイミングでしたまるで仕組んでいたかの
[01:27:21] ように完璧でしたああ
[01:27:25] おすみませんミランダに悪気はないんです
[01:27:30] よえ私何か間違ったこと
[01:27:35] を大丈夫ですよ気にしないでくださいあと
[01:27:40] ちょっとで着きますよラプチャーがいない
[01:27:44] といいですねご心配なくラプチャーがいて
[01:27:48] も私には何の問題もありませんからお
[01:27:55] あの石像は何ですかああれですか勝利の
[01:28:01] 女神像ですよゴッテス部隊の皆さんを
[01:28:05] 称える石像です
[01:28:08] うんアークのあちこちにあります管理も
[01:28:11] 徹底されてるんですよちなみにですが
[01:28:15] トラブルを起こすたびにバツとして勝利の
[01:28:18] 女神ゾを磨いていたんですだからピカピカ
[01:28:22] に磨くことができますよ
[01:28:25] これ
[01:28:25] はなぜあるのですかえそれ
[01:28:30] はゴッテスの皆さんは人類の救世主だから
[01:28:35] です
[01:28:36] よアークでは伝説だと言えますね最初の2
[01:28:42] 家の舞台ですし最強の舞台ですからそれに
[01:28:47] アークのために地上に残り最後まで戦って
[01:28:51] くださった人類の守護心でもありますよ
[01:28:54] データがあまり残っておらずプロフィール
[01:28:57] などは分かっていませんがアーク内では
[01:29:01] 一種の神話となってるんです
[01:29:04] やん
[01:29:05] 神話ですかどうしてデータがないの
[01:29:10] でしょうかかなり時間が経ってます
[01:29:13] からそれにゴッテス部隊の情報を積極的に
[01:29:18] 広めていた方がいたのです
[01:29:20] がその方がなくなってからどんどん情報が
[01:29:24] なくなってしまいましたねもちろん今も
[01:29:28] 神話であることには変わりないですがその
[01:29:32] 方のお名前は分かりますかどなたの名前
[01:29:37] ですかゴッテス部隊の情報を積極的に広め
[01:29:42] た方のお名前です
[01:29:45] えっと
[01:29:48] うすみません名前まではよくわからない
[01:29:52] ですよそうですか大丈夫です気にしないで
[01:29:58] くださいでは移動しましょうかあと少しで
[01:30:02] 着きますよそうです
[01:30:05] [音楽]
[01:30:13] ね市民がシェルターから勝手に飛び出し
[01:30:17] たってそれで者は現在情報収集中だ
[01:30:25] 死亡者はいないよ
[01:30:29] な
[01:30:31] そんなそんなアークでラプチャーに人間
[01:30:39] [音楽]
[01:30:42] が傷者は救急稼働したazxに乗せて
[01:30:47] ミシリ医療センターへ向かっている
[01:30:50] シェルターにいた医療チームを来ることに
[01:30:52] なっている
[01:30:54] はこれ以上拡しないはず
[01:30:56] だどうしてシェルターが開いたんだ誰か
[01:31:01] テトラの生放送用回線を使ったのですウソ
[01:31:06] の情報をシェルター内にそのまま流しまし
[01:31:08] たパニックになった人々がシェルターを
[01:31:12] 強制的にオープンラプチャーがめく市街地
[01:31:16] へ出ましたエニックがシェルターの扉を
[01:31:20] ロックしていまし
[01:31:22] たが出のための動でドアをオープンした
[01:31:27] そうです一部のシェルターだけで放送され
[01:31:31] たことが不幸中の幸いでしたが嘘の情報だ
[01:31:37] 誰がだ誰がそんなふざけたことを調査中よ
[01:31:44] 音声を解析すればすぐ捕まるわそれ以外の
[01:31:48] もアークに穴を開けたのは2だとホ
[01:31:54] ミシリの液地区部隊が疑われているそうだ
[01:31:58] ちょっと確かな情報だけを話して推測で
[01:32:02] 話さないで
[01:32:03] よエニックからデータはもらったえエキゾ
[01:32:08] チックってアウターリムの監視部隊じゃ
[01:32:12] ない
[01:32:13] か捕まえて調査してくれノースキャンをし
[01:32:17] てみれば簡単じゃないかそう簡単な話では
[01:32:21] ない
[01:32:24] エキゾチック部隊の行方が分から
[01:32:27] ないエニックは何をしてるんだエニックは
[01:32:32] 現在アークに散らばったラプチャーの動き
[01:32:34] を視している調査する余裕はない実際に
[01:32:39] シルタの扉をロックするという簡単な作業
[01:32:42] に気を取られた結果ラプチャー10ありの
[01:32:45] 動きを見逃し犠牲
[01:32:49] がない
[01:32:54] べきだったんだエニックに何かあった時の
[01:32:56] ためのカウンター措置なんてででは各自
[01:33:02] 部隊を出してエキゾチックの追跡を始めて
[01:33:11] くれどどうしたラフチーがアクに散らばっ
[01:33:15] ているサーチアンデストロイにかかる費用
[01:33:18] は相当のものだアークに空いた穴の処置も
[01:33:22] 同
[01:33:24] の衛にも少なからず兵力が購入された
[01:33:28] さらにドバがたちを率いてアウターデムへ
[01:33:32] と向かって
[01:33:33] いる
[01:33:35] つまりWも余裕がないということですでで
[01:33:40] は指名手配をしようテトラの回線はすでに
[01:33:44] 利用されたヒストリーがあるため危険
[01:33:48] です中央府の回線をするのがいいですが
[01:33:53] をこのタイミングで指命手配するの
[01:33:56] はさらに大きなカオスを生むだけでしょう
[01:34:03] なでは我々にできることはないの
[01:34:07] か
[01:34:10] 主演何
[01:34:12] を式下にある2家の部隊も制御できないの
[01:34:17] かこんなことになるまで何をしてたん
[01:34:22] だななんとかしろ責任を取ってくれどどう
[01:34:28] していつもミシリの2ばかり問題を起こす
[01:34:31] んだお前たちさもしこの事件の犯人は
[01:34:37] ミシリの2じゃないって明らかになったら
[01:34:41] 私に謝ってよ分かったそれはないだろう
[01:34:46] 特殊別動隊がエキゾチックを追跡している
[01:34:50] もうすぐいい知らせがあるはずだああの
[01:34:54] 指揮官かも問題を起こしたこともあるが
